model,forecast_regime,direction_tag,n
ESN reference,crisis_like,neutral,14
ESN reference,crisis_like,rally,35
ESN reference,crisis_like,selloff,78
ESN reference,normal,neutral,300
ESN reference,normal,rally,223
ESN reference,normal,selloff,95
ESN reference,warning,neutral,23
ESN reference,warning,rally,49
ESN reference,warning,selloff,37
ESN reference,watch,neutral,13
ESN reference,watch,rally,33
ESN reference,watch,selloff,119
Phase 2 final QRC,crisis_like,neutral,7
Phase 2 final QRC,crisis_like,rally,8
Phase 2 final QRC,crisis_like,selloff,43
Phase 2 final QRC,normal,neutral,284
Phase 2 final QRC,normal,rally,197
Phase 2 final QRC,normal,selloff,87
Phase 2 final QRC,warning,neutral,36
Phase 2 final QRC,warning,rally,90
Phase 2 final QRC,warning,selloff,62
Phase 2 final QRC,watch,neutral,23
Phase 2 final QRC,watch,rally,45
Phase 2 final QRC,watch,selloff,137
Phase 3 RF-QRC ring,crisis_like,neutral,7
Phase 3 RF-QRC ring,crisis_like,rally,13
Phase 3 RF-QRC ring,crisis_like,selloff,22
Phase 3 RF-QRC ring,normal,neutral,317
Phase 3 RF-QRC ring,normal,rally,242
Phase 3 RF-QRC ring,normal,selloff,101
Phase 3 RF-QRC ring,warning,neutral,5
Phase 3 RF-QRC ring,warning,rally,17
Phase 3 RF-QRC ring,warning,selloff,5
Phase 3 RF-QRC ring,watch,neutral,37
Phase 3 RF-QRC ring,watch,rally,80
Phase 3 RF-QRC ring,watch,selloff,212
