model,split,n,task,rmse,corr,actual_std,pred_std,precision,recall,f1,positive_rate,average_precision,roc_auc
raw_scalar_baseline,train,5442,regression,0.06087914456298486,0.790353821214017,0.09918791220384632,0.07470894501316236,,,,,,
raw_scalar_baseline,train,5442,q90_warning,,,,,0.6036697247706422,0.6036697247706422,0.6036697247706422,0.10014700477765527,0.6664638636502658,0.9140447343721021
raw_scalar_baseline,train,5442,q95_crisis,,,,,0.5897435897435898,0.5897435897435898,0.5897435897435898,0.050165380374862185,0.6166471894632409,0.9192261275836436
raw_scalar_baseline,val,1166,regression,0.05333722051512386,0.5339710254644983,0.061096409466747444,0.04451807794424637,,,,,,
raw_scalar_baseline,val,1166,q90_warning,,,,,0.05263157894736842,0.03125,0.0392156862745098,0.016295025728987993,0.08240111351131227,0.7407958553791887
raw_scalar_baseline,val,1166,q95_crisis,,,,,0.0,0.0,0.0,0.007718696397941681,,
raw_scalar_baseline,test,1167,regression,0.09717310700593143,0.6077948783634957,0.12146369125083636,0.08544440734381699,,,,,,
raw_scalar_baseline,test,1167,q90_warning,,,,,0.45294117647058824,0.5923076923076923,0.5133333333333333,0.1456726649528706,0.5290494703211827,0.8383057636673837
raw_scalar_baseline,test,1167,q95_crisis,,,,,0.42028985507246375,0.5686274509803921,0.48333333333333334,0.05912596401028278,0.5704653587914056,0.748295734064235
rydberg_interpolated_features,train,5442,regression,0.09833952786257723,0.13141338591386043,0.09918791220384632,0.01151077051602751,,,,,,
rydberg_interpolated_features,train,5442,q90_warning,,,,,0.15229357798165138,0.15229357798165138,0.15229357798165138,0.10014700477765527,0.1387113509404697,0.5880612170342074
rydberg_interpolated_features,train,5442,q95_crisis,,,,,0.11721611721611722,0.11721611721611722,0.11721611721611722,0.050165380374862185,0.08020189048417589,0.6212093510410399
rydberg_interpolated_features,val,1166,regression,0.07318105654815525,0.13761474244553515,0.061096409466747444,0.013074865772412464,,,,,,
rydberg_interpolated_features,val,1166,q90_warning,,,,,0.007246376811594203,0.03125,0.011764705882352941,0.1183533447684391,0.03381036601994689,0.5750523589065255
rydberg_interpolated_features,val,1166,q95_crisis,,,,,0.0,0.0,0.0,0.07804459691252144,,
rydberg_interpolated_features,test,1167,regression,0.12075989169641209,0.17415012996092766,0.12146369125083636,0.012384436219461056,,,,,,
rydberg_interpolated_features,test,1167,q90_warning,,,,,0.20833333333333334,0.23076923076923078,0.21897810218978103,0.12339331619537275,0.15451757127491944,0.5530635709517098
rydberg_interpolated_features,test,1167,q95_crisis,,,,,0.22340425531914893,0.4117647058823529,0.2896551724137931,0.0805484147386461,0.15670191526574806,0.6523736734837304
raw_plus_rydberg,train,5442,regression,0.060813395366343,0.7908886630878013,0.09918791220384632,0.07471893659708077,,,,,,
raw_plus_rydberg,train,5442,q90_warning,,,,,0.6,0.6,0.6,0.10014700477765527,0.6694392079755547,0.9147648906932347
raw_plus_rydberg,train,5442,q95_crisis,,,,,0.5970695970695971,0.5970695970695971,0.5970695970695971,0.050165380374862185,0.6195054006956269,0.923966276839173
raw_plus_rydberg,val,1166,regression,0.05333982450824524,0.5332484454263311,0.061096409466747444,0.04442432325758592,,,,,,
raw_plus_rydberg,val,1166,q90_warning,,,,,0.058823529411764705,0.03125,0.04081632653061224,0.014579759862778732,0.08281211782435083,0.7273478835978836
raw_plus_rydberg,val,1166,q95_crisis,,,,,0.0,0.0,0.0,0.006003430531732418,,
raw_plus_rydberg,test,1167,regression,0.09727252861297504,0.6069565516363522,0.12146369125083636,0.08551701569831704,,,,,,
raw_plus_rydberg,test,1167,q90_warning,,,,,0.4619883040935672,0.6076923076923076,0.5249169435215947,0.14652956298200515,0.5319552361399418,0.8423484904680661
raw_plus_rydberg,test,1167,q95_crisis,,,,,0.36,0.5294117647058824,0.42857142857142855,0.06426735218508997,0.5527170838347841,0.7497715932251037
