model,split,n_rows,rmse,qlike,corr,actual_std,pred_std,pred_mean,n_qubits,h,seed,features,effective_rank,elapsed_feature_seconds,q80_precision,q80_recall,q80_f1,q80_pred_rate,q90_precision,q90_recall,q90_f1,q90_pred_rate,q95_precision,q95_recall,q95_f1,q95_pred_rate,top20_pred_actual_ratio
HAR_memory_ridge,train,1600,0.05348880081700178,-2.8764745922697488,0.663368410257217,0.06876837833520376,0.03495079642949259,0.13018967223111166,0,,-1,8,1.2426981250540075,0.0,0.704225352112676,0.15625,0.2557544757033248,0.044375,0.6730769230769231,0.21875,0.330188679245283,0.0325,0.7435897435897436,0.3625,0.48739495798319327,0.024375,
HAR_memory_ridge,val,500,0.05142519197763681,-2.8177105047049054,0.36806568155434727,0.0542449043115403,0.02240409700156409,0.125283656894933,0,,-1,8,1.2426981250540075,0.0,0.75,0.10843373493975904,0.18947368421052632,0.024,0.5,0.02631578947368421,0.05,0.004,0.0,0.0,0.0,0.0,
HAR_memory_ridge,test,700,0.16491979163228573,-1.6468722478019127,0.4750281369300615,0.14797582618463517,0.17025419206009326,0.17733612123256307,0,,-1,8,1.2426981250540075,0.0,0.8473282442748091,0.43359375,0.5736434108527132,0.18714285714285714,0.8085106382978723,0.39790575916230364,0.5333333333333333,0.13428571428571429,0.6811594202898551,0.33098591549295775,0.44549763033175355,0.09857142857142857,0.8180511316034762
TFIM_4q_h0.2_seed0,train,1600,0.06436610297046917,-2.7195020680432633,0.4444001239664553,0.06876837833520376,0.01674096058190573,0.12762601614257507,4,0.2,0,10,7.9732065244277655,2.2900807857513428,0.8571428571428571,0.0375,0.0718562874251497,0.00875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TFIM_4q_h0.2_seed0,val,500,0.07067769935745348,-2.7758728771254364,0.34333105150323173,0.0542449043115403,0.004595835989784186,0.18195122778677916,4,0.2,0,10,7.9732065244277655,2.2900807857513428,0.6190476190476191,0.3132530120481928,0.416,0.084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TFIM_4q_h0.2_seed0,test,700,0.14701956599361762,-1.6694716211992648,0.587098835222834,0.14797582618463517,0.00267217769209795,0.17993049070515088,4,0.2,0,10,7.9732065244277655,2.2900807857513428,1.0,0.07421875,0.13818181818181818,0.027142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4505891660991526
TFIM_4q_h0.2_seed1,train,1600,0.05776194550138472,-2.822257614600399,0.6066710600658495,0.06876837833520376,0.02673206232552627,0.12904871801909096,4,0.2,1,10,7.714060502005082,1.7512099742889404,0.7258064516129032,0.140625,0.2356020942408377,0.03875,0.6153846153846154,0.05,0.09248554913294797,0.008125,0.7142857142857143,0.0625,0.11494252873563218,0.004375,
TFIM_4q_h0.2_seed1,val,500,0.06748816960967582,-2.7978382004511886,0.3037027560023666,0.0542449043115403,0.011592762507536424,0.17814069857837142,4,0.2,1,10,7.714060502005082,1.7512099742889404,0.4358974358974359,0.40963855421686746,0.422360248447205,0.156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TFIM_4q_h0.2_seed1,test,700,0.1465630230088109,-1.6333435720089964,0.4962169672809888,0.14797582618463517,0.006906249499196063,0.1697010367238627,4,0.2,1,10,7.714060502005082,1.7512099742889404,1.0,0.078125,0.14492753623188406,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43201900981137187
TFIM_4q_h0.2_seed2,train,1600,0.062232187429326555,-2.744343863673553,0.5085510498238354,0.06876837833520376,0.020147399882022334,0.1280251547798936,4,0.2,2,10,7.518133294451892,1.7518222332000732,0.673469387755102,0.103125,0.17886178861788618,0.030625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
