x,shots_requested,shots_returned,valid_shots,empty_site_fraction,n_unique_states,entropy_bits,mean_excitation,var_excitation,nearest_pair_11_mean,next_nearest_pair_11_mean,staggered_even_minus_odd,top1_state,top1_freq,top2_state,top2_freq,top3_state,top3_freq,site_0_excitation,site_1_excitation,site_2_excitation,site_3_excitation,site_4_excitation,site_5_excitation
-1.0,100,100,100,0.0,1,-0.0,6.0,0.0,1.0,1.0,0.0,111111,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0
-0.95,100,100,100,0.0,2,0.08079313589591118,5.99,0.009899999999999999,0.996,0.9975,-0.009999999999999787,111111,0.99,111101,0.01,,,1.0,1.0,1.0,1.0,0.99,1.0
-0.9,100,100,100,0.0,1,-0.0,6.0,0.0,1.0,1.0,0.0,111111,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0
-0.85,100,100,100,0.0,1,-0.0,6.0,0.0,1.0,1.0,0.0,111111,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0
-0.8,100,100,100,0.0,1,-0.0,6.0,0.0,1.0,1.0,0.0,111111,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0
-0.75,100,100,100,0.0,1,-0.0,6.0,0.0,1.0,1.0,0.0,111111,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0
-0.7,100,100,100,0.0,4,0.30229218908241484,5.96,0.0384,0.984,0.985,0.020000000000000018,111111,0.96,111011,0.02,111101,0.01,1.0,0.99,1.0,0.98,0.99,1.0
-0.6499999999999999,100,100,100,0.0,1,-0.0,6.0,0.0,1.0,1.0,0.0,111111,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0
-0.6,100,100,100,0.0,6,0.5148896204226208,5.93,0.06509999999999999,0.974,0.9725,-0.010000000000000231,111111,0.93,110111,0.03,111110,0.01,1.0,0.99,0.97,0.99,0.99,0.99
-0.55,100,100,100,0.0,6,0.6342141921722763,5.91,0.0819,0.972,0.9675,0.03000000000000025,111111,0.91,111110,0.03,111011,0.02,0.99,0.99,0.98,0.98,1.0,0.97
-0.5,100,100,100,0.0,6,0.732904561192996,5.89,0.09790000000000001,0.968,0.97,0.029999999999999805,111111,0.89,111110,0.04,101111,0.03,0.98,0.97,0.99,1.0,0.99,0.96
-0.44999999999999996,100,100,100,0.0,7,1.3024994292528989,5.78,0.17159999999999997,0.928,0.9225,0.06000000000000005,111111,0.78,111110,0.06,111011,0.05,0.98,0.97,0.96,0.95,0.98,0.94
-0.3999999999999999,100,100,100,0.0,8,1.428140720025594,5.74,0.23239999999999994,0.914,0.9125,0.040000000000000036,111111,0.76,101111,0.06,111011,0.05,0.93,0.94,0.98,0.93,0.98,0.98
-0.35,100,100,100,0.0,12,2.1129328834158905,5.56,0.36640000000000006,0.858,0.8575,-0.020000000000000018,111111,0.62,111110,0.07,111101,0.07,0.91,0.96,0.95,0.91,0.91,0.92
-0.29999999999999993,100,100,100,0.0,13,2.383669060465653,5.49,0.36989999999999995,0.842,0.8375,0.04999999999999982,111111,0.55,111110,0.11,110111,0.07,0.92,0.94,0.91,0.93,0.94,0.85
-0.25,100,100,100,0.0,13,2.902019118436125,5.25,0.4875,0.778,0.7775,0.15000000000000036,111111,0.4,111110,0.15,101111,0.1,0.85,0.86,0.92,0.93,0.93,0.76
-0.19999999999999996,100,100,100,0.0,19,3.5792357958798453,4.93,0.7651000000000003,0.676,0.695,-0.050000000000000266,111111,0.28,110111,0.11,011111,0.11,0.74,0.85,0.79,0.9,0.91,0.74
-0.1499999999999999,100,100,100,0.0,19,4.092718565031995,4.47,0.6091,0.54,0.5575,-0.06999999999999984,111110,0.09,111011,0.09,111111,0.08,0.6,0.9,0.76,0.73,0.84,0.64
-0.09999999999999998,100,100,100,0.0,21,4.1971113516403,4.48,0.7495999999999998,0.54,0.58,-0.07999999999999963,111111,0.14,011110,0.09,111110,0.06,0.64,0.86,0.73,0.8,0.83,0.62
-0.04999999999999993,100,100,100,0.0,20,4.039108661042497,4.22,0.7315999999999999,0.498,0.5425,0.08000000000000007,011110,0.15,010110,0.09,111111,0.08,0.5,0.83,0.79,0.79,0.86,0.45
0.0,100,100,100,0.0,19,3.786287349954894,3.8,0.56,0.384,0.4425,-0.33999999999999986,011110,0.15,011010,0.15,010110,0.11,0.28,0.95,0.65,0.72,0.8,0.4
0.050000000000000044,100,100,100,0.0,17,3.517574179083031,3.61,0.41790000000000005,0.324,0.405,0.3699999999999999,010110,0.21,011010,0.18,111010,0.11,0.39,0.83,0.69,0.58,0.91,0.21
0.10000000000000009,100,100,100,0.0,15,3.1403514097251257,3.37,0.31310000000000004,0.258,0.3725,0.07000000000000006,011010,0.27,010110,0.24,101010,0.09,0.24,0.87,0.6,0.57,0.88,0.21
0.15000000000000013,100,100,100,0.0,13,2.460122625990912,3.17,0.1611,0.214,0.3175,-0.08999999999999986,010110,0.4,011010,0.31,010101,0.07,0.15,0.91,0.48,0.6,0.91,0.12
0.20000000000000018,100,100,100,0.0,11,2.523165179970329,3.17,0.1611,0.206,0.345,-0.010000000000000009,011010,0.32,010110,0.3,101010,0.11,0.14,0.87,0.56,0.55,0.88,0.17
0.25,100,100,100,0.0,8,1.8768041519823455,3.08,0.09359999999999996,0.204,0.295,-0.17999999999999994,010110,0.49,011010,0.33,010101,0.06,0.07,0.95,0.44,0.61,0.94,0.07
0.30000000000000004,100,100,100,0.0,9,1.6952450960576277,3.05,0.0475,0.198,0.275,0.010000000000000009,011010,0.49,010110,0.39,010101,0.05,0.04,0.98,0.55,0.47,0.94,0.07
0.3500000000000001,100,100,100,0.0,7,1.4867740684542128,3.06,0.07640000000000001,0.202,0.2725,-0.1200000000000001,010110,0.51,011010,0.41,101101,0.03,0.05,0.95,0.47,0.58,0.95,0.06
0.40000000000000013,100,100,100,0.0,5,1.2118663658121176,3.01,0.009899999999999999,0.198,0.2575,0.010000000000000009,010110,0.49,011010,0.48,101110,0.01,0.02,0.98,0.5,0.51,0.99,0.01
0.4500000000000002,100,100,100,0.0,5,1.2118663658121176,3.03,0.02910000000000001,0.206,0.2575,0.010000000000000009,010110,0.49,011010,0.48,101110,0.01,0.02,0.98,0.51,0.52,0.99,0.01
0.5,100,100,100,0.0,5,1.2112713345988726,3.02,0.01959999999999999,0.204,0.2575,-0.020000000000000018,011010,0.5,010110,0.47,011110,0.01,0.0,1.0,0.52,0.5,0.98,0.02
0.55,100,100,100,0.0,4,1.241991605869783,3.04,0.03840000000000001,0.204,0.26,0.020000000000000018,010110,0.49,011010,0.47,101110,0.02,0.04,0.96,0.51,0.53,0.98,0.02
0.6000000000000001,100,100,100,0.0,6,1.3263336918194546,3.03,0.02910000000000001,0.2,0.2625,0.09000000000000008,011010,0.52,010110,0.43,101101,0.02,0.03,0.97,0.56,0.47,0.97,0.03
0.6500000000000001,100,100,100,0.0,5,1.3032850312891497,3.05,0.0475,0.206,0.2625,-0.17000000000000015,010110,0.53,011010,0.42,101101,0.02,0.02,0.98,0.46,0.58,0.96,0.05
0.7000000000000002,100,100,100,0.0,5,1.3118098663720468,3.05,0.0475,0.206,0.2625,-0.010000000000000009,010110,0.49,011010,0.46,101110,0.02,0.04,0.96,0.51,0.54,0.97,0.03
0.75,100,100,100,0.0,5,1.2320147574921703,3.03,0.02910000000000001,0.202,0.26,-0.22999999999999998,010110,0.58,011010,0.38,101101,0.02,0.02,0.98,0.41,0.62,0.97,0.03
0.8,100,100,100,0.0,4,1.1449334133421316,3.01,0.009899999999999999,0.196,0.2575,0.30999999999999983,011010,0.61,010110,0.36,101010,0.02,0.03,0.97,0.64,0.37,0.99,0.01
0.8500000000000001,100,100,100,0.0,5,1.3546868146207092,3.03,0.02910000000000001,0.194,0.265,0.050000000000000044,011010,0.48,010110,0.46,101101,0.03,0.05,0.95,0.53,0.5,0.96,0.04
0.9000000000000001,100,100,100,0.0,3,1.164317490790483,3.03,0.02910000000000001,0.206,0.2575,0.07000000000000006,011010,0.49,010110,0.48,101110,0.03,0.03,0.97,0.52,0.51,1.0,0.0
0.9500000000000002,100,100,100,0.0,6,1.42863425036546,3.05,0.0475,0.202,0.2675,0.15000000000000013,011010,0.5,010110,0.43,101110,0.02,0.06,0.94,0.57,0.48,0.97,0.03
