index,path,nominal_start,nominal_end,first_nonzero_range_date,first_qualifying_year,recommended_effective_start,total_rows,total_nonzero_range_rows,total_zero_range_rows,nonzero_range_fraction,longest_consecutive_zero_range_run,annual_rows
^GSPC_data,data/raw/transition_forecasting/global_stock_indices_historical_data/individual_indices_data/^GSPC_data.csv,1927-12-30,2024-06-24,1962-01-02,1962,1962-01-01,24235,15688,8547,0.6473282442748092,8509,98
^GSPTSE_data,data/raw/transition_forecasting/global_stock_indices_historical_data/individual_indices_data/^GSPTSE_data.csv,1979-06-29,2024-06-24,1979-06-29,1979,1979-01-01,11296,11281,15,0.9986720963172805,2,46
^AORD_data,data/raw/transition_forecasting/global_stock_indices_historical_data/individual_indices_data/^AORD_data.csv,1984-08-03,2024-06-24,1984-08-03,1984,1984-01-01,10081,10055,26,0.9974208907846444,3,41
^FTSE_data,data/raw/transition_forecasting/global_stock_indices_historical_data/individual_indices_data/^FTSE_data.csv,1984-01-03,2024-06-24,1984-01-03,1984,1984-01-01,10223,10218,5,0.999510906778832,1,41
^IXIC_data,data/raw/transition_forecasting/global_stock_indices_historical_data/individual_indices_data/^IXIC_data.csv,1971-02-05,2024-06-24,1984-10-11,1985,1985-01-01,13461,10002,3459,0.7430354357031425,3457,54
^RUT_data,data/raw/transition_forecasting/global_stock_indices_historical_data/individual_indices_data/^RUT_data.csv,1987-09-10,2024-06-24,1987-09-10,1987,1987-01-01,9269,9269,0,1.0,0,38
^N225_data,data/raw/transition_forecasting/global_stock_indices_historical_data/individual_indices_data/^N225_data.csv,1965-01-05,2024-06-24,1988-04-08,1989,1989-01-01,14624,8890,5734,0.6079048140043763,5733,60
^FCHI_data,data/raw/transition_forecasting/global_stock_indices_historical_data/individual_indices_data/^FCHI_data.csv,1990-03-01,2024-06-24,1990-03-01,1990,1990-01-01,8712,8710,2,0.9997704315886135,1,35
^HSI_data,data/raw/transition_forecasting/global_stock_indices_historical_data/individual_indices_data/^HSI_data.csv,1986-12-31,2024-06-24,1987-10-12,1990,1990-01-01,9251,8676,575,0.9378445573451519,288,39
^DJI_data,data/raw/transition_forecasting/global_stock_indices_historical_data/individual_indices_data/^DJI_data.csv,1992-01-02,2024-06-24,1992-01-02,1992,1992-01-01,8179,8179,0,1.0,0,33
^BFX_data,data/raw/transition_forecasting/global_stock_indices_historical_data/individual_indices_data/^BFX_data.csv,1991-04-09,2024-06-24,1992-06-10,1993,1993-01-01,8427,8129,298,0.9646374747834342,286,34
^BVSP_data,data/raw/transition_forecasting/global_stock_indices_historical_data/individual_indices_data/^BVSP_data.csv,1993-04-27,2024-06-24,1993-04-27,1993,1993-01-01,7713,7711,2,0.9997406975236613,2,32
^KLSE_data,data/raw/transition_forecasting/global_stock_indices_historical_data/individual_indices_data/^KLSE_data.csv,1993-12-03,2024-06-24,1993-12-03,1993,1993-01-01,7506,7500,6,0.9992006394884093,1,32
^STI_data,data/raw/transition_forecasting/global_stock_indices_historical_data/individual_indices_data/^STI_data.csv,1987-12-28,2024-06-24,1992-06-10,1993,1993-01-01,9112,8009,1103,0.8789508340649693,1090,38
^GDAXI_data,data/raw/transition_forecasting/global_stock_indices_historical_data/individual_indices_data/^GDAXI_data.csv,1987-12-30,2024-06-24,1993-12-14,1994,1994-01-01,9224,7734,1490,0.8384648742411102,1489,38
^MXX_data,data/raw/transition_forecasting/global_stock_indices_historical_data/individual_indices_data/^MXX_data.csv,1991-11-08,2024-06-24,1993-03-19,1994,1994-01-01,8169,7841,328,0.959848206634839,325,34
^TA125.TA_data,data/raw/transition_forecasting/global_stock_indices_historical_data/individual_indices_data/^TA125.TA_data.csv,1992-10-08,2024-06-24,1992-10-08,1995,1995-01-01,6701,6518,183,0.9726906431875839,5,33
^XAX_data,data/raw/transition_forecasting/global_stock_indices_historical_data/individual_indices_data/^XAX_data.csv,1995-12-27,2024-06-24,1995-12-27,1995,1995-01-01,7171,7170,1,0.9998605494352252,1,30
^JKSE_data,data/raw/transition_forecasting/global_stock_indices_historical_data/individual_indices_data/^JKSE_data.csv,1990-04-06,2024-06-24,1995-06-01,1996,1996-01-01,8337,7070,1267,0.8480268681780017,1258,35
^KS11_data,data/raw/transition_forecasting/global_stock_indices_historical_data/individual_indices_data/^KS11_data.csv,1996-12-11,2024-06-24,1996-12-11,1996,1996-01-01,6784,6784,0,1.0,0,29
^MERV_data,data/raw/transition_forecasting/global_stock_indices_historical_data/individual_indices_data/^MERV_data.csv,1996-10-08,2024-06-24,1996-10-08,1996,1996-01-01,6778,6776,2,0.9997049277072882,1,29
000001.SS_data,data/raw/transition_forecasting/global_stock_indices_historical_data/individual_indices_data/000001.SS_data.csv,1997-07-02,2024-06-24,1997-07-02,1997,1997-01-01,6534,6534,0,1.0,0,28
399001.SZ_data,data/raw/transition_forecasting/global_stock_indices_historical_data/individual_indices_data/399001.SZ_data.csv,1997-08-22,2024-06-24,1997-08-22,1997,1997-01-01,6501,6489,12,0.9981541301338256,2,28
^BSESN_data,data/raw/transition_forecasting/global_stock_indices_historical_data/individual_indices_data/^BSESN_data.csv,1997-07-01,2024-06-24,1997-07-01,1997,1997-01-01,6644,6644,0,1.0,0,28
^TWII_data,data/raw/transition_forecasting/global_stock_indices_historical_data/individual_indices_data/^TWII_data.csv,1997-07-02,2024-06-24,1997-07-02,1997,1997-01-01,6616,6616,0,1.0,0,28
^AXJO_data,data/raw/transition_forecasting/global_stock_indices_historical_data/individual_indices_data/^AXJO_data.csv,1992-11-23,2024-06-24,2000-04-03,2001,2001-01-01,7982,6118,1864,0.7664745677774993,1863,33
^IPSA_data,data/raw/transition_forecasting/global_stock_indices_historical_data/individual_indices_data/^IPSA_data.csv,2002-01-02,2019-06-14,2002-01-02,2002,2002-01-01,4346,4345,1,0.999769903359411,1,18
^N100_data,data/raw/transition_forecasting/global_stock_indices_historical_data/individual_indices_data/^N100_data.csv,1999-12-31,2024-06-24,2001-03-15,2002,2002-01-01,6260,5911,349,0.9442492012779553,311,26
^NYA_data,data/raw/transition_forecasting/global_stock_indices_historical_data/individual_indices_data/^NYA_data.csv,1965-12-31,2024-06-24,2003-01-09,2003,2003-01-01,14718,5400,9318,0.36689767631471665,9318,60
^NZ50_data,data/raw/transition_forecasting/global_stock_indices_historical_data/individual_indices_data/^NZ50_data.csv,2003-01-03,2024-06-24,2003-02-24,2004,2004-01-01,5292,5178,114,0.9784580498866213,35,22
^STOXX50E_data,data/raw/transition_forecasting/global_stock_indices_historical_data/individual_indices_data/^STOXX50E_data.csv,2007-03-30,2024-06-24,2007-03-30,2007,2007-01-01,4321,4313,8,0.9981485767183522,1,18
