old_path,new_path,producer_script,consumer_scripts,historical_or_new_default,status,provenance_confidence,notes
results/modeling/day5_branching/baseline/cross_market_day5_direction_v1/day5_landmark_frame.csv,results/modeling/day5_branching/baseline/cross_market_day5_direction_v1__day5_landmark_frame.csv,scripts/modeling/day5_branching/baseline/run_cross_market_day5_direction_baselines.py,scripts/modeling/day5_branching/baseline/run_cross_market_day5_confirmatory_baselines.py;scripts/modeling/day5_branching/baseline/run_cross_market_day5_regularized_controls.py;scripts/modeling/day5_branching/baseline/build_cross_market_day5_path_panel_exploratory.py;scripts/modeling/day5_branching/static_rydberg/run_cross_market_day5_fixed_quantum_feature.py;scripts/modeling/day5_branching/static_rydberg/run_cross_market_day5_fixed_rydberg_feature.py,both,migrated,high,Flattened during 2026-07-13 cleanup; downstream consumers updated.
results/modeling/day5_branching/spatial_rydberg/day5_spatial_rydberg_assay/predictions_shard_<n>.csv,,scripts/modeling/day5_branching/spatial_rydberg/run_day5_spatial_rydberg_assay_shard.py,scripts/modeling/day5_branching/spatial_rydberg/merge_day5_spatial_rydberg_assay.py,unknown,missing,low,Historical shard runs used explicit --outdir values across three Macs; later default path is not evidence of original location.
results/modeling/day5_branching/spatial_rydberg/day5_spatial_rydberg_assay/feature_diagnostics_shard_<n>.csv,,scripts/modeling/day5_branching/spatial_rydberg/run_day5_spatial_rydberg_assay_shard.py,scripts/modeling/day5_branching/spatial_rydberg/merge_day5_spatial_rydberg_assay.py,unknown,missing,low,Historical shard runs used explicit --outdir values across three Macs; collected copies are currently missing.
results/modeling/day5_branching/spatial_rydberg/day5_spatial_rydberg_assay/manifest_shard_<n>.json,,scripts/modeling/day5_branching/spatial_rydberg/run_day5_spatial_rydberg_assay_shard.py,scripts/modeling/day5_branching/spatial_rydberg/merge_day5_spatial_rydberg_assay.py,unknown,missing,low,Historical shard manifests are currently missing.
results/modeling/day5_branching/spatial_rydberg/day5_spatial_rydberg_assay/predictions.csv,,scripts/modeling/day5_branching/spatial_rydberg/merge_day5_spatial_rydberg_assay.py,,unknown,missing,low,Merged spatial Rydberg output was produced historically but is not present in the current checkout.
results/modeling/day5_branching/spatial_rydberg/day5_spatial_rydberg_assay/summary_metrics.csv,,scripts/modeling/day5_branching/spatial_rydberg/merge_day5_spatial_rydberg_assay.py,,unknown,missing,low,Merged spatial Rydberg output was produced historically but is not present in the current checkout.
results/modeling/day5_branching/spatial_rydberg/day5_spatial_rydberg_assay/paired_score_deltas.csv,,scripts/modeling/day5_branching/spatial_rydberg/merge_day5_spatial_rydberg_assay.py,,unknown,missing,low,Merged spatial Rydberg output was produced historically but is not present in the current checkout.
results/modeling/day5_branching/spatial_rydberg/day5_spatial_rydberg_assay/cluster_weighted_metrics.csv,,scripts/modeling/day5_branching/spatial_rydberg/merge_day5_spatial_rydberg_assay.py,,unknown,missing,low,Merged spatial Rydberg output was produced historically but is not present in the current checkout.
results/modeling/day5_branching/spatial_rydberg/day5_spatial_rydberg_assay/all_market_model_ranking.csv,,scripts/modeling/day5_branching/spatial_rydberg/merge_day5_spatial_rydberg_assay.py,,unknown,missing,low,Merged spatial Rydberg output was produced historically but is not present in the current checkout.
results/modeling/day5_branching/spatial_rydberg/day5_spatial_rydberg_assay/feature_diagnostics.csv,,scripts/modeling/day5_branching/spatial_rydberg/merge_day5_spatial_rydberg_assay.py,,unknown,missing,low,Merged spatial Rydberg output was produced historically but is not present in the current checkout.
results/modeling/day5_branching/spatial_rydberg/day5_spatial_rydberg_assay/feature_diagnostics_summary.csv,,scripts/modeling/day5_branching/spatial_rydberg/merge_day5_spatial_rydberg_assay.py,,unknown,missing,low,Merged spatial Rydberg output was produced historically but is not present in the current checkout.
results/modeling/day5_branching/spatial_rydberg/day5_spatial_rydberg_assay/merge_manifest.json,,scripts/modeling/day5_branching/spatial_rydberg/merge_day5_spatial_rydberg_assay.py,,unknown,missing,low,Merged spatial Rydberg manifest is currently missing.
