feature_set,model_name,model_kind,threshold,n_features,config,val_balanced_accuracy,val_roc_auc,val_pr_auc,val_precision_class_1,val_recall_class_1,val_f1_class_1,test_balanced_accuracy,test_roc_auc,test_pr_auc,test_precision_class_1,test_recall_class_1,test_f1_class_1
compact_corr_pruned_0.95,ridge_classifier,ridge,-0.29596517472486594,11,"{'name': 'ridge_classifier', 'kind': 'ridge', 'scale': True, 'class_weight': 'balanced', 'random_state': 42, 'params': {'alpha': 1.0}}",0.8069269157799224,0.9085003711952486,0.5777176960741521,0.463855421686747,0.7129629629629629,0.5620437956204379,0.723115956171411,0.8497039990334663,0.6610463369301105,0.38845553822152884,0.9325842696629213,0.5484581497797357
compact,ridge_classifier,ridge,-0.3533594639451999,12,"{'name': 'ridge_classifier', 'kind': 'ridge', 'scale': True, 'class_weight': 'balanced', 'random_state': 42, 'params': {'alpha': 1.0}}",0.8317145096098326,0.9087272127361213,0.5660137755754048,0.4336734693877551,0.7870370370370371,0.5592105263157895,0.6946729119617847,0.8492718469159208,0.6587587975354166,0.3574408901251738,0.9625468164794008,0.5212981744421906
expanded,logistic_l2,logistic,0.349937807218951,19,"{'name': 'logistic_l2', 'kind': 'logistic', 'scale': True, 'class_weight': 'balanced', 'random_state': 42, 'params': {'C': 1.0, 'penalty': 'l2'}}",0.8074837086529736,0.9001484780994803,0.5515809815510889,0.4666666666666667,0.7129629629629629,0.5641025641025641,0.7385084711108633,0.8587327255322906,0.7102895413953512,0.4149305555555556,0.8951310861423221,0.5670225385527876
compact_pca_6,random_forest,random_forest,0.5181894261554219,6,"{'name': 'random_forest', 'kind': 'random_forest', 'scale': False, 'class_weight': 'balanced', 'random_state': 42, 'params': {'n_estimators': 300, 'max_depth': 5, 'min_samples_leaf': 25, 'n_jobs': -1}}",0.7876763177431328,0.8868679369792956,0.5512045086984461,0.4675324675324675,0.6666666666666666,0.549618320610687,0.7707433016421781,0.8509307534316597,0.6669757115423633,0.45930232558139533,0.8876404494382022,0.6053639846743295
expanded,linear_svc,linear_svc,-0.2835437792726476,19,"{'name': 'linear_svc', 'kind': 'linear_svc', 'scale': True, 'class_weight': 'balanced', 'random_state': 42, 'params': {'C': 1.0}}",0.8193207126948775,0.8991380021446836,0.5507248004486996,0.44751381215469616,0.75,0.5605536332179931,0.7267567215918067,0.8568833003410748,0.7078033607256693,0.3986820428336079,0.9063670411985019,0.5537757437070938
expanded,logistic_l1,logistic,0.36140014399119147,19,"{'name': 'logistic_l1', 'kind': 'logistic', 'scale': True, 'class_weight': 'balanced', 'random_state': 42, 'params': {'C': 0.3, 'penalty': 'l1', 'solver': 'liblinear'}}",0.7974923698754435,0.8992308009568588,0.5488891940009739,0.4774193548387097,0.6851851851851852,0.5627376425855514,0.7515822343658516,0.862431575914722,0.7129687173670989,0.425569176882662,0.9101123595505618,0.5799522673031027
compact_pca_6,extra_trees,extra_trees,0.5087253763386804,6,"{'name': 'extra_trees', 'kind': 'extra_trees', 'scale': False, 'class_weight': 'balanced', 'random_state': 42, 'params': {'n_estimators': 300, 'max_depth': 5, 'min_samples_leaf': 25, 'n_jobs': -1}}",0.7739936484368555,0.8875381506227831,0.5480932352200661,0.5075757575757576,0.6203703703703703,0.5583333333333333,0.7606783394206373,0.8455358221577867,0.6923362651990225,0.46487603305785125,0.8426966292134831,0.5992010652463382
expanded,ridge_classifier,ridge,-0.037069205054455434,19,"{'name': 'ridge_classifier', 'kind': 'ridge', 'scale': True, 'class_weight': 'balanced', 'random_state': 42, 'params': {'alpha': 1.0}}",0.7321826280623608,0.8961581291759465,0.5464924123329175,0.627906976744186,0.5,0.5567010309278351,0.7678204663525432,0.8409726675402646,0.6430553888091572,0.5407608695652174,0.7453183520599251,0.6267716535433071
compact_corr_pruned_0.95,logistic_l1,logistic,0.5574659779650101,11,"{'name': 'logistic_l1', 'kind': 'logistic', 'scale': True, 'class_weight': 'balanced', 'random_state': 42, 'params': {'C': 0.3, 'penalty': 'l1', 'solver': 'liblinear'}}",0.7497628474799967,0.8940753113915697,0.5428216717375737,0.5841584158415841,0.5462962962962963,0.5645933014354066,0.7809987825391957,0.8629334299867102,0.705523331855711,0.531328320802005,0.7940074906367042,0.6366366366366366
compact,logistic_l1,logistic,0.5574878353039077,12,"{'name': 'logistic_l1', 'kind': 'logistic', 'scale': True, 'class_weight': 'balanced', 'random_state': 42, 'params': {'C': 0.3, 'penalty': 'l1', 'solver': 'liblinear'}}",0.7497628474799967,0.8940443784541781,0.5427815328265285,0.5841584158415841,0.5462962962962963,0.5645933014354066,0.7809987825391957,0.8629055492049331,0.7054353761565356,0.531328320802005,0.7940074906367042,0.6366366366366366
