feature,importance_mean,importance_std
vix_close,0.4543415204102331,0.01165294574462852
vix_pct_change,0.128327556389715,0.013749648617216685
vix_change,0.09642466587603435,0.01503892074502625
rv_10d,0.08764815622836289,0.018836014042847977
rv_20d,0.06711083822877284,0.017638499859983593
spy_range,0.010411008396741455,0.006050209638679077
rv_5d,0.0074468960048021445,0.0034692551579176903
spy_abs_return,0.0023498637645842425,0.003276222058533641
spy_drawdown_20d,0.0010794876895150907,0.0009314319126935351
spy_dollar_volume,-0.0014398538735155176,0.001969162760621574
spy_log_return,-0.0026229720423299905,0.004785708602689463
