group,model,n,rmse,mae,qlike,mz_intercept,mz_slope,mean_actual,mean_prediction
all_complete,persistence,48,0.13634030112116388,0.09264686198954401,0.06885423706769955,0.10586070266451619,0.5409350620070627,0.2739922974996713,0.3108165963791049
all_complete,har,48,0.1128150074458983,0.07001891793260188,0.06320522914706575,0.05341172657169351,0.8236800078138165,0.2739922974996713,0.2677988646506489
binary,persistence,30,0.13636741989737108,0.09165411861020577,0.08631959296321766,0.105107041415274,0.5980998845189982,0.26564096937857595,0.2684065523477001
binary,har,30,0.13397317749520077,0.08061986431073592,0.08966278821752005,0.05712817113872465,0.8622324179610825,0.26564096937857595,0.24182899401175445
mixed,persistence,18,0.13629509117003874,0.09430143428844105,0.03974531057516934,0.062024158158792635,0.5921022744647565,0.28791117770149705,0.38150000309811294
mixed,har,18,0.06343959278805283,0.05235067396904515,0.019109297362975248,0.009405672446118082,0.8952800902279732,0.28791117770149705,0.3110819823821398
recovery,persistence,17,0.10502797227335647,0.07798232618316131,0.07234114334264022,0.10567740508932366,0.3712299008521488,0.2105379474218525,0.28246793184445573
recovery,har,17,0.06449202419583354,0.051079441984535436,0.047304025523198824,0.045520533173557726,0.6716083896350415,0.2105379474218525,0.24570481369055994
relapse,persistence,13,0.16878692119548871,0.10953261639941775,0.10459910400551127,-0.200455684537278,2.152457711556386,0.3376987673219836,0.2500185945442505
relapse,har,13,0.18968751803992823,0.11924964735269042,0.14505501635624782,-0.027852843448864698,1.5439713723001045,0.3376987673219836,0.23676061443177804
