episode_id,branch_date,outcome,rv_20d,har_future_rv20_pred,har_log_future_to_current,har_future_minus_current,har_daily_train_rows,har_latest_target_row
1,1997-04-07,recovery,0.1884436089975106,0.13581665999948608,-0.32749291761139304,-0.0526269489980245,976,975
2,1998-08-11,relapse,0.2202984440807294,0.22212658977496746,0.00826425251376652,0.0018281456942380592,1315,1314
3,1998-10-12,recovery,0.2915277200153303,0.3493641366517093,0.18097965410199957,0.05783641663637901,1358,1357
4,1999-10-20,recovery,0.2105550322762708,0.1840049856829562,-0.13478420160087182,-0.026550046593314586,1616,1615
5,2000-04-24,mixed,0.2871678955373997,0.22080297490236545,-0.26279625898332887,-0.06636492063503424,1743,1742
6,2000-10-20,mixed,0.2696195318056641,0.20087772390657255,-0.29431543959166034,-0.06874180789909157,1869,1868
7,2000-11-17,relapse,0.2121505813097542,0.2023290753722414,-0.04740085385178351,-0.009821505937512798,1889,1888
8,2000-12-28,mixed,0.2810685623115018,0.2173923999338731,-0.25689461839295763,-0.06367616237762869,1916,1915
9,2001-03-06,relapse,0.1955438598514125,0.21092912169108305,0.07573745955816262,0.015385261839670539,1961,1960
10,2001-04-10,recovery,0.3257166140371877,0.24527110476535396,-0.28366357239526996,-0.08044550927183375,1986,1985
11,2001-09-26,recovery,0.3214259006196952,0.2970855364297756,-0.0787469381401609,-0.02434036418991964,2099,2098
12,2002-06-28,relapse,0.2329245765347654,0.20626154653366177,-0.12156968846097203,-0.02666303000110362,2289,2288
13,2002-07-31,mixed,0.4289537359694462,0.27181608792140405,-0.4562233812921265,-0.15713764804804214,2311,2310
14,2002-09-10,relapse,0.2769126172102369,0.2872688616748478,0.03671658241284177,0.010356244464610864,2339,2338
15,2002-10-14,mixed,0.3866739140675084,0.3199176136570591,-0.18951823321043035,-0.06675630041044928,2363,2362
16,2002-12-16,relapse,0.2343630492521039,0.22632862587405672,-0.03488336568181524,-0.00803442337804719,2407,2406
17,2003-01-31,relapse,0.2102507722443927,0.264535425878655,0.22967420577087774,0.05428465363426227,2438,2437
18,2007-08-17,recovery,0.2449461057267943,0.23443205752691473,-0.04387239717618083,-0.010514048199879555,3582,3581
19,2008-01-25,mixed,0.2182025045016677,0.2390196031961352,0.09112201896648825,0.02081709869446749,3692,3691
20,2008-07-23,relapse,0.202239195458588,0.1651612658261367,-0.20252876756873625,-0.03707792963245132,3816,3815
21,2008-09-24,relapse,0.3742323974576735,0.29628578009747314,-0.23355252615560904,-0.07794661736020037,3860,3859
22,2008-10-22,mixed,0.8689480566418832,0.6065086853742876,-0.3595643009973331,-0.26243937126759564,3880,3879
23,2008-11-28,mixed,0.6783765824141477,0.5655688210319278,-0.18187057744589652,-0.11280776138221982,3906,3905
24,2008-12-30,relapse,0.3436858644934255,0.3367691648214314,-0.02033033075782753,-0.006916699671994098,3927,3926
25,2009-03-17,recovery,0.4236878084843929,0.36971062675409777,-0.13627627349241758,-0.05397718173029514,3979,3978
26,2010-02-11,recovery,0.204316030806767,0.1983067558146914,-0.029852862136209527,-0.006009274992075597,4208,4207
27,2010-05-27,mixed,0.3209726883723213,0.2646310758847049,-0.19301934700865833,-0.05634161248761638,4281,4280
28,2010-07-07,mixed,0.2279349020940725,0.2292800544582884,0.005884130543133611,0.0013451523642158958,4308,4307
29,2011-08-15,mixed,0.4355043590365506,0.35788342366641396,-0.19629750435694127,-0.07762093537013665,4588,4587
30,2011-09-13,recovery,0.3043916709643159,0.3023144841004449,-0.006847449832876032,-0.0020771868638709834,4608,4607
31,2011-10-11,mixed,0.3078194439667563,0.2822872182680666,-0.08658833308076104,-0.025532225698689737,4628,4627
32,2011-11-29,recovery,0.2706291966438673,0.2540947055383979,-0.06304255189035997,-0.016534491105469395,4662,4661
33,2015-08-31,mixed,0.2716604891855252,0.2688778628166592,-0.010295850199833178,-0.0027826263688660036,5605,5604
34,2016-01-25,recovery,0.2138460416770954,0.20658198321442298,-0.03455897793431302,-0.007264058462672418,5705,5704
35,2018-02-12,mixed,0.2534058850443693,0.24491857581922394,-0.03406668023264209,-0.008487309225145345,6222,6221
36,2018-04-04,mixed,0.2140190676189896,0.17993349688811544,-0.17347779118618994,-0.03408557073087415,6257,6256
37,2018-10-31,relapse,0.2384440518005149,0.18814833060476477,-0.23690405484624658,-0.050295721195750126,6404,6403
38,2019-01-04,recovery,0.3012671542889019,0.20785111230506093,-0.3711754097171808,-0.09341604198384096,6447,6446
39,2020-03-25,mixed,0.9094129882929656,0.6247947107443904,-0.3753761905835087,-0.28461827754857516,6754,6753
40,2020-06-18,recovery,0.2683589348857267,0.2637944041981531,-0.01715536594208324,-0.00456453068757362,6813,6812
41,2020-09-17,recovery,0.2138683019320517,0.21714261719592154,0.015193945719638053,0.0032743152638698425,6876,6875
42,2022-03-03,mixed,0.2276616730342596,0.2517961055340677,0.10075901828733848,0.024134432499808123,7243,7242
43,2022-05-06,relapse,0.2993251982392771,0.2736491295319252,-0.0896838652596042,-0.025676068707351896,7288,7287
44,2022-06-21,recovery,0.3035928770456373,0.2674789528483742,-0.1266467013048389,-0.036113924197263114,7318,7317
45,2022-09-07,relapse,0.2098711211423826,0.19809506993187048,-0.05774656684540328,-0.011776051210512117,7372,7371
46,2022-10-20,mixed,0.2795977758710039,0.2531692488749616,-0.09929382269287233,-0.026428526996042256,7403,7402
47,2022-12-23,recovery,0.2093134508053907,0.1680082175930648,-0.21982000060872653,-0.041305233212325904,7448,7447
48,2025-04-17,recovery,0.5060683921488114,0.27572349212069375,-0.6072732991058161,-0.23034490002811764,8027,8026
