step,test_episode_id,test_branch_idx,test_branch_date,test_outcome,n_train,train_start,train_end,latest_train_outcome_available_idx,leakage_gap_rows
1,19,7482,1979-10-29,recovery,18,1953-04-13,1974-12-30,6301,1181
2,20,7588,1980-03-31,recovery,19,1953-04-13,1979-10-29,7522,66
3,21,7768,1980-12-16,mixed,20,1953-04-13,1980-03-31,7628,140
4,22,7956,1981-09-15,relapse,21,1953-04-13,1980-12-16,7808,148
5,23,8081,1982-03-15,recovery,22,1953-04-13,1981-09-15,7996,85
6,24,8187,1982-08-13,recovery,23,1953-04-13,1982-03-15,8121,66
7,25,9224,1986-09-19,recovery,24,1953-04-13,1982-08-13,8227,997
8,26,9502,1987-10-26,mixed,25,1953-04-13,1986-09-19,9264,238
9,27,9534,1987-12-10,mixed,25,1953-04-13,1986-09-19,9264,270
10,28,9558,1988-01-15,mixed,26,1953-04-13,1987-10-26,9542,16
11,29,10015,1989-11-03,recovery,28,1953-04-13,1988-01-15,9598,417
12,30,10209,1990-08-13,relapse,29,1953-04-13,1989-11-03,10055,154
13,31,10256,1990-10-18,recovery,30,1953-04-13,1990-08-13,10249,7
14,32,11135,1994-04-11,mixed,31,1953-04-13,1990-10-18,10296,839
15,33,11890,1997-04-07,recovery,32,1953-04-13,1994-04-11,11175,715
16,34,12230,1998-08-11,relapse,33,1953-04-13,1997-04-07,11930,300
17,35,12273,1998-10-12,recovery,34,1953-04-13,1998-08-11,12270,3
18,36,12533,1999-10-22,recovery,35,1953-04-13,1998-10-12,12313,220
19,37,12659,2000-04-24,mixed,36,1953-04-13,1999-10-22,12573,86
20,38,12785,2000-10-20,mixed,37,1953-04-13,2000-04-24,12699,86
21,39,12805,2000-11-17,relapse,37,1953-04-13,2000-04-24,12699,106
22,40,12832,2000-12-28,mixed,38,1953-04-13,2000-10-20,12825,7
23,41,12877,2001-03-06,relapse,40,1953-04-13,2000-12-28,12872,5
24,42,12904,2001-04-12,mixed,40,1953-04-13,2000-12-28,12872,32
25,43,13016,2001-09-27,recovery,42,1953-04-13,2001-04-12,12944,72
26,44,13205,2002-06-28,relapse,43,1953-04-13,2001-09-27,13056,149
27,45,13227,2002-07-31,mixed,43,1953-04-13,2001-09-27,13056,171
28,46,13255,2002-09-10,relapse,44,1953-04-13,2002-06-28,13245,10
29,47,13283,2002-10-18,mixed,45,1953-04-13,2002-07-31,13267,16
30,48,13355,2003-02-03,relapse,47,1953-04-13,2002-10-18,13323,32
31,49,14500,2007-08-21,recovery,48,1953-04-13,2003-02-03,13395,1105
32,50,14608,2008-01-25,mixed,49,1953-04-13,2007-08-21,14540,68
33,51,14776,2008-09-24,relapse,50,1953-04-13,2008-01-25,14648,128
34,52,14801,2008-10-29,mixed,50,1953-04-13,2008-01-25,14648,153
35,53,14822,2008-11-28,mixed,51,1953-04-13,2008-09-24,14816,6
36,54,14843,2008-12-30,relapse,52,1953-04-13,2008-10-29,14841,2
37,55,14868,2009-02-05,relapse,53,1953-04-13,2008-11-28,14862,6
38,56,14895,2009-03-17,recovery,54,1953-04-13,2008-12-30,14883,12
39,57,15124,2010-02-11,recovery,56,1953-04-13,2009-03-17,14935,189
40,58,15197,2010-05-27,mixed,57,1953-04-13,2010-02-11,15164,33
41,59,15224,2010-07-07,mixed,57,1953-04-13,2010-02-11,15164,60
42,60,15504,2011-08-15,mixed,59,1953-04-13,2010-07-07,15264,240
43,61,15524,2011-09-13,recovery,59,1953-04-13,2010-07-07,15264,260
44,62,15544,2011-10-11,mixed,59,1953-04-13,2010-07-07,15264,280
45,63,15578,2011-11-29,recovery,61,1953-04-13,2011-09-13,15564,14
46,64,16521,2015-08-31,mixed,63,1953-04-13,2011-11-29,15618,903
47,65,16621,2016-01-25,recovery,64,1953-04-13,2015-08-31,16561,60
48,66,17138,2018-02-12,mixed,65,1953-04-13,2016-01-25,16661,477
49,67,17173,2018-04-04,mixed,65,1953-04-13,2016-01-25,16661,512
50,68,17320,2018-10-31,relapse,67,1953-04-13,2018-04-04,17213,107
51,69,17363,2019-01-04,recovery,68,1953-04-13,2018-10-31,17360,3
52,70,17670,2020-03-25,mixed,69,1953-04-13,2019-01-04,17403,267
53,71,17729,2020-06-18,recovery,70,1953-04-13,2020-03-25,17710,19
54,72,17792,2020-09-17,recovery,71,1953-04-13,2020-06-18,17769,23
55,73,18136,2022-01-28,relapse,72,1953-04-13,2020-09-17,17832,304
56,74,18159,2022-03-03,mixed,72,1953-04-13,2020-09-17,17832,327
57,75,18204,2022-05-06,relapse,74,1953-04-13,2022-03-03,18199,5
58,76,18234,2022-06-21,recovery,74,1953-04-13,2022-03-03,18199,35
59,77,18288,2022-09-07,relapse,76,1953-04-13,2022-06-21,18274,14
60,78,18319,2022-10-20,mixed,76,1953-04-13,2022-06-21,18274,45
61,79,18364,2022-12-23,mixed,78,1953-04-13,2022-10-20,18359,5
62,80,18943,2025-04-17,recovery,79,1953-04-13,2022-12-23,18404,539
