model,n_oos,n_recovery,n_relapse,roc_auc,pr_auc_recovery,log_loss,brier,accuracy_0p5,mean_p_recovery
historical_class_rate,37,22,15,0.3954545454545454,0.5348813449391355,0.6963679197149526,0.25077841124776334,0.5945945945945946,0.6257261395409093
state_plus_motion,37,22,15,0.40303030303030307,0.5549228510715659,0.7067139940012094,0.2554576771144494,0.5675675675675675,0.634056313715165
current_state,37,22,15,0.36363636363636365,0.5188188804320979,0.7199179534115444,0.26163371222273385,0.5675675675675675,0.6256249155949656
continuous_esn_seed0,37,22,15,0.3303030303030303,0.5231990328010618,0.9173213177648052,0.32399941541987026,0.4594594594594595,0.6424806558383547
reset_esn_seed0,37,22,15,0.3151515151515151,0.5113368008301343,0.9179045018933881,0.32551973174263155,0.4594594594594595,0.6412279017557264
reset_esn_seed2,37,22,15,0.3363636363636364,0.5200251774772986,0.9096314828911681,0.32783563727117815,0.4864864864864865,0.6309011945986974
continuous_esn_ensemble,37,22,15,0.34545454545454546,0.5277587388596012,0.9098229769857182,0.32850553202340693,0.5135135135135135,0.6305461356841925
reset_esn_ensemble,37,22,15,0.3484848484848485,0.5279544901969718,0.912940166720357,0.32887520970731865,0.4864864864864865,0.6314474272527928
continuous_esn_seed2,37,22,15,0.34242424242424246,0.5273268451755262,0.9128985002888422,0.33102032909982115,0.4864864864864865,0.6292490522173813
continuous_esn_seed1,37,22,15,0.33636363636363636,0.5152231497846196,0.9392504439512696,0.3404922524181005,0.4864864864864865,0.6199086989968418
reset_esn_seed1,37,22,15,0.3242424242424242,0.5145401837607444,0.9420926942591474,0.3417308821539683,0.4864864864864865,0.622213185403955
full_path_linear,37,22,15,0.2787878787878788,0.5164447357340417,1.2009301676129844,0.4163444615727991,0.32432432432432434,0.604053162210157
