episode_id,start_idx,branch_idx,end_idx,start_date,branch_date,end_date,candidate_days,calendar_rows,rv_20d,branch_stress_cut,drawdown_120d,rv_ratio_5_20_branch,rv_5d_change_5d_branch,return_5d_branch,worst_return_5d_in_prior_window,outcome,forward_return_h,worst_forward_drawdown_h,vol_scaled_move_unit,outcome_complete,outcome_horizon,har_future_rv20_pred,actual_future_rv20,har_log_residual_actual
1,816,816,830,1953-04-13,1953-04-13,1953-05-01,8,15,0.125702383081396,0.1170945553339768,-0.0708927006926408,0.5894742289459086,-0.1500902805455484,0.0064803727779141,-0.0545589506429422,mixed,-0.0306822856211788,-0.0306822856211788,0.0500810281734653,True,40,0.12355020480846542,0.0929254193800686,-0.2848503608544198
2,1441,1441,1455,1955-10-03,1955-10-03,1955-10-21,6,15,0.2920077636379733,0.1155567538944627,-0.0688143615197626,0.9847327963781668,-0.2017497328718111,-0.0028201882066092,-0.0581227540666731,recovery,0.0710754653746434,-0.0397741203729514,0.116338677749287,True,40,0.19001851979406065,0.1559554190680186,-0.19755134880764705
3,1964,1964,1977,1957-10-30,1957-10-30,1957-11-19,7,14,0.2364553857319549,0.1228874782397256,-0.1650722661110393,0.3503156562632434,-0.3166904652501545,0.0070948533824175,-0.0667327191567017,mixed,-0.0351047930433759,-0.0399804819928528,0.094206080619344,True,40,0.15472888928601397,0.2036193466228903,0.2745778187929235
4,3109,3109,3124,1962-05-18,1962-05-18,1962-06-11,5,16,0.1546011056012303,0.1166953027114721,-0.1214207016648338,0.9538654547281524,-0.0411361006650011,0.0185029103705911,-0.0557207721294616,relapse,-0.1103102624442394,-0.1801942973204471,0.0615945548164394,True,40,0.11874381943609212,0.3984522071819653,1.210619164542276
5,3137,3137,3148,1962-06-28,1962-06-28,1962-07-16,9,12,0.2751751340967472,0.1173514465740911,-0.2343090104591207,0.9964325343654548,-0.0001864112487136,0.015185471339346,-0.0722393216963528,recovery,0.0950193346469652,0.0062488541360299,0.1096323976166201,True,40,0.1846289184753964,0.1455828325040991,-0.23760274441084323
6,3224,3224,3229,1962-10-31,1962-10-31,1962-11-08,6,6,0.198164912543497,0.1185498047863421,-0.1208586148252341,0.9933428034880638,-0.1316118890512908,0.0234504862021545,-0.0649590727651441,recovery,0.1164189306982494,0.0106156841695261,0.0789507909460785,True,40,0.15663970025827756,0.1261557788092547,-0.21643078214080042
7,4118,4118,4124,1966-05-20,1966-05-20,1966-05-31,5,7,0.1450727651211291,0.111347423729075,-0.0917499200235678,1.1768282583741925,-0.0025637033392741,-0.0004681207244079,-0.0516987005553009,mixed,0.010534958710803,-0.0080768165625821,0.057798373102674,True,40,0.1273390042546512,0.09135087406077,-0.33214500393742047
8,4192,4192,4201,1966-09-06,1966-09-06,1966-09-19,8,10,0.1899871375311077,0.1122614708620805,-0.16727980297307,0.9775539686801132,-0.0793656420505783,0.0320840819463841,-0.0559221367916684,recovery,0.0500259682941948,-0.0488565771954262,0.0756926873942427,True,40,0.14761358515228784,0.1576566318014139,0.06582150346042383
9,4898,4898,4909,1969-08-07,1969-08-07,1969-08-22,9,12,0.1701700418359802,0.1098953546443781,-0.1146383325030306,0.8242622640902948,-0.0847394989274965,0.0232493093388921,-0.0512101295979094,mixed,-0.0085114952712607,-0.0156399750411077,0.0677973674846647,True,40,0.13207578069728304,0.09124981594026,-0.3697748786802093
10,5106,5106,5119,1970-06-03,1970-06-03,1970-06-22,8,14,0.3083829922932397,0.110535677071376,-0.1598545108897648,0.931538666621932,-0.1462430741109824,0.0760495904274067,-0.0912254862474499,relapse,-0.0057309853219653,-0.0928425063397725,0.1228627250070093,True,40,0.20611668635955466,0.1712721677541833,-0.1851885315578007
11,5135,5135,5143,1970-07-15,1970-07-15,1970-07-27,7,9,0.168642175081621,0.1112944299325212,-0.1662418202586417,0.7958941226493295,-0.0810080287509698,0.030090691046011,-0.0501676786782043,recovery,0.0939784577873823,-0.0062475235907297,0.067188650799311,True,40,0.13846344371884892,0.1257788698400742,-0.09608098265643089
12,6002,6002,6031,1973-12-19,1973-12-19,1974-01-31,19,30,0.2632271217752742,0.1123311221921292,-0.1491385712713047,0.7361324990745584,-0.1505470106927311,0.013270538229146,-0.0728646609502581,mixed,-0.0268930928070547,-0.0438725590181785,0.1048721955661853,True,40,0.17916024475224052,0.2400026348443376,0.292369274351786
13,6093,6093,6100,1974-05-01,1974-05-01,1974-05-10,6,8,0.1631845777241214,0.1139954824787107,-0.1382918696187619,1.03481400254667,-0.0212681608680938,0.0210395457967118,-0.0565379645801265,relapse,-0.0640859204497884,-0.0640859204497884,0.0650142919660073,True,40,0.13909926250356885,0.1445656369126707,0.03854584210895347
14,6148,6148,6161,1974-07-19,1974-07-19,1974-08-07,7,14,0.237652136935563,0.1148390797828846,-0.1624222708563624,0.5310382708456919,-0.2586280552370336,0.0046793460383227,-0.0587876924580905,relapse,-0.2068470025128416,-0.2195355969151821,0.0946828777116133,True,40,0.17035739476273534,0.211825246163222,0.21786307179321346
15,6185,6185,6195,1974-09-11,1974-09-11,1974-09-25,5,11,0.2753220294555571,0.1153848615255912,-0.3001530863959051,1.0830857567408685,-0.0395603245154905,-0.0020402132411359,-0.0743220327894453,mixed,0.0904448821623093,-0.0914661414052286,0.1096909221284295,True,40,0.21131042706831488,0.3345364902420693,0.45941769190559906
16,6210,6210,6220,1974-10-16,1974-10-16,1974-10-30,7,11,0.3423764244767445,0.1157023612888482,-0.2445756929780805,0.984015877353046,-0.1127469276331756,0.0363413441574103,-0.0885053408071208,mixed,-0.0409498764088018,-0.0756433891129964,0.1364060325654071,True,40,0.2560855182764107,0.2496260842570513,-0.0255473091925203
17,6239,6239,6256,1974-11-26,1974-11-26,1974-12-20,10,18,0.2230449594178492,0.1161826836271629,-0.2538130788475402,0.4862828617099651,-0.2032378993668575,0.0184505021742147,-0.0814742729304933,mixed,0.0505254365129395,-0.0642003599554207,0.088863238888014,True,40,0.17903329353003133,0.2075633756272621,0.1478649318279535
18,6261,6261,6262,1974-12-30,1974-12-30,1974-12-31,2,2,0.2067823802483938,0.1166606254941562,-0.2097893240359866,0.7567489079693446,-0.0053537720987824,0.0037293992108775,-0.0735254591274925,recovery,0.1966944366312704,0.0208456494959101,0.0823840722597145,True,40,0.1666233311936093,0.2198005570403439,0.2769848131652477
19,7482,7482,7487,1979-10-29,1979-10-29,1979-11-05,6,6,0.1638895111190361,0.1190700075800022,-0.0949042677916875,0.3735532411541654,-0.0930425890301209,0.0,-0.0628682973986816,recovery,0.0702015664690265,-0.0083407441716493,0.0652951441530997,True,40,0.12251892331161214,0.1560507290345684,0.24191564643926763
20,7588,7588,7598,1980-03-31,1980-03-31,1980-04-15,10,11,0.2399663132859371,0.1201601776417635,-0.1380446282209777,0.8648520274429787,-0.059960908779437,0.0279106127087489,-0.0613177357839456,recovery,0.0976589438568014,-0.0224311232077386,0.0956048676386173,True,40,0.1842853013628994,0.1838679403909179,-0.002267322970125591
21,7768,7768,7768,1980-12-16,1980-12-16,1980-12-16,1,1,0.1857403607267034,0.1219733764647111,-0.0705949179286313,0.965160591297417,-0.045642941167716,0.0009193380081766,-0.0691603255502952,mixed,-0.0238897595771095,-0.0282542287056364,0.0740007310162154,True,40,0.16285073723877683,0.1462668441458779,-0.10740140568830342
22,7956,7956,7957,1981-09-15,1981-09-15,1981-09-16,2,2,0.1807345144381018,0.1229063057075975,-0.1230139106697777,0.8692256243391919,-0.0384276265399132,0.0150580619029065,-0.0565059835439045,relapse,0.0244635583810497,-0.0584453552325054,0.0720063541168597,True,40,0.1487355062881013,0.1717459451532163,0.1438467188579162
23,8081,8081,8095,1982-03-15,1982-03-15,1982-04-02,8,15,0.1432748711854668,0.1243954402569464,-0.1337554549265811,0.893582733858272,-0.0641440926233225,0.0194664634544361,-0.0541260712144495,recovery,0.0910918364430639,-0.0033804945409223,0.0570820750131899,True,40,0.13617706589066014,0.1240709803362625,-0.0931021701051939
24,8187,8187,8188,1982-08-13,1982-08-13,1982-08-16,2,2,0.1447905414641555,0.1245337029418623,-0.1307441415165502,0.7648843931704241,-0.1077183796782766,0.0013490018551376,-0.0556590064105622,recovery,0.2948483697302353,0.0023110049811829,0.0576859325063255,True,40,0.13266869644818433,0.2790140411729475,0.7434070909798013
25,9224,9224,9238,1986-09-19,1986-09-19,1986-10-09,12,15,0.2298510041325507,0.1266205043685093,-0.085175097353454,0.1919866374857375,-0.3382118519556177,0.0066540537972956,-0.0823510479734537,recovery,0.0529262001239969,-0.0099048403826623,0.0915748320078208,True,40,0.17321920297653073,0.1188098711908895,-0.37703336736240406
26,9502,9502,9525,1987-10-26,1987-10-26,1987-11-27,11,24,0.9895556214150196,0.1281935059438453,-0.3239599560645453,0.998000795442038,-0.7070201704425183,0.0125081821950985,-0.3192136424960248,mixed,0.0978609345038239,-0.016471208460314,0.3942483964143019,True,40,0.7004752743900358,0.3219523600141536,-0.7773554837342772
27,9534,9534,9544,1987-12-10,1987-12-10,1987-12-24,9,11,0.307961552403119,0.1285209146645867,-0.3064405530662161,1.026696443325257,-0.10056789720745,0.0364485193424819,-0.080544672338469,mixed,0.0664896959896896,0.0074924003301966,0.1226948193357469,True,40,0.31048246955810355,0.3565440573514266,0.13833037422244215
28,9558,9558,9576,1988-01-15,1988-01-15,1988-02-10,13,19,0.3446119978330366,0.128754093489272,-0.2515663174442621,0.6399797477596786,-0.3444362408997067,0.034921337159032,-0.0599449667547142,mixed,0.0568140920136752,-0.0373735292794698,0.1372967063099758,True,40,0.2624479151280948,0.1939041707204032,-0.30268857212096995
29,10015,10015,10015,1989-11-03,1989-11-03,1989-11-03,1,1,0.2681325990071908,0.1301595269168078,-0.0616453402676149,0.4750962870757353,8.63397709413849e-05,0.00761137523188,-0.0726168628121257,recovery,0.0626148182991941,-0.0148391974352289,0.1068265844761937,True,40,0.15630808081330444,0.1095250068028902,-0.3556760409393042
30,10209,10209,10228,1990-08-13,1990-08-13,1990-09-10,9,20,0.1764479926327042,0.1302603029528355,-0.0816100145627446,0.8057115722224243,-0.1273545082534264,0.013100440550926,-0.0617290730542849,relapse,-0.0995749929141468,-0.1117636510638596,0.0702985629514107,True,40,0.14424762823871096,0.233640806848625,0.4822534593163884
31,10256,10256,10269,1990-10-18,1990-10-18,1990-11-06,8,14,0.23995405418223,0.1306769529872878,-0.17132408153218,0.9753187866398588,-0.0224065081779274,0.0342016006592196,-0.0566788572543721,recovery,0.0689475298068931,-0.0126250587913065,0.0955999834947921,True,40,0.1864713609491442,0.1912806067418633,0.025463828456109255
32,11135,11135,11146,1994-04-11,1994-04-11,1994-04-26,8,12,0.1404039498514572,0.1302161787549021,-0.0666597611676608,1.2335242590134257,-0.021430488857455,0.0246414465699453,-0.0503120484789159,mixed,0.0159824005144715,-0.0186276145859195,0.0559382725753377,True,40,0.13266431819744753,0.1031277194859802,-0.2518537993500716
33,11890,11890,11904,1997-04-07,1997-04-07,1997-04-25,7,15,0.1583279431012264,0.1288949919819938,-0.0663489380029078,0.7798913516917572,-0.1025688794866626,0.0065953963160572,-0.0521658646873834,recovery,0.1093645113719852,-0.0321204785429148,0.0630793624172179,True,40,0.13512935637925125,0.2090908856304426,0.4365365018525153
34,12230,12230,12264,1998-08-11,1998-08-11,1998-09-29,20,35,0.208511006871159,0.1307351418962636,-0.0992374295607751,0.6266571664759454,-0.1922852467489152,-0.0029330876048492,-0.0527919987851204,relapse,-0.0919568089103632,-0.1044920889190967,0.0830727735911765,True,40,0.15387783812788222,0.3946493875226637,0.9418387154950894
35,12273,12273,12288,1998-10-12,1998-10-12,1998-11-02,11,16,0.2772439958670455,0.1310607096286109,-0.1592921660226195,0.8848263928260567,-0.0995382675335901,0.009213338619066,-0.0633863544704276,recovery,0.1840915485112666,-0.0029167133892609,0.110456651875493,True,40,0.2244863138113289,0.1947276881903487,-0.14221263057457106
36,12533,12533,12536,1999-10-22,1999-10-22,1999-10-27,4,4,0.2076365956602683,0.1332698114442596,-0.0825568463497898,0.944202957099677,-0.0826407091805381,0.0425632800475384,-0.068625630528305,recovery,0.0894556441610834,-0.0151653592472069,0.0827243998259834,True,40,0.17149608219112805,0.1809929018510111,0.05389739222563271
37,12659,12659,12672,2000-04-24,2000-04-24,2000-05-11,2,14,0.300318045666495,0.1341284062212288,-0.0638969125750662,1.0546051873082205,-0.1604481051457617,0.0526244003268985,-0.1113539883758667,mixed,0.0322339014256563,-0.0391646738657639,0.1196495733599959,True,40,0.2378747207745878,0.2398631930886404,0.008324580233379675
38,12785,12785,12795,2000-10-20,2000-10-20,2000-11-03,9,11,0.2506084222936318,0.1350912585330591,-0.0814324087336255,1.1197070117070524,-0.048736799112691,0.0164270656230858,-0.077042921040018,mixed,-0.0531093616888526,-0.0606902464956332,0.0998447853551679,True,40,0.191216868421625,0.2006561182731261,0.048184367825543035
39,12805,12805,12812,2000-11-17,2000-11-17,2000-11-29,3,8,0.2006561182731261,0.135262247608549,-0.1006398382809387,1.0320591389611384,-0.0082634939356554,0.001272993013444,-0.0581672026632933,relapse,-0.0144400903862264,-0.0752931759969911,0.0799433110660087,True,40,0.1723762364436932,0.2416200753433975,0.3376870468422837
40,12832,12832,12847,2000-12-28,2000-12-28,2001-01-22,9,16,0.2650126420416781,0.1354799091032657,-0.1226681526018153,0.7659194955366813,-0.1077450220405502,0.0534802697429315,-0.0726107798628197,mixed,-0.0571720038463192,-0.066225950211941,0.1055835638678361,True,40,0.19876012906389512,0.2480023383351408,0.2213394588119344
41,12877,12877,12895,2001-03-06,2001-03-06,2001-03-30,7,19,0.1726373284643519,0.1357578657204082,-0.1556390488527038,0.7952622696853332,-0.0562972024986808,-0.00329643700627,-0.0628007623619382,relapse,0.010870955776044,-0.1200750063527577,0.0687803580065507,True,40,0.1609350396601964,0.3268489485056836,0.7084973298059961
42,12904,12904,12916,2001-04-12,2001-04-12,2001-05-01,10,13,0.3208478390044139,0.1359685255660319,-0.1736431280630727,0.8324304277006633,-0.1428026611702032,0.0274628678869914,-0.0695681031759063,mixed,0.0598986182073828,-0.0032276690232889,0.1278288388070636,True,40,0.22554041849755072,0.2063671883559066,-0.08884233251195575
43,13016,13016,13030,2001-09-27,2001-09-27,2001-10-17,15,15,0.3150944795584909,0.1370185467098535,-0.2241112562569138,1.024027745028638,-0.119481650127502,0.0340197127205037,-0.1233038145254994,recovery,0.1293232761931788,0.0195757588903671,0.1255366455372132,True,40,0.22893834813567132,0.188427164729472,-0.19474120698192854
44,13205,13205,13205,2002-06-28,2002-06-28,2002-06-28,1,1,0.2166349664513982,0.1385209841279307,-0.1542096623182854,0.808132594439028,-0.1050989308299782,0.0006872222733083,-0.0606161843070474,relapse,-0.0423006150687685,-0.1940958898543036,0.0863094365616359,True,40,0.1764718273719229,0.4358071676369695,0.9040386241105252
45,13227,13227,13246,2002-07-31,2002-07-31,2002-08-27,17,20,0.4238655685067602,0.138757391749978,-0.2210307148752021,0.9473023595262234,-0.2032482373857852,0.0777463289151469,-0.1217060632061173,mixed,-0.0621640411725188,-0.1012812548917104,0.168872084663689,True,40,0.29048303763824823,0.343589695471228,0.1679030154055126
46,13255,13255,13267,2002-09-10,2002-09-10,2002-09-26,5,13,0.3003883979066982,0.1389980788651656,-0.2115222531057249,0.7444647687434239,-0.1192516537237067,0.0353135786328069,-0.0766323764617311,relapse,0.0063875606867249,-0.1460234446983233,0.1196776023634031,True,40,0.24406591163381952,0.3197406287609826,0.27007181354908527
47,13283,13283,13295,2002-10-18,2002-10-18,2002-11-05,10,13,0.4022000192363666,0.1392086570512546,-0.200797005245894,1.015394657078554,-0.0443958225458018,0.0570832646450947,-0.0665829871624428,mixed,0.0294101124332171,-0.0092719411924736,0.1602403232220496,True,40,0.300418854863466,0.2098246572934765,-0.3589054671067125
48,13355,13355,13364,2003-02-03,2003-02-03,2003-02-14,2,10,0.2279972481024539,0.1398720372362809,-0.1063467368698811,0.9583107577491646,-0.0663323152805428,0.0150372044649111,-0.0621034032525686,relapse,-0.0021387702712989,-0.0692649553051854,0.0908362779271882,True,40,0.19418202399679715,0.1887240285457646,-0.028510205636501335
