broad_regime,future_broad_regime,count
calm,calm,3749
calm,mild_stress,186
calm,deterioration,308
calm,acute_crisis,38
calm,volatile_rebound,134
calm,easing_normalization,92
mild_stress,calm,185
mild_stress,mild_stress,90
mild_stress,deterioration,138
mild_stress,acute_crisis,38
mild_stress,volatile_rebound,164
mild_stress,easing_normalization,88
deterioration,calm,209
deterioration,mild_stress,179
deterioration,deterioration,219
deterioration,acute_crisis,90
deterioration,volatile_rebound,224
deterioration,easing_normalization,98
acute_crisis,calm,7
acute_crisis,mild_stress,34
acute_crisis,deterioration,61
acute_crisis,acute_crisis,56
acute_crisis,volatile_rebound,102
acute_crisis,easing_normalization,34
volatile_rebound,calm,245
volatile_rebound,mild_stress,130
volatile_rebound,deterioration,184
volatile_rebound,acute_crisis,42
volatile_rebound,volatile_rebound,151
volatile_rebound,easing_normalization,87
easing_normalization,calm,112
easing_normalization,mild_stress,84
easing_normalization,deterioration,109
easing_normalization,acute_crisis,30
easing_normalization,volatile_rebound,64
easing_normalization,easing_normalization,46
