model,transition,n,true_change_rate,mean_p_change,accuracy,mean_abs_error,mean_brier
har_change_logit,acute_crisis -> acute_crisis,30,0.0,0.9209012638798484,0.0,0.9209012638798484,0.8494592879507655
har_change_logit,volatile_rebound -> volatile_rebound,70,0.0,0.8470635128760958,0.0,0.8470635128760958,0.7253548357030116
har_change_logit,easing_normalization -> easing_normalization,14,0.0,0.7648057638788407,0.14285714285714285,0.7648057638788407,0.6033535189742147
har_change_logit,mild_stress -> mild_stress,32,0.0,0.7403432519141318,0.0625,0.7403432519141318,0.5633799948633802
har_change_logit,deterioration -> deterioration,118,0.0,0.7117390089509785,0.059322033898305086,0.7117390089509785,0.523626104137244
har_change_logit,calm -> deterioration,197,1.0,0.33992898038903796,0.15736040609137056,0.660071019610962,0.45941519418443666
har_change_logit,calm -> mild_stress,98,1.0,0.37094940035466284,0.25510204081632654,0.6290505996453372,0.4186739821947865
har_change_logit,calm -> volatile_rebound,104,1.0,0.37749253169668423,0.2980769230769231,0.6225074683033157,0.4170805907808769
har_change_logit,calm -> easing_normalization,53,1.0,0.39369795057866824,0.2830188679245283,0.6063020494213318,0.38781171863612623
har_change_logit,calm -> acute_crisis,21,1.0,0.427150172480841,0.14285714285714285,0.572849827519159,0.33187690369512035
har_change_logit,deterioration -> calm,141,1.0,0.604633281148078,0.7092198581560284,0.39536671885192193,0.17868593193346152
har_change_logit,easing_normalization -> calm,67,1.0,0.6350345010898453,0.8656716417910447,0.36496549891015473,0.14907393832406554
har_change_logit,calm -> calm,2636,0.0,0.31806692093467664,0.862670713201821,0.31806692093467664,0.12416509816873854
har_change_logit,easing_normalization -> mild_stress,31,1.0,0.6804868207003094,0.9032258064516129,0.3195131792996907,0.11575094765762159
har_change_logit,mild_stress -> calm,104,1.0,0.6808071481624403,0.8942307692307693,0.3191928518375598,0.11480507375264129
har_change_logit,volatile_rebound -> calm,161,1.0,0.691202043652814,0.9503105590062112,0.30879795634718593,0.1061469939295893
har_change_logit,easing_normalization -> deterioration,53,1.0,0.7011166388420399,0.8490566037735849,0.29888336115796016,0.10571727553463629
har_change_logit,deterioration -> easing_normalization,46,1.0,0.7294786419473153,0.9782608695652174,0.2705213580526846,0.08814343869195017
har_change_logit,deterioration -> mild_stress,74,1.0,0.7330436032835145,0.972972972972973,0.2669563967164856,0.08395373408217056
har_change_logit,mild_stress -> easing_normalization,36,1.0,0.7583771083163761,0.9444444444444444,0.24162289168362389,0.07251668242476232
har_change_logit,easing_normalization -> acute_crisis,12,1.0,0.7662852160854147,1.0,0.23371478391458544,0.07077025446192196
har_change_logit,mild_stress -> deterioration,63,1.0,0.7615459757602591,0.9682539682539683,0.2384540242397409,0.07013428381262271
har_change_logit,deterioration -> volatile_rebound,128,1.0,0.7750701455945845,0.9453125,0.22492985440541546,0.06774312052464102
har_change_logit,volatile_rebound -> easing_normalization,39,1.0,0.7848972100931495,0.9487179487179487,0.2151027899068505,0.061281058268000364
har_change_logit,volatile_rebound -> deterioration,83,1.0,0.7844629687499365,0.963855421686747,0.21553703125006352,0.05980326568310955
har_change_logit,easing_normalization -> volatile_rebound,26,1.0,0.7907033736854304,1.0,0.20929662631456952,0.059138161752702846
har_change_logit,volatile_rebound -> mild_stress,50,1.0,0.7886680217505057,1.0,0.21133197824949423,0.05554292567945811
har_change_logit,deterioration -> acute_crisis,45,1.0,0.8036392003970692,1.0,0.196360799602931,0.05261963400947644
har_change_logit,mild_stress -> volatile_rebound,55,1.0,0.8037508807108485,0.9818181818181818,0.19624911928915126,0.04790835564445383
har_change_logit,mild_stress -> acute_crisis,13,1.0,0.8315004621743888,1.0,0.1684995378256112,0.042665439994656336
har_change_logit,volatile_rebound -> acute_crisis,26,1.0,0.8508283875445936,1.0,0.14917161245540644,0.0377714511195255
har_change_logit,acute_crisis -> mild_stress,18,1.0,0.906512384450688,1.0,0.09348761554931194,0.011733344534701467
har_change_logit,acute_crisis -> easing_normalization,15,1.0,0.9043641584625969,1.0,0.09563584153740315,0.01025281059858119
har_change_logit,acute_crisis -> deterioration,38,1.0,0.9192469549496792,1.0,0.08075304505032072,0.008739563111092108
har_change_logit,acute_crisis -> volatile_rebound,46,1.0,0.92918582899723,1.0,0.07081417100276996,0.007760865315355296
no_change,volatile_rebound -> calm,161,1.0,1.0000000000000002e-06,0.0,0.9999990000000001,0.999998000001
no_change,deterioration -> calm,141,1.0,1e-06,0.0,0.9999990000000001,0.999998000001
no_change,volatile_rebound -> deterioration,83,1.0,1e-06,0.0,0.9999990000000001,0.999998000001
