fold,model,true_regime,predicted_regime,count
1,persistence,calm,calm,253
1,persistence,calm,mild_stress,26
1,persistence,calm,deterioration,23
1,persistence,calm,acute_crisis,0
1,persistence,calm,volatile_rebound,37
1,persistence,calm,easing_normalization,9
1,persistence,mild_stress,calm,23
1,persistence,mild_stress,mild_stress,14
1,persistence,mild_stress,deterioration,33
1,persistence,mild_stress,acute_crisis,9
1,persistence,mild_stress,volatile_rebound,21
1,persistence,mild_stress,easing_normalization,16
1,persistence,deterioration,calm,35
1,persistence,deterioration,mild_stress,25
1,persistence,deterioration,deterioration,45
1,persistence,deterioration,acute_crisis,23
1,persistence,deterioration,volatile_rebound,34
1,persistence,deterioration,easing_normalization,28
1,persistence,acute_crisis,calm,3
1,persistence,acute_crisis,mild_stress,9
1,persistence,acute_crisis,deterioration,22
1,persistence,acute_crisis,acute_crisis,24
1,persistence,acute_crisis,volatile_rebound,13
1,persistence,acute_crisis,easing_normalization,9
1,persistence,volatile_rebound,calm,23
1,persistence,volatile_rebound,mild_stress,23
1,persistence,volatile_rebound,deterioration,50
1,persistence,volatile_rebound,acute_crisis,18
1,persistence,volatile_rebound,volatile_rebound,18
1,persistence,volatile_rebound,easing_normalization,7
1,persistence,easing_normalization,calm,11
1,persistence,easing_normalization,mild_stress,19
1,persistence,easing_normalization,deterioration,17
1,persistence,easing_normalization,acute_crisis,6
1,persistence,easing_normalization,volatile_rebound,16
1,persistence,easing_normalization,easing_normalization,6
1,har_state_logit,calm,calm,116
1,har_state_logit,calm,mild_stress,79
1,har_state_logit,calm,deterioration,49
1,har_state_logit,calm,acute_crisis,8
1,har_state_logit,calm,volatile_rebound,81
1,har_state_logit,calm,easing_normalization,15
1,har_state_logit,mild_stress,calm,11
1,har_state_logit,mild_stress,mild_stress,12
1,har_state_logit,mild_stress,deterioration,33
1,har_state_logit,mild_stress,acute_crisis,8
1,har_state_logit,mild_stress,volatile_rebound,48
1,har_state_logit,mild_stress,easing_normalization,4
1,har_state_logit,deterioration,calm,25
1,har_state_logit,deterioration,mild_stress,8
1,har_state_logit,deterioration,deterioration,54
1,har_state_logit,deterioration,acute_crisis,17
1,har_state_logit,deterioration,volatile_rebound,84
1,har_state_logit,deterioration,easing_normalization,2
1,har_state_logit,acute_crisis,calm,3
1,har_state_logit,acute_crisis,mild_stress,0
1,har_state_logit,acute_crisis,deterioration,24
1,har_state_logit,acute_crisis,acute_crisis,9
1,har_state_logit,acute_crisis,volatile_rebound,44
1,har_state_logit,acute_crisis,easing_normalization,0
1,har_state_logit,volatile_rebound,calm,7
1,har_state_logit,volatile_rebound,mild_stress,7
1,har_state_logit,volatile_rebound,deterioration,18
1,har_state_logit,volatile_rebound,acute_crisis,19
1,har_state_logit,volatile_rebound,volatile_rebound,86
1,har_state_logit,volatile_rebound,easing_normalization,2
1,har_state_logit,easing_normalization,calm,3
1,har_state_logit,easing_normalization,mild_stress,5
1,har_state_logit,easing_normalization,deterioration,18
1,har_state_logit,easing_normalization,acute_crisis,10
1,har_state_logit,easing_normalization,volatile_rebound,39
1,har_state_logit,easing_normalization,easing_normalization,0
1,state_logit,calm,calm,133
1,state_logit,calm,mild_stress,75
1,state_logit,calm,deterioration,33
1,state_logit,calm,acute_crisis,2
1,state_logit,calm,volatile_rebound,52
1,state_logit,calm,easing_normalization,53
1,state_logit,mild_stress,calm,16
1,state_logit,mild_stress,mild_stress,8
1,state_logit,mild_stress,deterioration,23
1,state_logit,mild_stress,acute_crisis,35
1,state_logit,mild_stress,volatile_rebound,25
1,state_logit,mild_stress,easing_normalization,9
1,state_logit,deterioration,calm,28
1,state_logit,deterioration,mild_stress,18
1,state_logit,deterioration,deterioration,24
1,state_logit,deterioration,acute_crisis,51
1,state_logit,deterioration,volatile_rebound,46
1,state_logit,deterioration,easing_normalization,23
1,state_logit,acute_crisis,calm,1
1,state_logit,acute_crisis,mild_stress,0
1,state_logit,acute_crisis,deterioration,7
1,state_logit,acute_crisis,acute_crisis,49
1,state_logit,acute_crisis,volatile_rebound,19
1,state_logit,acute_crisis,easing_normalization,4
1,state_logit,volatile_rebound,calm,10
1,state_logit,volatile_rebound,mild_stress,8
1,state_logit,volatile_rebound,deterioration,9
1,state_logit,volatile_rebound,acute_crisis,55
1,state_logit,volatile_rebound,volatile_rebound,34
1,state_logit,volatile_rebound,easing_normalization,23
1,state_logit,easing_normalization,calm,3
1,state_logit,easing_normalization,mild_stress,6
1,state_logit,easing_normalization,deterioration,13
1,state_logit,easing_normalization,acute_crisis,24
1,state_logit,easing_normalization,volatile_rebound,16
1,state_logit,easing_normalization,easing_normalization,13
2,persistence,calm,calm,693
2,persistence,calm,mild_stress,15
2,persistence,calm,deterioration,41
2,persistence,calm,acute_crisis,0
2,persistence,calm,volatile_rebound,13
2,persistence,calm,easing_normalization,8
2,persistence,mild_stress,calm,14
2,persistence,mild_stress,mild_stress,7
2,persistence,mild_stress,deterioration,7
2,persistence,mild_stress,acute_crisis,2
2,persistence,mild_stress,volatile_rebound,4
2,persistence,mild_stress,easing_normalization,1
2,persistence,deterioration,calm,44
2,persistence,deterioration,mild_stress,5
2,persistence,deterioration,deterioration,6
2,persistence,deterioration,acute_crisis,6
2,persistence,deterioration,volatile_rebound,7
2,persistence,deterioration,easing_normalization,6
2,persistence,acute_crisis,calm,5
2,persistence,acute_crisis,mild_stress,0
2,persistence,acute_crisis,deterioration,4
2,persistence,acute_crisis,acute_crisis,3
2,persistence,acute_crisis,volatile_rebound,3
2,persistence,acute_crisis,easing_normalization,0
2,persistence,volatile_rebound,calm,11
2,persistence,volatile_rebound,mild_stress,3
2,persistence,volatile_rebound,deterioration,11
2,persistence,volatile_rebound,acute_crisis,3
2,persistence,volatile_rebound,volatile_rebound,7
2,persistence,volatile_rebound,easing_normalization,1
2,persistence,easing_normalization,calm,4
2,persistence,easing_normalization,mild_stress,4
2,persistence,easing_normalization,deterioration,5
2,persistence,easing_normalization,acute_crisis,1
2,persistence,easing_normalization,volatile_rebound,2
2,persistence,easing_normalization,easing_normalization,2
2,har_state_logit,calm,calm,600
2,har_state_logit,calm,mild_stress,85
2,har_state_logit,calm,deterioration,18
2,har_state_logit,calm,acute_crisis,13
2,har_state_logit,calm,volatile_rebound,42
2,har_state_logit,calm,easing_normalization,12
2,har_state_logit,mild_stress,calm,15
2,har_state_logit,mild_stress,mild_stress,2
2,har_state_logit,mild_stress,deterioration,0
2,har_state_logit,mild_stress,acute_crisis,16
2,har_state_logit,mild_stress,volatile_rebound,1
2,har_state_logit,mild_stress,easing_normalization,1
2,har_state_logit,deterioration,calm,37
2,har_state_logit,deterioration,mild_stress,10
2,har_state_logit,deterioration,deterioration,0
2,har_state_logit,deterioration,acute_crisis,20
2,har_state_logit,deterioration,volatile_rebound,6
2,har_state_logit,deterioration,easing_normalization,1
2,har_state_logit,acute_crisis,calm,2
2,har_state_logit,acute_crisis,mild_stress,3
2,har_state_logit,acute_crisis,deterioration,0
2,har_state_logit,acute_crisis,acute_crisis,9
2,har_state_logit,acute_crisis,volatile_rebound,1
2,har_state_logit,acute_crisis,easing_normalization,0
2,har_state_logit,volatile_rebound,calm,9
2,har_state_logit,volatile_rebound,mild_stress,3
2,har_state_logit,volatile_rebound,deterioration,0
2,har_state_logit,volatile_rebound,acute_crisis,20
2,har_state_logit,volatile_rebound,volatile_rebound,4
2,har_state_logit,volatile_rebound,easing_normalization,0
2,har_state_logit,easing_normalization,calm,6
2,har_state_logit,easing_normalization,mild_stress,0
2,har_state_logit,easing_normalization,deterioration,0
2,har_state_logit,easing_normalization,acute_crisis,10
2,har_state_logit,easing_normalization,volatile_rebound,2
2,har_state_logit,easing_normalization,easing_normalization,0
2,state_logit,calm,calm,620
2,state_logit,calm,mild_stress,57
2,state_logit,calm,deterioration,19
2,state_logit,calm,acute_crisis,0
2,state_logit,calm,volatile_rebound,46
2,state_logit,calm,easing_normalization,28
2,state_logit,mild_stress,calm,11
2,state_logit,mild_stress,mild_stress,6
2,state_logit,mild_stress,deterioration,4
2,state_logit,mild_stress,acute_crisis,2
2,state_logit,mild_stress,volatile_rebound,9
2,state_logit,mild_stress,easing_normalization,3
2,state_logit,deterioration,calm,43
2,state_logit,deterioration,mild_stress,5
2,state_logit,deterioration,deterioration,5
2,state_logit,deterioration,acute_crisis,3
2,state_logit,deterioration,volatile_rebound,12
2,state_logit,deterioration,easing_normalization,6
2,state_logit,acute_crisis,calm,0
2,state_logit,acute_crisis,mild_stress,3
2,state_logit,acute_crisis,deterioration,3
2,state_logit,acute_crisis,acute_crisis,0
2,state_logit,acute_crisis,volatile_rebound,7
2,state_logit,acute_crisis,easing_normalization,2
2,state_logit,volatile_rebound,calm,10
2,state_logit,volatile_rebound,mild_stress,2
2,state_logit,volatile_rebound,deterioration,1
2,state_logit,volatile_rebound,acute_crisis,1
2,state_logit,volatile_rebound,volatile_rebound,18
2,state_logit,volatile_rebound,easing_normalization,4
2,state_logit,easing_normalization,calm,5
2,state_logit,easing_normalization,mild_stress,1
2,state_logit,easing_normalization,deterioration,1
2,state_logit,easing_normalization,acute_crisis,0
2,state_logit,easing_normalization,volatile_rebound,10
2,state_logit,easing_normalization,easing_normalization,1
3,persistence,calm,calm,680
3,persistence,calm,mild_stress,15
3,persistence,calm,deterioration,20
3,persistence,calm,acute_crisis,0
3,persistence,calm,volatile_rebound,34
3,persistence,calm,easing_normalization,17
3,persistence,mild_stress,calm,19
3,persistence,mild_stress,mild_stress,3
3,persistence,mild_stress,deterioration,7
3,persistence,mild_stress,acute_crisis,0
3,persistence,mild_stress,volatile_rebound,3
3,persistence,mild_stress,easing_normalization,3
3,persistence,deterioration,calm,40
3,persistence,deterioration,mild_stress,7
3,persistence,deterioration,deterioration,12
3,persistence,deterioration,acute_crisis,0
3,persistence,deterioration,volatile_rebound,5
3,persistence,deterioration,easing_normalization,2
3,persistence,acute_crisis,calm,0
3,persistence,acute_crisis,mild_stress,0
3,persistence,acute_crisis,deterioration,0
3,persistence,acute_crisis,acute_crisis,0
3,persistence,acute_crisis,volatile_rebound,0
3,persistence,acute_crisis,easing_normalization,0
3,persistence,volatile_rebound,calm,32
3,persistence,volatile_rebound,mild_stress,5
3,persistence,volatile_rebound,deterioration,11
3,persistence,volatile_rebound,acute_crisis,0
3,persistence,volatile_rebound,volatile_rebound,5
3,persistence,volatile_rebound,easing_normalization,3
3,persistence,easing_normalization,calm,12
3,persistence,easing_normalization,mild_stress,3
3,persistence,easing_normalization,deterioration,8
3,persistence,easing_normalization,acute_crisis,0
3,persistence,easing_normalization,volatile_rebound,2
3,persistence,easing_normalization,easing_normalization,0
3,har_state_logit,calm,calm,629
3,har_state_logit,calm,mild_stress,55
3,har_state_logit,calm,deterioration,29
3,har_state_logit,calm,acute_crisis,4
