fold,model,n_test,accuracy,balanced_accuracy,macro_f1,log_loss
1,persistence,948,0.379746835443038,0.2656732762610239,0.2656732762610239,31.937414395420255
1,har_state_logit,948,0.2921940928270042,0.24203286191373583,0.2145168314632165,1.97972500116664
1,state_logit,948,0.27531645569620256,0.26798381077352273,0.2316374712289595,2.2053637415247986
2,persistence,948,0.7573839662447257,0.28110610610610615,0.28149185850353925,34.82698998357733
2,har_state_logit,948,0.6487341772151899,0.2579124579124579,0.18743529162213166,1.8354527204124609
2,state_logit,948,0.6856540084388185,0.26662441662441666,0.2244290844390143,1.8872827476580807
3,persistence,948,0.7383966244725738,0.24890932826964157,0.2091679289568483,34.7889692521542
3,har_state_logit,948,0.6940928270042194,0.2909743537576436,0.21742424712085742,2.0946813888580147
3,state_logit,948,0.7183544303797469,0.30166381834005856,0.24317194912470505,2.129853855776035
4,persistence,948,0.5379746835443038,0.25952945654131715,0.25933019682805886,32.20355951538209
4,har_state_logit,948,0.4462025316455696,0.2698079160975751,0.236685833264603,1.8183080228315416
4,state_logit,948,0.5,0.26591791859267766,0.25727053935558825,1.8811674965856164
5,persistence,951,0.6435331230283912,0.21353186301639912,0.21302442073169334,33.769605856680734
5,har_state_logit,951,0.5215562565720294,0.20003328637349257,0.17938107900039815,1.763504598564579
5,state_logit,951,0.5573080967402734,0.27667494194556047,0.23100382339867967,1.8129977398701251
