model,protocol,n_folds_regression,n_folds_q90_valid,n_folds_q95_valid,test_rmse_median,test_rmse_mean,test_rmse_std,test_qlike_median,test_qlike_mean,test_qlike_std,test_mz_alpha_median,test_mz_alpha_mean,test_mz_alpha_std,test_mz_beta_median,test_mz_beta_mean,test_mz_beta_std,test_mz_r2_median,test_mz_r2_mean,test_mz_r2_std,q90_test_ap_median,q90_test_ap_mean,q90_test_ap_std,q90_test_auc_median,q90_test_auc_mean,q90_test_auc_std,q90_test_n_pos_median,q90_test_n_pos_mean,q90_test_n_pos_std,q90_test_f1_median,q90_test_f1_mean,q90_test_f1_std,q90_test_precision_median,q90_test_precision_mean,q90_test_precision_std,q90_test_recall_median,q90_test_recall_mean,q90_test_recall_std,q90_test_called_rate_median,q90_test_called_rate_mean,q90_test_called_rate_std,q95_test_ap_median,q95_test_ap_mean,q95_test_ap_std,q95_test_auc_median,q95_test_auc_mean,q95_test_auc_std,q95_test_n_pos_median,q95_test_n_pos_mean,q95_test_n_pos_std,q95_test_f1_median,q95_test_f1_mean,q95_test_f1_std,q95_test_precision_median,q95_test_precision_mean,q95_test_precision_std,q95_test_recall_median,q95_test_recall_mean,q95_test_recall_std,q95_test_called_rate_median,q95_test_called_rate_mean,q95_test_called_rate_std
persistence_20d,classical,5,5,4,0.0727978776698214,0.0859262090440358,0.0354915449215663,-2.3316781368438493,-2.4229850212153323,0.1968045125866739,0.0695102467071672,0.0687602458548813,0.0212457575611545,0.5397613236979291,0.546373030699433,0.2283398605935948,0.2870145710612775,0.3360219098038935,0.2207397661971391,0.528491092237278,0.5182219432561763,0.3239068543232185,0.8920857966192329,0.7997817264380902,0.2168962110802194,82.0,92.2,55.75123317021786,0.3670212765957447,0.4137443362908088,0.3141888382330639,0.23,0.4316630628896517,0.4114539240324823,0.80625,0.6203483272133823,0.4184444516874587,0.1550387596899224,0.211665147639628,0.1938733249714034,0.3181167292605382,0.3723155565971776,0.3763354774373699,0.7822003480651684,0.7979247619894914,0.1538798714291089,43.0,47.4,54.61043856260449,0.373211091234347,0.3939698867024448,0.364234150134471,0.3576057948913457,0.4035928134120594,0.3981449485519886,0.3953488372093023,0.3901204617701188,0.3343317451421165,0.0575858250276854,0.0686523657621105,0.0451289816824355
har_ridge,classical,5,5,4,0.0620049222156894,0.0732410197577941,0.0301590276087948,-2.5074857368163217,-2.6100305371586177,0.2530332914449779,0.018088370194525,0.0204763518377511,0.0250626388691908,0.8723297132046129,0.8692355827241516,0.2415782132881881,0.4264206364382491,0.4201114085788916,0.1871807049605947,0.6164066110817502,0.509860257175358,0.3489345743460151,0.876636791253496,0.805904193399708,0.2129953611580352,82.0,92.2,55.75123317021786,0.4697986577181208,0.4944036752100742,0.3055448795378685,0.5223880597014925,0.5127866146237352,0.3639385864274895,0.5813953488372093,0.5402069535011664,0.3085275788748968,0.1063122923588039,0.1219813012671625,0.0884305872111538,0.4210549313940295,0.4291831481092047,0.3815734562559361,0.8250074425152852,0.8236196851658022,0.1289419148097926,43.0,47.4,54.61043856260449,0.4351537322532881,0.4389790801487843,0.3877691883688475,0.3923154701718908,0.4234304623586726,0.4053253793194645,0.5116279069767442,0.4716412916178685,0.3679170562486014,0.0730897009966777,0.0733662496692441,0.0619261021708465
raw_ridge,classical,5,5,4,0.0696844964951715,0.090567820666155,0.0374495217215584,-2.323641581690574,-2.392973401017799,0.3502392495606681,0.0199914259268129,0.0058920532961353,0.086227254567399,1.0810704165140437,1.0051247925583635,0.6120607779962389,0.3037849537181786,0.2767549621884803,0.1877083233609578,0.39686343105894,0.4189295095075156,0.2691632964221779,0.8541890982503365,0.7765807358375838,0.2057504075831719,82.0,92.2,55.75123317021786,0.3803680981595092,0.3250349952417357,0.2008117718740565,0.3101851851851852,0.4084163808537717,0.3702380194388701,0.4125,0.4824875610751212,0.3911793232507347,0.1550387596899224,0.2043767579062907,0.1696162875964547,0.176977204207457,0.2570028503835881,0.2679403741246008,0.7947234739256301,0.8142130131758385,0.0421211743678954,43.0,47.4,54.61043856260449,0.2166539343009931,0.2535546491674763,0.2143670286113411,0.2254901960784313,0.319236293243412,0.3410482737896024,0.3570353019909654,0.3059401316156377,0.1469626833848506,0.0609080841638981,0.0832852512274718,0.0623651259721843
esn_selected,classical,5,5,4,0.0655543706795835,0.0786677427471448,0.0380163984553746,-2.4300897290175407,-2.549717463602897,0.3095479919092549,0.0334407801959362,0.008447304794715,0.0677011176581121,0.8207483676071258,0.9398570639524828,0.4365005806674372,0.3670522007889051,0.3898348504315355,0.1671876601582156,0.5804748813852538,0.4966874307867622,0.3183075035491662,0.866626065773447,0.8124883498409059,0.1739164317871614,82.0,92.2,55.75123317021786,0.4444444444444444,0.4129906890182232,0.2924295901747263,0.3018867924528302,0.3744563324116976,0.3169006535738451,0.8375,0.605215815346648,0.3741038959768927,0.2059800664451827,0.2037132860964925,0.1714435503192897,0.3388767737400082,0.390674379960713,0.3997985591640661,0.8059620408478384,0.8004001293010607,0.1344239852775424,43.0,47.4,54.61043856260449,0.301096181046676,0.3693578165798256,0.335664995178988,0.2589955022488756,0.3403543763832369,0.3448326595915759,0.4156976744186046,0.4387757236071608,0.2971087099259993,0.0703211517165005,0.0888532815884122,0.0431171714038814
tfim_phase2_final,exact,5,5,4,0.0725391186527601,0.0902629327331611,0.0470289850824363,-2.378710951141775,-2.3865958634590108,0.4625679009678712,0.0200795817360962,0.0063870292707851,0.0898096201650112,0.8951855430203,0.977309688427414,0.6513396327304464,0.1387115340389558,0.2316421582333711,0.186276744042787,0.2883242281485327,0.2722472497623918,0.1715698070549025,0.8281839517542557,0.72856965699256,0.2142034977485888,82.0,92.2,55.75123317021786,0.3592233009708738,0.2732682233749143,0.1715580049459529,0.2202380952380952,0.2284277353523244,0.1933560829530225,0.5503875968992248,0.5699363127046203,0.4186779317520829,0.2713178294573643,0.3099951979145229,0.2773486639497252,0.0767177509555441,0.1621943646215736,0.1887946746860886,0.7775790513354691,0.7433372630056011,0.1346912274142865,43.0,47.4,54.61043856260449,0.0725576745326617,0.1103568972462419,0.1075295399897731,0.0463243652898825,0.1374649443224046,0.1943560265553131,0.2250292789024594,0.3683285929396018,0.4324537618754227,0.1472868217054263,0.1967155327864836,0.1968709398752419
rydberg_temporal,exact,5,5,4,0.074976826964305,0.0959940251630814,0.044838529915471,-2.2887416717490874,-2.3311623413891525,0.4594443274007596,0.0242925263081964,-0.0146664785881841,0.1311558898580571,1.000987501795601,1.128334509780396,0.8841047490140099,0.1898805126777534,0.1911395974713572,0.0962721042782554,0.4546077445947828,0.3901614686660019,0.2563857226696264,0.8425891655450874,0.7562767509810613,0.2071102456933621,82.0,92.2,55.75123317021786,0.2296918767507002,0.2533515983269215,0.197306751267384,0.2804878048780488,0.4153077976294347,0.409231882685831,0.3026315789473684,0.3899670688348778,0.3781854634961816,0.1273532668881506,0.2272224345593351,0.272886933909317,0.2177670029741837,0.2513681049805433,0.2281645875241067,0.7817049635362225,0.7879519020650932,0.062878072943522,43.0,47.4,54.61043856260449,0.1743788819875776,0.1891794907450326,0.2021119612027984,0.1634615384615384,0.2470533498759305,0.2952855227077975,0.1591099213652334,0.1842061234733144,0.205788630581513,0.0415282392026578,0.0426335151265692,0.0368261480309168
rydberg_memoryless,exact,5,5,4,0.0750054742603965,0.0943813364749905,0.0453075800188519,-2.29831635272402,-2.346822714268523,0.472453720527122,-0.0782097275854261,-0.0963472731260448,0.1784365464348596,1.8410636243481728,1.7485590098942023,1.2135389412059725,0.2310593154549173,0.244358746709901,0.1573361395939071,0.4554875458163287,0.3915276416877803,0.2425643828353795,0.8359273280852512,0.7662414789316216,0.1311432579968735,82.0,92.2,55.75123317021786,0.2887473460721868,0.3043013850376751,0.1898037938947354,0.2419354838709677,0.3648306240151829,0.3141406197875957,0.48125,0.4969640653676164,0.3093108906913413,0.2081949058693245,0.2152216309450308,0.1503929905386909,0.2931132362507795,0.3025780542415386,0.2430270617166458,0.7837266081731666,0.793708684088378,0.0587323175837474,43.0,47.4,54.61043856260449,0.2760891590678824,0.2894408071082838,0.2126822098949672,0.3166666666666666,0.3723301555202465,0.3316151493698466,0.4027103898276727,0.4237389158440689,0.250473557910081,0.0664451827242525,0.1220008403649585,0.1424169408445848
rydberg_shuffled,exact,5,5,4,0.076583353378532,0.0983602021037209,0.0465858942419294,-2.2018549426262695,-2.262315533666693,0.4891510122380068,0.0385036470988578,-0.0010764731881875,0.1363229357582377,0.7911084991723275,1.0452562068431202,0.9296856773467412,0.1575377949138304,0.1512558757391773,0.1024611567705206,0.2854704074482191,0.3153012515946297,0.220800309584748,0.8296396423160334,0.747634811471743,0.186290931527602,82.0,92.2,55.75123317021786,0.32,0.278987981490296,0.1773652348723741,0.2330827067669172,0.3179629912152952,0.2813871682493348,0.39375,0.4947264129552469,0.3875594792536154,0.2513842746400886,0.2825483393604406,0.2551806660724788,0.0955512084245148,0.1768416035419312,0.2131535486001144,0.7427521673736298,0.7579714118941903,0.0771430249458541,43.0,47.4,54.61043856260449,0.1134520028334437,0.1628337513446965,0.1546111971219712,0.0920516304347826,0.218761061708935,0.2987179059850148,0.2377446879705538,0.3805002509620211,0.4233613810426018,0.0664451827242524,0.1557477410597908,0.1891169249062349
rydberg_multi_lb,exact,5,5,4,0.0745089640661643,0.0949396466186789,0.0433209914024589,-2.273261971618002,-2.3313061453707236,0.4370357672402748,0.0210990052321173,-0.0106423067694349,0.1243698517455106,0.985625121729979,1.1010338383438258,0.8376428839751011,0.2251604870565438,0.2119751365128924,0.1045164930559004,0.5127318534680496,0.4168810666016448,0.2732102644664348,0.8390220940247982,0.758887230026029,0.2024595841325614,82.0,92.2,55.75123317021786,0.2087628865979381,0.2484935507971729,0.2105759866122706,0.2285714285714285,0.4031470420375466,0.4165575872952709,0.1782945736434108,0.3840939504888142,0.3733912747549184,0.1351052048726467,0.2615639608385029,0.3100707862172437,0.3168138498178882,0.2911528315907149,0.225283050282025,0.7901650975237291,0.7942373076766794,0.0458355638232922,43.0,47.4,54.61043856260449,0.2701231060606061,0.2520340300945232,0.1979038328773653,0.2757033248081841,0.2992440674673832,0.2659810447279487,0.2648485862472812,0.2545173163794546,0.2164195126832659,0.0564784053156146,0.0523249688844461,0.0455208785841127
rydberg_multi_lb_memoryless,exact,5,5,4,0.0750286897607779,0.0936965410313716,0.0441334805626238,-2.291273882606711,-2.354472322669652,0.4499217103649749,-0.0549490172769966,-0.0784012105401743,0.1690480266858121,1.6777980266074384,1.621908036766515,1.144339598146423,0.232530434089404,0.2504777828012442,0.1696659559581241,0.4863454030806239,0.4001296634862298,0.2479500272481062,0.8376800272419526,0.7838422632491453,0.114271698631568,82.0,92.2,55.75123317021786,0.3909774436090225,0.3312222852958253,0.2136270881939008,0.3164556962025316,0.4310807657492212,0.3278871910410831,0.49375,0.4661283153288781,0.2176995575058798,0.1747787610619469,0.16496682640951,0.1060652561093104,0.2997657257120486,0.3096884471281615,0.250082723508742,0.7851931832078163,0.7973966072266219,0.046515189335635,43.0,47.4,54.61043856260449,0.2924263674614306,0.3047668696281512,0.2274285699140332,0.3415682062298604,0.3955678805810358,0.3491842963086288,0.4251296637108918,0.4766152194523451,0.3228286983369253,0.0653377630121816,0.1408052313331177,0.1818951014304316
