fold,model,val_innovation_rmse,val_innovation_r2,val_reconstructed_rmse,val_reconstructed_qlike,val_reconstructed_mz_alpha,val_reconstructed_mz_beta,val_reconstructed_mz_r2,test_innovation_rmse,test_innovation_r2,test_reconstructed_rmse,test_reconstructed_qlike,test_reconstructed_mz_alpha,test_reconstructed_mz_beta,test_reconstructed_mz_r2,selected_alpha,selected_dim,selected_seed,seed_test_r2,n,sr,inp,leak
1,zero_change,0.23521650925419352,-0.002552863487780277,0.0266680246597707,-3.2749926242648275,0.07994688606864035,0.2904628327325244,0.09431644496103953,0.38146203049887917,-0.007242821922544884,0.10856539548525425,-2.314915357224548,0.04420721445896479,0.8092880439050588,0.6364610188582762,,,,,,,,
1,har_rv_linear,0.22503434175285175,0.08236645850302038,0.025983321844604598,-3.3001006764752985,0.0642212540186172,0.3973891169018909,0.14050306224484,0.4120723808626706,-0.17538071995971038,0.13711236687208375,-2.0585911562141863,-0.010722364893718288,1.2774936171809474,0.42383621290857754,10.0,,,,,,,
1,full_linear,0.2844161445545359,-0.46581840586589784,0.03467191696391696,-3.2631037555220015,0.05558203616092405,0.41650239985912313,0.17212843314511217,0.3951964875888911,-0.08107967101732383,0.12480465954454885,-2.2486585587246597,-0.08379556842557451,1.5588942036455868,0.5536073666235254,1000.0,,,,,,,
1,representation_linear_selected,0.22051175199179088,0.11887979473308874,0.025496762921719877,-3.300184385792504,0.06459266895034803,0.400810854148099,0.16715746456741287,0.36129165321102075,0.09645995475183378,0.11413657810892046,-2.323110430731983,-0.00031847804636796906,1.12271123782209,0.5803318061327948,1000.0,6.0,,,,,,
1,esn_selected,0.21827507394578588,0.1366637654927363,0.025827083227529014,-3.304422262276821,0.059294691099278575,0.43617076463427856,0.2271201410759648,0.34184264514930385,0.1911201264994712,0.10752264618326393,-2.3519432211448263,-0.0361148321029879,1.3608867835822556,0.6796847101576389,100.0,6.0,42.0,"{""123"": 0.19938420295307624, ""42"": 0.1911201264994712, ""7"": 0.2003485973790533}",300.0,0.3,0.1,1.0
2,zero_change,0.42957325045677014,-0.003978759200932158,0.1452323473013865,-1.6317173651457564,0.07451648951318494,0.7305868228586079,0.5344147907198128,0.40507249278338464,-0.0013290223367821152,0.07279787766982146,-2.3316781368438493,0.07681686299255659,0.5286128958583433,0.2838546660719713,,,,,,,,
2,har_rv_linear,0.4494845109162022,-0.09920710292873025,0.16735037941877157,-1.420842521530916,-0.09669694617474528,1.8179982367546648,0.48519966961287897,0.37423742682534006,0.14531568214515755,0.06559674767028079,-2.3955145615178086,0.04632642124263163,0.747385327754866,0.27157581433067424,1000.0,,,,,,,
2,full_linear,0.4313218087927935,-0.012168693278478138,0.1660864733906627,-1.3725680314643207,-0.05833490272131941,1.6468699392323953,0.48187727692628335,0.3480010374438696,0.2609524596120296,0.06397031057007699,-2.434959709968267,0.03774628915582978,0.8063809028301917,0.29764521945169153,1000.0,,,,,,,
2,representation_linear_selected,0.40249380246456395,0.11860930794847346,0.14814530346817895,-1.5641499686005889,0.011013544099423544,1.1725099014656197,0.5076356304535039,0.3596726959910809,0.210547073155675,0.06450608294589273,-2.421775279992862,0.04981127103486951,0.715373167620395,0.31116748507772785,1000.0,10.0,,,,,,
2,esn_selected,0.38144470449628,0.2083864036065567,0.14057379038783366,-1.6418794620325174,-0.0028327776595436865,1.198334143994886,0.551911106524747,0.37186409832132283,0.15612173485544478,0.06691470062304011,-2.373418408710719,0.058119801267692374,0.6749284808020558,0.2736029862037259,1000.0,6.0,42.0,"{""123"": 0.16887412892187303, ""42"": 0.15612173485544478, ""7"": 0.18604080740288986}",500.0,0.7,0.2,0.5
3,zero_change,0.42310072672201643,-0.001588902567347672,0.08185361774979408,-2.381825178229798,0.06637924371862533,0.5934152740432623,0.3444312254743036,0.48509773406718637,-1.6623670554327674e-05,0.060693056878480395,-2.7099177697624146,0.09914157507066995,0.191919064498371,0.03680983424840756,,,,,,,,
3,har_rv_linear,0.391362500183444,0.14304033533119753,0.07312700669955573,-2.444397957765464,0.03303333344822476,0.8212539254078464,0.36667969109648024,0.43880637633842057,0.18173384759500932,0.05460459533868819,-2.8679158086384997,0.08931123201875582,0.26763538510165896,0.04721933832865166,30.0,,,,,,,
3,full_linear,0.3633671052648592,0.2612573385615601,0.07085585664606892,-2.4927511817168693,0.026558779974936757,0.85058598741295,0.4000696860299675,0.3662112370085164,0.43008241162238103,0.04712900524663509,-3.0218700133595826,0.05698905648353918,0.5270428643649331,0.14032588967290716,30.0,,,,,,,
3,representation_linear_selected,0.36363502104594997,0.2601675658263569,0.07095283239015208,-2.494591044178322,0.02631350543872555,0.8481274704199822,0.398518027517373,0.3731055760962799,0.4084217384272131,0.04812534439495312,-3.0410006653388044,0.05634731441801968,0.5086725039616972,0.14801100469832884,10.0,26.0,,,,,,
3,esn_selected,0.3588722142278738,0.2794209523040653,0.07072158462995103,-2.4800098417940206,0.018019321651204814,0.9268726805727474,0.396900522007135,0.3580242549094958,0.45527961679752127,0.0462970989455167,-3.0538723270566623,0.04954999202312609,0.5724333155410088,0.16043287389684435,1000.0,26.0,42.0,"{""123"": 0.45503434166768153, ""42"": 0.45527961679752127, ""7"": 0.43773145427818616}",300.0,0.7,0.1,0.5
4,zero_change,0.4864397838483347,-0.005584360200975302,0.06865851887648929,-2.3059112788258718,0.11747458322612611,0.17676554367696157,0.0317524425650062,0.5364104907090588,-0.0016222502384393156,0.13617489063693872,-2.223084182540391,0.06951024670716721,0.5397613236979291,0.2870145710612775,,,,,,,,
4,har_rv_linear,0.4373391848739741,0.18717487620979645,0.06122692197973326,-2.482894801924473,0.10923882607758105,0.23809205792808488,0.03393730508940096,0.49992406610179035,0.13000345941595493,0.1163716321767833,-2.3166239204846515,0.016313409175287456,0.9913308634941379,0.3379050095952054,10.0,,,,,,,
4,full_linear,0.36991323420818156,0.4184861339833994,0.05504415239434665,-2.6342270125084655,0.08112553607566865,0.453394681018383,0.1028432926636883,0.48224986314804114,0.1904313838615701,0.11645882388731338,-2.242741404002788,0.037592435415510266,0.8464189218946906,0.35277013042457606,10.0,,,,,,,
4,representation_linear_selected,0.3686232730577115,0.4225347718772249,0.054974595005128725,-2.6468816642540745,0.0809366691771879,0.44872620584236333,0.10420265847755539,0.4810491704442104,0.19445764958583234,0.11707155457920232,-2.3047377814168284,0.040890693137072956,0.7989900089322374,0.35060765992758924,10.0,26.0,,,,,,
4,esn_selected,0.3542386589080134,0.4667237448158146,0.05405051334811104,-2.673578858320719,0.07552579793976524,0.5008669165628169,0.128820918389548,0.4693317520685761,0.23322258676742236,0.12071169989989787,-2.4316645234319143,0.049238170130841176,0.6755215148997165,0.3581779800119246,300.0,26.0,42.0,"{""123"": 0.2469951094969841, ""42"": 0.23322258676742236, ""7"": 0.22589955949402518}",300.0,0.3,0.3,0.3
5,zero_change,0.6004993191892852,-0.022718100907343386,0.15157852855684983,-1.4465706750476666,0.04918108885294462,0.8674963605073187,0.2838710281497149,0.3279480027052577,-0.00010768784013737154,0.051399824549684205,-2.535329659705457,0.054125330045047874,0.6622838255374638,0.4359694587795352,,,,,,,,
5,har_rv_linear,0.5710233464045728,0.07521956421311127,0.1510354515403308,-1.5028629159532747,-0.0275616667557668,1.4754679800262462,0.33026134705755683,0.29310718587225454,0.20110497473689348,0.046833966362561846,-2.602127424591592,0.0237052097027221,0.8723599566842811,0.4505328064462374,10.0,,,,,,,
5,full_linear,0.5509131812924983,0.13920996466898095,0.15276838839127135,-1.3874812882206484,0.05413166516824313,0.8218331626437615,0.2747827811812067,0.2659988512810967,0.3420448245254829,0.044668970637474714,-2.6653166651361517,0.021081769896075946,0.811416374339078,0.5518843190368159,10.0,,,,,,,
5,representation_linear_selected,0.5493493882729762,0.144089815119678,0.1526259385267719,-1.449909785839914,0.055404891202640395,0.8040957983655044,0.27686299172786155,0.2706569067267252,0.318799413363437,0.04532398497126308,-2.663637075254922,0.020556828491196225,0.8032624534458661,0.5559359845673448,300.0,26.0,,,,,,
5,esn_selected,0.5256754703702611,0.21627025890770968,0.14747365335323948,-1.5201096537768781,0.03460632763743142,0.9824809303924767,0.3210067162822089,0.2625974700727802,0.35876405288519464,0.044133002320170485,-2.662217843570752,0.01644501915529216,0.8552754280718182,0.5323734481694465,1000.0,26.0,42.0,"{""123"": 0.36243497922383516, ""42"": 0.35876405288519464, ""7"": 0.3456947778963051}",500.0,0.7,0.1,0.3
