fold,split,model,task,n_predictions,innovation_rmse,innovation_r2,reconstructed_rmse,reconstructed_qlike,reconstructed_mz_alpha,reconstructed_mz_beta,reconstructed_mz_r2
1,val,lstm,innovation,465,0.7801654296070741,-10.029227244713374,0.13043666291742284,-2.656197871446853,0.14580158925740316,-0.14320954363102503,0.11983340869616377
1,test,lstm,innovation,903,0.6103749713015636,-1.5788434715208863,0.13913359408745904,-2.0866144470838037,-0.014560115793384409,0.9147995749962584,0.38643331635819733
2,val,lstm,innovation,465,0.6234617688840508,-1.1148020342105673,0.17173655981449007,-0.16105815272011648,0.0774305263875648,1.008512803860442,0.405365309069727
2,test,lstm,innovation,903,0.558149015158825,-0.9011291644124486,0.08336870357169135,-1.1538527652645942,0.10311748099417993,0.4642672617352258,0.20734100638514152
3,val,lstm,innovation,465,0.6075461227042075,-1.0651921643531437,0.10559834693884645,-1.6294583687227848,0.1261365822223912,0.24407828241008842,0.04196237877995168
3,test,lstm,innovation,903,0.5689004258429172,-0.3753753776202029,0.09172998415974414,-2.3406510408538295,0.11312417370907898,0.07344562172416975,0.01688678929167242
4,val,lstm,innovation,465,0.4645723648629048,0.08279359063323977,0.06764436508181733,-2.4687690298321696,0.11673544582672034,0.1853831677793346,0.03269264396420135
4,test,lstm,innovation,903,0.6307985040264159,-0.3851306747736065,0.13983947680039413,-1.6494287107482677,0.06982879550118679,0.5223379968816487,0.16721023779396937
5,val,lstm,innovation,465,0.6000799774338922,-0.021290226983318616,0.15806939500373277,-1.5058801464270042,0.020683863047397315,1.1828747678506408,0.2502736871748775
5,test,lstm,innovation,904,0.4262929268345565,-0.6898689987021052,0.06542773018797235,-2.306459499810772,0.090628349254856,0.4952439734216805,0.18682005163232784
