fold,split,model,task,n_predictions,innovation_rmse,innovation_r2,reconstructed_rmse,reconstructed_qlike,reconstructed_mz_alpha,reconstructed_mz_beta,reconstructed_mz_r2
1,val,lstm,innovation,465,0.2415633568411673,-0.057386576835267045,0.02890773595776822,-3.2910907311947346,0.0622774654488541,0.39657057240269916,0.18385970239776095
1,test,lstm,innovation,903,0.3368274830343053,0.21468012502507294,0.10138132765140916,-2.3904957089022014,0.005135802707851684,1.048493852578215,0.6589910451093233
2,val,lstm,innovation,465,0.377547633916348,0.22447898550617162,0.1336080431561153,-1.6475161979764814,0.027902673092524023,1.0573969916313102,0.5871703400107883
2,test,lstm,innovation,903,0.34852207162916227,0.258737769089853,0.06387932712855825,-2.419151586918356,0.04648448186369829,0.7609429205346381,0.319795671383896
3,val,lstm,innovation,465,0.3817590812757463,0.18458120951505952,0.07460575542243282,-2.406522098341519,0.04195592996966325,0.7908808597331239,0.3556175051908961
3,test,lstm,innovation,903,0.37557071394753244,0.40057870587980215,0.04828173594255724,-2.9557942042027445,0.06477271270584098,0.4833026561737268,0.1314585222116934
4,val,lstm,innovation,465,0.3823672904456465,0.37867074364432474,0.055530919193599496,-2.633484498214668,0.08473966674142654,0.4146689288254014,0.08265802505829933
4,test,lstm,innovation,903,0.49088925348613366,0.16116510785175153,0.11604879461791837,-2.29777172021588,0.03801344846639891,0.7699131829647907,0.36420336780204887
5,val,lstm,innovation,465,0.574072657203931,0.06531638827707997,0.15219715748762022,-1.0352289042398162,0.04627837560948109,0.8999899679729672,0.2783653293350048
5,test,lstm,innovation,904,0.274258730929907,0.3005483333757797,0.04643731439577936,-2.610343812523125,0.03200476151212185,0.8475720201081693,0.48244137995773584
