episode_id,branch_idx,model,event_day,loglik,shape
19,3712,T0_exponential,5.0,-3.298626233330324,1.0
19,3712,T1_weibull,5.0,-3.5333662758974342,1.36365274654675
20,3836,T0_exponential,37.0,-4.8222225450132985,1.0
20,3836,T1_weibull,37.0,-4.609800461626155,1.3128562656478269
21,3880,T0_exponential,8.0,-3.4372226977287403,1.0
21,3880,T1_weibull,8.0,-3.4643718397153913,1.34732240483883
22,3900,T0_exponential,93.0,-7.5124776037907495,1.0
22,3900,T1_weibull,93.0,-8.902138359857283,1.3309257604894462
23,3926,T0_exponential,62.0,-6.019358337735703,1.0
23,3926,T1_weibull,62.0,-6.312121873923162,1.3309257604894462
24,3947,T0_exponential,32.0,-4.574404209295336,1.0
24,3947,T1_weibull,32.0,-4.302085692385823,1.3309257604894462
25,3999,T0_exponential,17.0,-3.9113883545711285,1.0
25,3999,T1_weibull,17.0,-3.78630697158568,1.2149056382809478
26,4228,T0_exponential,15.0,-3.828529851485517,1.0
26,4228,T1_weibull,15.0,-3.721304550471725,1.2304394607110656
27,4301,T0_exponential,96.0,-7.037225720514533,1.0
27,4301,T1_weibull,96.0,-7.5744257111403,1.2409154846677313
28,4328,T0_exponential,13.0,-3.742569231964915,1.0
28,4328,T1_weibull,13.0,-3.663961259503569,1.2409154846677313
29,4608,T0_exponential,107.0,-7.227829247577704,1.0
29,4608,T1_weibull,107.0,-7.631208396132616,1.1807017492247103
30,4628,T0_exponential,29.0,-4.369190504122207,1.0
30,4628,T1_weibull,29.0,-4.201187949677767,1.1807017492247103
31,4648,T0_exponential,12.0,-3.746153854907547,1.0
31,4648,T1_weibull,12.0,-3.714395218432421,1.1807017492247103
32,4682,T0_exponential,18.0,-3.960452349172557,1.0
32,4682,T1_weibull,18.0,-3.836782873857975,1.20449557213977
33,5625,T0_exponential,41.0,-4.7802013715196185,1.0
33,5625,T1_weibull,41.0,-4.628472049788839,1.158436921112763
34,5725,T0_exponential,25.0,-4.231458453683753,1.0
34,5725,T1_weibull,25.0,-4.085847745591926,1.179831308042007
35,6242,T0_exponential,101.0,-6.825177897627071,1.0
35,6242,T1_weibull,101.0,-7.095894186746268,1.1963798809521613
36,6277,T0_exponential,44.0,-4.879394765096951,1.0
36,6277,T1_weibull,44.0,-4.700437108487357,1.1963798809521613
37,6424,T0_exponential,33.0,-4.497333348303424,1.0
37,6424,T1_weibull,33.0,-4.325340505664424,1.1871262487019105
38,6467,T0_exponential,18.0,-4.0245453994985025,1.0
38,6467,T1_weibull,18.0,-3.9336083725901254,1.2056628310888555
39,6774,T0_exponential,39.0,-4.6890902785029365,1.0
39,6774,T1_weibull,39.0,-4.488449394604366,1.2120713669162695
40,6833,T0_exponential,31.0,-4.434148830989007,1.0
40,6833,T1_weibull,31.0,-4.232085963319333,1.2311619829954394
41,6896,T0_exponential,17.0,-3.990400847307349,1.0
41,6896,T1_weibull,17.0,-3.8988848160774205,1.2479418496472743
42,7263,T0_exponential,18.0,-4.017275026508624,1.0
42,7263,T1_weibull,18.0,-3.9069584619942592,1.2520415883883311
43,7308,T0_exponential,25.0,-4.239700090319891,1.0
43,7308,T1_weibull,25.0,-4.048832932444902,1.2575443015443126
44,7338,T0_exponential,25.0,-4.238862780663606,1.0
44,7338,T1_weibull,25.0,-4.039323691135935,1.2699414187208111
45,7392,T0_exponential,12.0,-3.813427725120165,1.0
45,7392,T1_weibull,12.0,-3.814523005513459,1.2820929737763542
46,7423,T0_exponential,6.0,-3.6065174210695656,1.0
46,7423,T1_weibull,6.0,-3.8315135495493147,1.2775539908649414
47,7468,T0_exponential,18.0,-3.996861717723372,1.0
47,7468,T1_weibull,18.0,-3.8723162901728045,1.257444136650406
48,8047,T0_exponential,17.0,-3.9595923033458784,1.0
48,8047,T1_weibull,17.0,-3.846095783464471,1.2631380698534957
