episode_id,branch_idx,branch_date,event_day,event_type,resolved_within_followup,upper_barrier,lower_barrier
1,996,1997-04-07,16,recovery,True,0.04129275199867562,-0.05255441163467805
2,1335,1998-08-11,14,relapse,True,0.04827295054214249,-0.06143830068999953
3,1378,1998-10-12,5,recovery,True,0.06388108308566412,-0.08130319665448159
4,1636,1999-10-20,6,recovery,True,0.04613792304291968,-0.05872099296371595
5,1763,2000-04-24,57,recovery,True,0.06292573547858596,-0.08008729970001847
6,1889,2000-10-20,42,relapse,True,0.059080445975736945,-0.07519329487821065
7,1909,2000-11-17,22,relapse,True,0.04648754811586247,-0.0591659703292795
8,1936,2000-12-28,49,relapse,True,0.061589217590852174,-0.07838627693381185
9,1981,2001-03-06,4,relapse,True,0.04284859620691528,-0.05453457699061944
10,2006,2001-04-10,6,recovery,True,0.0713727328660088,-0.09083802364764756
11,2119,2001-09-26,11,recovery,True,0.07043252923698445,-0.0896414008470711
12,2309,2002-06-28,7,relapse,True,0.0510396549100992,-0.0649595607946717
13,2331,2002-07-31,47,relapse,True,0.09399459250711821,-0.1196294813726959
14,2359,2002-09-10,9,relapse,True,0.06067854510214544,-0.07722723922091237
15,2383,2002-10-14,16,recovery,True,0.0847300161724124,-0.10783820240125212
16,2427,2002-12-16,27,relapse,True,0.051354860596776034,-0.06536073166862404
17,2458,2003-01-31,26,relapse,True,0.046071251988877106,-0.05863613889493449
18,3602,2007-08-17,22,recovery,True,0.053673875440113816,-0.06831220510559939
19,3712,2008-01-25,5,recovery,True,0.04781367726828185,-0.06085377106872234
20,3836,2008-07-23,37,relapse,True,0.044315713262493714,-0.05640181687953744
21,3880,2008-09-24,8,relapse,True,0.0820037657965554,-0.10436842919561594
22,3900,2008-10-22,93,relapse,True,0.19040845584271537,-0.24233803470891044
23,3926,2008-11-28,62,relapse,True,0.14864943485404475,-0.18919018981423874
24,3947,2008-12-30,32,relapse,True,0.07531024927550041,-0.09584940816881868
25,3999,2009-03-17,17,recovery,True,0.09284069485656861,-0.11816088436290548
26,4228,2010-02-11,15,recovery,True,0.04477080031708079,-0.05698101858537555
27,4301,2010-05-27,96,recovery,True,0.0703332189922214,-0.08951500599009996
28,4328,2010-07-07,13,recovery,True,0.049946291275589395,-0.06356800707802286
29,4608,2011-08-15,107,recovery,True,0.09542999939189253,-0.12145636286240866
30,4628,2011-09-13,29,recovery,True,0.0666998994896028,-0.08489078116858537
31,4648,2011-10-11,12,recovery,True,0.06745101108871995,-0.08584674138564356
32,4682,2011-11-29,18,recovery,True,0.05930168903082118,-0.07547487694831785
33,5625,2015-08-31,41,recovery,True,0.059527671261724674,-0.07576249069674049
34,5725,2016-01-25,25,recovery,True,0.04685906628431958,-0.05963881163458855
35,6242,2018-02-12,101,recovery,True,0.055527626656100997,-0.07067152483503762
36,6277,2018-04-04,44,recovery,True,0.04689698063623622,-0.059687066264300634
37,6424,2018-10-31,33,relapse,True,0.052249111280224386,-0.06649886890210376
38,6467,2019-01-04,18,recovery,True,0.06601523900745665,-0.08401939510039935
39,6774,2020-03-25,39,recovery,True,0.19927534390647336,-0.25362316497187515
40,6833,2020-06-18,31,recovery,True,0.05880421736675315,-0.07484173119404945
41,6896,2020-09-17,17,recovery,True,0.046863944068141636,-0.05964501972308934
42,7263,2022-03-03,18,recovery,True,0.04988641989090459,-0.06349180713387856
43,7308,2022-05-06,25,relapse,True,0.0655897074122167,-0.08347780943373033
44,7338,2022-06-21,25,recovery,True,0.06652486357643218,-0.08466800818818641
45,7392,2022-09-07,12,relapse,True,0.04598806084811767,-0.05853025926124066
46,7423,2022-10-20,6,recovery,True,0.061266931151669736,-0.0779760941930342
47,7468,2022-12-23,18,recovery,True,0.0458658611988702,-0.0583747324349257
48,8047,2025-04-17,17,recovery,True,0.11089236043895469,-0.14113573146776048
