episode_id,branch_idx,model,n_risk_days,episode_loglik,episode_nll
19,3712,H0_constant,5,-3.2564833367522654,3.2564833367522654
19,3712,H1_duration,5,-3.477025423596423,3.477025423596423
19,3712,HP_downside,5,-3.9377180724728604,3.9377180724728604
19,3712,H1P_duration_plus_downside,5,-4.023129949145058,4.023129949145058
20,3836,H0_constant,37,-4.8175619864588155,4.8175619864588155
20,3836,H1_duration,37,-4.6414738801765445,4.6414738801765445
20,3836,HP_downside,37,-3.5882157693207795,3.5882157693207795
20,3836,H1P_duration_plus_downside,37,-3.600853331555906,3.600853331555906
21,3880,H0_constant,8,-3.3983830702712514,3.3983830702712514
21,3880,H1_duration,8,-3.437263978902858,3.437263978902858
21,3880,HP_downside,8,-3.7378851549065706,3.7378851549065706
21,3880,H1P_duration_plus_downside,8,-3.6784367621035554,3.6784367621035554
22,3900,H0_constant,93,-7.574582332512525,7.574582332512525
22,3900,H1_duration,93,-8.68342053475204,8.68342053475204
22,3900,HP_downside,93,-8.091810480742279,8.091810480742279
22,3900,H1P_duration_plus_downside,93,-8.601683603120236,8.601683603120236
23,3926,H0_constant,62,-6.044306915844107,6.044306915844107
23,3926,H1_duration,62,-6.272100663449534,6.272100663449534
23,3926,HP_downside,62,-5.981270820105218,5.981270820105218
23,3926,H1P_duration_plus_downside,62,-6.116131186658065,6.116131186658065
24,3947,H0_constant,32,-4.563395222294028,4.563395222294028
24,3947,H1_duration,32,-4.336546451218097,4.336546451218097
24,3947,HP_downside,32,-4.337194885877835,4.337194885877835
24,3947,H1P_duration_plus_downside,32,-4.232305701881533,4.232305701881533
25,3999,H0_constant,17,-3.8850514191915693,3.8850514191915693
25,3999,H1_duration,17,-3.7925194281831787,3.7925194281831787
25,3999,HP_downside,17,-4.2003447791216795,4.2003447791216795
25,3999,H1P_duration_plus_downside,17,-4.188628185777475,4.188628185777475
26,4228,H0_constant,15,-3.800435071146312,3.800435071146312
26,4228,H1_duration,15,-3.721375155949405,3.721375155949405
26,4228,HP_downside,15,-4.290778293704065,4.290778293704065
26,4228,H1P_duration_plus_downside,15,-4.272962119732514,4.272962119732514
27,4301,H0_constant,96,-7.074416696420854,7.074416696420854
27,4301,H1_duration,96,-7.496208762315846,7.496208762315846
27,4301,HP_downside,96,-7.107949100099091,7.107949100099091
27,4301,H1P_duration_plus_downside,96,-7.143427422871161,7.143427422871161
