metric,n_pairs,median_control,median_branch,median_paired_difference,median_paired_ratio,fraction_branch_greater
log_rv_ratio__lag1,24,0.5384355922527844,0.5865263246112298,0.05935684682936995,1.1331913466353623,0.5833333333333334
log_rv_ratio__restoring_fraction,24,0.631578947368421,0.631578947368421,0.0,1.0,0.375
log_rv_ratio__same_side_run_length,24,4.5,3.666666666666667,-0.9285714285714286,0.8,0.3333333333333333
downside_pressure__lag1,24,0.6219873544842585,0.5882061738478026,0.020750466122704064,0.9683856109594596,0.5416666666666666
downside_pressure__restoring_fraction,24,0.6842105263157895,0.631578947368421,-0.026315789473684237,0.9615384615384615,0.2916666666666667
downside_pressure__same_side_run_length,24,3.3333333333333335,4.0,0.4761904761904763,1.1666666666666667,0.5416666666666666
drawdown_state__lag1,24,0.6299757966470532,0.578374541561892,-0.11275403160394037,0.8424381823599261,0.4166666666666667
drawdown_state__restoring_fraction,24,0.6052631578947368,0.631578947368421,0.0,1.0,0.4583333333333333
drawdown_state__same_side_run_length,24,4.5,3.0952380952380953,-0.9880952380952381,0.75,0.3333333333333333
log_rv_ratio__shock_carryover_lag1,6,1.0,1.0,0.0,1.0,0.0
log_rv_ratio__shock_carryover_lag3,6,1.1454728364533018,1.3442152073674984,-0.34753945216930304,0.8045255549541095,0.3333333333333333
log_rv_ratio__shock_carryover_lag5,6,0.41418964501922395,0.9662183206132132,-0.008902221125331927,-2.611140296558693,0.5
