episode_id,branch_idx,branch_date,control_idx,control_date,match_distance
1,996,1997-04-07,1159,1997-11-25,0.7707245579131685
2,1335,1998-08-11,820,1996-07-24,0.7558400418736889
3,1378,1998-10-12,825,1996-07-31,2.064278656363315
4,1636,1999-10-20,812,1996-07-12,1.143585564915767
5,1763,2000-04-24,826,1996-08-01,0.7613262928114678
6,1889,2000-10-20,816,1996-07-18,1.0985525691669635
7,1909,2000-11-17,1179,1997-12-26,1.3431812340736733
8,1936,2000-12-28,1193,1998-01-16,2.0365518907526137
9,1981,2001-03-06,821,1996-07-25,2.2576469356887525
10,2006,2001-04-10,828,1996-08-05,3.2189389590464166
11,2119,2001-09-26,1178,1997-12-24,3.776452703658133
12,2309,2002-06-28,1175,1997-12-19,2.381425421292562
13,2331,2002-07-31,1143,1997-11-03,4.098195060170578
14,2359,2002-09-10,1174,1997-12-18,3.705270384489411
15,2383,2002-10-14,1194,1998-01-20,4.714052889309704
16,2427,2002-12-16,1180,1997-12-29,1.205969057701554
17,2458,2003-01-31,1508,1999-04-20,2.0341334205017128
18,3602,2007-08-17,4825,2012-06-25,1.4009872807871548
19,3712,2008-01-25,4826,2012-06-26,1.9412449891554926
20,3836,2008-07-23,7876,2024-08-12,1.2181012805483522
21,3880,2008-09-24,817,1996-07-19,2.709309863647671
22,3900,2008-10-22,1150,1997-11-12,6.696670169554951
23,3926,2008-11-28,1146,1997-11-06,8.049041495283385
24,3947,2008-12-30,6627,2019-08-23,5.48224949630063
25,3999,2009-03-17,7878,2024-08-14,6.664632111961902
26,4228,2010-02-11,5414,2014-10-28,1.0624577669383042
27,4301,2010-05-27,5410,2014-10-22,1.6420818499126708
28,4328,2010-07-07,5409,2014-10-21,1.9569023853975696
29,4608,2011-08-15,5463,2015-01-08,4.218835451560334
30,4628,2011-09-13,5846,2016-07-18,3.4032186391313637
31,4648,2011-10-11,5848,2016-07-20,3.903743492840837
32,4682,2011-11-29,5850,2016-07-22,3.057718025640332
33,5625,2015-08-31,6623,2019-08-19,1.4600188159734706
34,5725,2016-01-25,6629,2019-08-27,1.2337025357979354
35,6242,2018-02-12,6622,2019-08-16,0.9807094986163896
36,6277,2018-04-04,6631,2019-08-29,1.03958055869667
37,6424,2018-10-31,6626,2019-08-22,1.122204254061949
38,6467,2019-01-04,6630,2019-08-28,2.2565727950804813
39,6774,2020-03-25,6632,2019-08-30,8.658016028126111
40,6833,2020-06-18,6625,2019-08-21,1.061094174622039
41,6896,2020-09-17,6633,2019-09-03,0.5026806851387979
42,7263,2022-03-03,8287,2026-04-02,1.2233245963297206
43,7308,2022-05-06,7875,2024-08-09,1.944069742978001
44,7338,2022-06-21,6628,2019-08-26,3.4397149318395
45,7392,2022-09-07,6624,2019-08-20,2.356218891021021
46,7423,2022-10-20,6620,2019-08-14,2.4352662506676155
47,7468,2022-12-23,7024,2021-03-23,1.7901863988232933
48,8047,2025-04-17,7884,2024-08-22,4.062672645123018
