lead_days_before_escape,feature,n_recovery,n_relapse,smd_recovery_minus_relapse
30,signed_return_over_local_vol,8,8,-0.17606370915072958
30,downside_shock_pressure,8,8,-0.5597680693214218
30,d_log_rv5_over_rv20,8,8,0.08690316137283624
30,drawdown_repair_over_local_vol,8,8,-0.1363506292929148
29,signed_return_over_local_vol,8,8,0.8160091515216905
29,downside_shock_pressure,8,8,-0.7884372099777288
29,d_log_rv5_over_rv20,8,8,-0.19260063834098906
29,drawdown_repair_over_local_vol,8,8,0.8563902670648798
28,signed_return_over_local_vol,9,8,-0.14306069266528668
28,downside_shock_pressure,9,8,-0.28275324926844886
28,d_log_rv5_over_rv20,9,8,-0.29707533617011544
28,drawdown_repair_over_local_vol,9,8,-0.2553877061812358
27,signed_return_over_local_vol,9,8,0.37263307642123134
27,downside_shock_pressure,9,8,-0.6405997951968412
27,d_log_rv5_over_rv20,9,8,-0.2262359412083049
27,drawdown_repair_over_local_vol,9,8,0.4802491351564779
26,signed_return_over_local_vol,9,9,0.21640888310044631
26,downside_shock_pressure,9,9,-0.5972364026767999
26,d_log_rv5_over_rv20,9,9,0.08953451130043225
26,drawdown_repair_over_local_vol,9,9,0.11182285394454079
25,signed_return_over_local_vol,9,10,0.33437205305028944
25,downside_shock_pressure,9,10,-1.2257059439179088
25,d_log_rv5_over_rv20,9,10,-0.33496165483213136
25,drawdown_repair_over_local_vol,9,10,0.3126405426428827
24,signed_return_over_local_vol,11,11,0.5906614110365366
24,downside_shock_pressure,11,11,-1.3307286900293045
24,d_log_rv5_over_rv20,11,11,-0.7801879339979984
24,drawdown_repair_over_local_vol,11,11,0.5321697879514823
23,signed_return_over_local_vol,11,11,-0.1916867538048278
23,downside_shock_pressure,11,11,-1.1199867598514142
23,d_log_rv5_over_rv20,11,11,0.32672334184301843
23,drawdown_repair_over_local_vol,11,11,-0.15110164255000522
22,signed_return_over_local_vol,11,11,0.45465433974608704
22,downside_shock_pressure,11,11,-0.5929098837249658
22,d_log_rv5_over_rv20,11,11,1.048723449939672
22,drawdown_repair_over_local_vol,11,11,0.47526928368056026
21,signed_return_over_local_vol,12,12,0.7324220814613424
21,downside_shock_pressure,12,12,-0.7125670295720875
21,d_log_rv5_over_rv20,12,12,-0.15464304633568277
21,drawdown_repair_over_local_vol,12,12,0.654547152241255
20,signed_return_over_local_vol,12,12,0.3145874525051382
20,downside_shock_pressure,12,12,-0.629450016188884
20,d_log_rv5_over_rv20,12,12,0.4987971586504979
20,drawdown_repair_over_local_vol,12,12,0.21771420631871305
19,signed_return_over_local_vol,12,12,0.7946051692288534
19,downside_shock_pressure,12,12,-0.6819565335829397
19,d_log_rv5_over_rv20,12,12,-0.35787487596225087
19,drawdown_repair_over_local_vol,12,12,0.7664341428466918
18,signed_return_over_local_vol,12,12,0.26542994867063646
18,downside_shock_pressure,12,12,-1.135378878348873
18,d_log_rv5_over_rv20,12,12,-0.22931645682015056
18,drawdown_repair_over_local_vol,12,12,0.32617362450840687
17,signed_return_over_local_vol,16,12,0.7957906763272399
17,downside_shock_pressure,16,12,-2.6550435832648875
17,d_log_rv5_over_rv20,16,12,-0.7729099833438504
17,drawdown_repair_over_local_vol,16,12,0.5806141187247329
16,signed_return_over_local_vol,19,12,-0.7593725041655941
16,downside_shock_pressure,19,12,-1.3010991641489014
16,d_log_rv5_over_rv20,19,12,0.3606716562529917
16,drawdown_repair_over_local_vol,19,12,-0.7553559239084606
15,signed_return_over_local_vol,21,12,-0.23800116027047694
15,downside_shock_pressure,21,12,-0.9983822295565243
15,d_log_rv5_over_rv20,21,12,-0.08068311883994958
15,drawdown_repair_over_local_vol,21,12,-0.2773300960691493
14,signed_return_over_local_vol,22,12,0.5269250211245241
14,downside_shock_pressure,22,12,-0.7410116755728865
14,d_log_rv5_over_rv20,22,12,0.07348276629106953
14,drawdown_repair_over_local_vol,22,12,0.594445366365706
13,signed_return_over_local_vol,22,13,0.45614630614956586
13,downside_shock_pressure,22,13,-0.6936182630927017
13,d_log_rv5_over_rv20,22,13,0.10768543701465688
13,drawdown_repair_over_local_vol,22,13,0.43076028997185345
12,signed_return_over_local_vol,23,13,0.015090852275412948
12,downside_shock_pressure,23,13,-0.46151376700840446
12,d_log_rv5_over_rv20,23,13,-0.11061783897259243
12,drawdown_repair_over_local_vol,23,13,-0.05427708586640562
11,signed_return_over_local_vol,24,14,-0.2068607132201048
11,downside_shock_pressure,24,14,-0.577683225312824
11,d_log_rv5_over_rv20,24,14,0.045123157946003335
11,drawdown_repair_over_local_vol,24,14,-0.2485515222904752
10,signed_return_over_local_vol,25,14,0.521068223872879
10,downside_shock_pressure,25,14,-1.2477464268835545
10,d_log_rv5_over_rv20,25,14,-0.7009441020137022
10,drawdown_repair_over_local_vol,25,14,0.42892492395033555
9,signed_return_over_local_vol,25,14,0.5639998613533306
9,downside_shock_pressure,25,14,-0.8576919942846661
9,d_log_rv5_over_rv20,25,14,0.2636863659576616
9,drawdown_repair_over_local_vol,25,14,0.6369569756041179
8,signed_return_over_local_vol,25,15,0.44025524772382585
8,downside_shock_pressure,25,15,-0.8671969857510367
8,d_log_rv5_over_rv20,25,15,-0.4959626898888701
8,drawdown_repair_over_local_vol,25,15,0.4806283615606217
7,signed_return_over_local_vol,25,16,-0.25840254360029813
7,downside_shock_pressure,25,16,-0.7504087836177855
7,d_log_rv5_over_rv20,25,16,0.02613292352707322
7,drawdown_repair_over_local_vol,25,16,-0.3288157372044747
6,signed_return_over_local_vol,25,17,0.6310779808092145
6,downside_shock_pressure,25,17,-0.8433542104029151
6,d_log_rv5_over_rv20,25,17,0.635998747310207
6,drawdown_repair_over_local_vol,25,17,0.5738837038486555
5,signed_return_over_local_vol,28,17,0.9773136630841593
5,downside_shock_pressure,28,17,-0.9080868636537015
5,d_log_rv5_over_rv20,28,17,-0.12278109512263816
5,drawdown_repair_over_local_vol,28,17,0.8756629564388647
4,signed_return_over_local_vol,30,17,0.3095212034498913
4,downside_shock_pressure,30,17,-1.4500349265190184
