episode_id,start_idx,branch_idx,end_idx,start_date,branch_date,end_date,candidate_days,calendar_rows,rv_20d,branch_stress_cut,drawdown_120d,rv_ratio_5_20_branch,rv_5d_change_5d_branch,return_5d_branch,worst_return_5d_in_prior_window
1,578,578,581,1988-04-07,1988-04-07,1988-04-12,4,4,0.16303122923121585,0.1623854713996983,-0.23497979929623358,0.6844274499355536,-0.10982928796573577,-0.002325516490027546,-0.05274943381627395
2,971,971,993,1989-10-23,1989-10-23,1989-11-22,15,23,0.18186992767660337,0.150156309972076,-0.09740313272877177,0.9957328220148587,-0.06688556888694414,0.012083489929507252,-0.043997046055221034
3,1187,1187,1196,1990-08-31,1990-08-31,1990-09-13,8,10,0.19035724229045284,0.1491944401251894,-0.10443064182194606,0.6324378455113007,-0.015949519860049513,0.041442524843051665,-0.06849154102255461
4,1208,1208,1226,1990-10-01,1990-10-01,1990-10-25,9,19,0.16941910983435676,0.15038437037256672,-0.15908902691511384,1.0011793921345573,-0.023767626241076006,0.020144422948065177,-0.053197870526504154
5,1683,1683,1694,1992-08-17,1992-08-17,1992-09-02,5,12,0.15757308018371832,0.14786727156164542,-0.13211337570311943,0.9395840593919732,0.10259438437474686,0.021439419162756934,-0.041514515323555656
6,1722,1722,1727,1992-10-12,1992-10-12,1992-10-19,4,6,0.29113411333725703,0.14972438902042665,-0.06596537365768151,0.32658101298735237,-0.20863391606518217,0.04433623094303396,-0.04543057952407015
7,2076,2076,2079,1994-03-07,1994-03-07,1994-03-10,4,4,0.15362954070736246,0.14233076996894256,-0.06090390023577541,1.1641767909319582,-0.03818403134153528,-0.006692819676976214,-0.047163892602934965
8,2140,2140,2170,1994-06-09,1994-06-09,1994-07-21,21,31,0.1423223185264284,0.1423223185264284,-0.13959037582024258,0.6357278679597781,-0.1237507302471004,0.01600779643882788,-0.052820916083788916
9,3004,3004,3018,1997-11-05,1997-11-05,1997-11-25,9,15,0.2154312635005027,0.13656383764138064,-0.07925639678847451,0.7808388762643307,-0.18382755982951932,0.007464171013138454,-0.09434621738541438
10,3201,3201,3203,1998-08-18,1998-08-18,1998-08-20,3,3,0.23018147687381962,0.14013592009617273,-0.0859038679397961,1.1069111326894423,-0.006510838306721556,0.03888225551142277,-0.057093680541116854
11,3222,3222,3256,1998-09-17,1998-09-17,1998-11-04,22,35,0.3301315242921621,0.1407540385220837,-0.1692992393591196,1.0156662104909506,-0.0547842011628219,-0.0007205803904959396,-0.08006825469922596
12,3280,3280,3288,1998-12-08,1998-12-08,1998-12-18,8,9,0.22304508884766847,0.14312340495259374,-0.09116685547823267,0.4519499347534637,-0.19998402601042609,0.014028579057988821,-0.04602376655825502
13,3444,3444,3454,1999-08-05,1999-08-05,1999-08-19,4,11,0.19952957520333572,0.1484061955482493,-0.07839435219911106,1.2167866537392253,-0.029142863253544288,-0.0026057495057720814,-0.055740556420698084
14,3485,3485,3503,1999-10-04,1999-10-04,1999-10-28,9,19,0.15689792010514533,0.15007783641647982,-0.08575467893538835,1.0455351610592434,-0.08582506668547157,-0.004236924236023398,-0.0400813231579491
15,3564,3564,3593,2000-01-27,2000-01-27,2000-03-08,9,30,0.2478886674315371,0.15222352207727577,-0.07059392225332595,0.8018661375724003,-0.0703611884944953,0.014424356990119236,-0.05422737490055951
16,3626,3626,3641,2000-04-26,2000-04-26,2000-05-18,9,16,0.23930233507716453,0.15406523271558137,-0.09720787278866416,0.554152333742691,-0.09657673817691756,0.04277165885634915,-0.08607036093168041
17,3733,3733,3748,2000-09-27,2000-09-27,2000-10-18,3,16,0.16557187536567045,0.1547410227427395,-0.0777751299635484,0.9170963913370017,-0.07036553051048033,-0.0016781936825243093,-0.055890592956011176
18,3861,3861,3883,2001-03-29,2001-03-29,2001-05-02,20,23,0.31164690059361827,0.1566023714540465,-0.1372393425109265,1.114682227314123,-0.018753685216407745,0.05021062563064227,-0.07509342180722456
19,3937,3937,3948,2001-07-19,2001-07-19,2001-08-03,4,12,0.16220320653472797,0.15744775329135088,-0.14162060957955835,1.0059510029019223,-0.03198394953460226,-0.008086857802528158,-0.04431803209542373
20,3986,3986,4001,2001-09-27,2001-09-27,2001-10-18,16,16,0.40666800637712675,0.15826205143563926,-0.2029558513005678,0.9382839049195921,-0.06215632252314285,0.04436741487048046,-0.12531979577919472
21,4043,4043,4052,2001-12-17,2001-12-17,2002-01-02,9,10,0.16439315981430744,0.1597555135394951,-0.1015222121930911,0.9300062301936989,-0.1310404347503513,-0.00944263339134288,-0.056488000998454524
22,4173,4173,4182,2002-06-27,2002-06-27,2002-07-10,2,10,0.2230724254267285,0.1590301199673899,-0.14709716441011622,1.1612329329960283,-0.07548813224578438,-0.008703057567293726,-0.06066666704631096
