episode_id,branch_idx,branch_date,event_day,event_type,resolved_within_followup,upper_barrier,lower_barrier
1,578,1988-04-07,40.0,recovery,True,0.03572425805521886,-0.045467237524824
2,971,1989-10-23,29.0,recovery,True,0.03985229246838646,-0.05072109950521912
3,1187,1990-08-31,14.0,relapse,True,0.04171207736291716,-0.053088098461894564
4,1208,1990-10-01,4.0,recovery,True,0.03712400395769801,-0.04724873230979746
5,1683,1992-08-17,22.0,recovery,True,0.03452823980769581,-0.04394503248252193
6,1722,1992-10-12,23.0,recovery,True,0.0637948339258801,-0.08119342499657467
7,2076,1994-03-07,12.0,relapse,True,0.03366411075359611,-0.042845231868213235
8,2140,1994-06-09,11.0,relapse,True,0.03118641292242477,-0.039691798264904245
9,3004,1997-11-05,22.0,recovery,True,0.047206428404823815,-0.06008090887886666
10,3201,1998-08-18,8.0,relapse,True,0.0504385725247126,-0.0641945468496342
11,3222,1998-09-17,12.0,relapse,True,0.07234015115748016,-0.09206928329133837
12,3280,1998-12-08,11.0,recovery,True,0.048874809749748595,-0.06220430331786184
13,3444,1999-08-05,14.0,recovery,True,0.04372196706008363,-0.05564613989465189
14,3485,1999-10-04,20.0,recovery,True,0.03438029519003414,-0.04375673933277072
15,3564,2000-01-27,57.0,relapse,True,0.05431866499472455,-0.06913284635692214
16,3626,2000-04-26,25.0,recovery,True,0.05243718281353796,-0.06673823267177557
17,3733,2000-09-27,102.0,relapse,True,0.03628097776200294,-0.046175789878912826
18,3861,2001-03-29,35.0,recovery,True,0.06828970345997881,-0.08691416803997302
19,3937,2001-07-19,35.0,relapse,True,0.03554281737894843,-0.04523631302775255
20,3986,2001-09-27,14.0,recovery,True,0.08911122654920264,-0.1134142883353488
21,4043,2001-12-17,11.0,recovery,True,0.03602269142797259,-0.045847061817419654
22,4173,2002-06-27,10.0,relapse,True,0.04888079988433381,-0.06221192712551575
23,4195,2002-07-29,,,False,0.11601844903490423,-0.14765984422624173
24,4225,2002-09-10,9.0,relapse,True,0.07174878948185419,-0.0913166411587235
25,4255,2002-10-22,64.0,relapse,True,0.08456777842106145,-0.10763171799044183
26,4300,2002-12-24,18.0,relapse,True,0.047056786605004904,-0.05989045567909714
27,4332,2003-02-11,21.0,relapse,True,0.06451484696947328,-0.08210980523387508
28,4358,2003-03-19,47.0,recovery,True,0.08243536394841734,-0.10491773593434933
29,5165,2006-05-31,92.0,recovery,True,0.05363645119858307,-0.06826457425274209
30,5466,2007-08-07,7.0,relapse,True,0.047141487879799,-0.05999825730156236
31,5538,2007-11-16,15.0,recovery,True,0.03611045290459884,-0.04595875824221671
32,5587,2008-01-29,76.0,recovery,True,0.07459645371040084,-0.09494094108596471
33,5627,2008-03-27,19.0,recovery,True,0.06295970219581765,-0.08013053006740427
34,5698,2008-07-08,49.0,relapse,True,0.04823062857100332,-0.06138443636309512
35,5771,2008-10-20,,,False,0.16538065342096853,-0.21048446799032355
36,5792,2008-11-18,73.0,relapse,True,0.11604919960632036,-0.147698981317135
37,5839,2009-01-26,20.0,relapse,True,0.06590070928663254,-0.08387363000116867
38,5871,2009-03-11,16.0,recovery,True,0.08311883311542863,-0.10578760578327279
39,5959,2009-07-13,5.0,recovery,True,0.04480171769964936,-0.0570203679813719
40,6180,2010-05-18,32.0,relapse,True,0.06445666692177897,-0.08203575790044595
41,6217,2010-07-08,13.0,recovery,True,0.04837533937418873,-0.061568613748967466
42,6506,2011-08-17,51.0,recovery,True,0.06677465881837363,-0.08498592940520279
43,6537,2011-09-29,20.0,recovery,True,0.07771981298102165,-0.09891612561220936
44,6584,2011-12-05,44.0,recovery,True,0.05100183716097875,-0.06491142911397295
45,6711,2012-05-30,14.0,recovery,True,0.04263316152544983,-0.05426038739602705
46,6982,2013-06-13,21.0,recovery,True,0.037988342430808834,-0.04834879945739306
47,7336,2014-10-22,18.0,recovery,True,0.03996177450930167,-0.05086044028456575
48,7560,2015-09-01,117.0,relapse,True,0.06646645426712071,-0.08459366906724453
49,7640,2015-12-22,21.0,relapse,True,0.039967422565688325,-0.05086762871996696
50,7666,2016-01-27,11.0,relapse,True,0.05195331940786837,-0.06612240651910518
51,8198,2018-02-14,52.0,recovery,True,0.03620810704070882,-0.04608304532453849
52,8414,2018-12-13,38.0,recovery,True,0.040196860334401494,-0.05115964042560189
53,8586,2019-08-14,31.0,recovery,True,0.03670144647775005,-0.04671093188077278
54,8742,2020-03-24,47.0,recovery,True,0.14927189033642838,-0.18998240588272702
55,8772,2020-05-07,17.0,recovery,True,0.07178518305332185,-0.09136296024968234
56,8800,2020-06-18,92.0,relapse,True,0.05962379127900049,-0.07588482526418244
57,8860,2020-09-11,33.0,relapse,True,0.04138101301975665,-0.05266674384332664
58,8898,2020-11-04,3.0,recovery,True,0.044811902888925455,-0.05703333094954148
59,9241,2022-03-11,20.0,recovery,True,0.0667735407654425,-0.08498450642874497
60,9310,2022-06-23,3.0,recovery,True,0.04066742200984642,-0.05175853710344089
61,9500,2023-03-23,14.0,recovery,True,0.04633618216462651,-0.05897332275497919
62,10021,2025-04-14,24.0,recovery,True,0.0704810530061144,-0.08970315837141832
63,10263,2026-03-26,5.0,recovery,True,0.0419752013676298,-0.053422983558801554
