episode_id,branch_idx,branch_date,event_day,event_type,resolved_within_followup,upper_barrier,lower_barrier
1,804,1952-07-25,11.0,recovery,True,0.062282424755652106,-0.07926854059810266
2,946,1953-02-23,7.0,relapse,True,0.07983436780334158,-0.10160737720425289
3,977,1953-04-07,7.0,recovery,True,0.09738494980089299,-0.12394448156477288
4,1167,1954-01-11,34.0,relapse,True,0.05701238700754197,-0.07256121982778067
5,1229,1954-04-08,10.0,recovery,True,0.0504868445409194,-0.06425598396117015
6,2021,1957-06-05,33.0,relapse,True,0.04637616201849773,-0.05902420620536073
7,2665,1959-12-28,10.0,recovery,True,0.06392377551333293,-0.08135753247151463
8,2763,1960-05-24,26.0,recovery,True,0.04970717360634368,-0.06326367549898286
9,3100,1961-09-21,11.0,relapse,True,0.05025014775367075,-0.06395473350467186
10,3125,1961-10-26,49.0,recovery,True,0.06575092974910038,-0.08368300149885502
11,3166,1961-12-26,10.0,recovery,True,0.05106678212753309,-0.06499408634413302
12,3249,1962-04-30,7.0,recovery,True,0.04109585911179401,-0.052303820687737826
13,3363,1962-10-08,15.0,relapse,True,0.053666113459617366,-0.06830232622133119
14,3383,1962-11-05,5.0,recovery,True,0.054664082330205824,-0.06957246842026195
15,3569,1963-08-05,79.0,relapse,True,0.06788381453965191,-0.08639758214137513
16,3598,1963-09-13,10.0,relapse,True,0.041778053778189134,-0.05317206844496798
17,3658,1963-12-09,24.0,recovery,True,0.045563405089113204,-0.057989788295234976
18,3986,1965-04-05,3.0,recovery,True,0.03897122974532736,-0.04959974694859845
19,4312,1966-07-25,85.0,relapse,True,0.04004019795774355,-0.05096025194621906
20,4583,1967-08-24,59.0,relapse,True,0.041736727114638106,-0.05311947087317576
21,4647,1967-11-28,50.0,recovery,True,0.0469772180417323,-0.05978918659856837
22,4872,1968-10-22,60.0,recovery,True,0.05210490779112497,-0.0663153371887045
23,5034,1969-06-19,62.0,recovery,True,0.05066866994419004,-0.06448739811078731
24,5066,1969-08-04,20.0,recovery,True,0.038738214465569305,-0.0493031820470882
25,5252,1970-05-08,7.0,relapse,True,0.08068320716211254,-0.10268771820632502
