market_key,market,episode_id,branch_date,event_date,event_day,event_type,cluster_id
nikkei_225,Nikkei 225,1,1952-07-25,1952-08-11,11.0,recovery,1
nikkei_225,Nikkei 225,2,1953-02-23,1953-03-04,7.0,relapse,2
nikkei_225,Nikkei 225,3,1953-04-07,1953-04-16,7.0,recovery,3
nikkei_225,Nikkei 225,4,1954-01-11,1954-03-01,34.0,relapse,4
nikkei_225,Nikkei 225,5,1954-04-08,1954-04-22,10.0,recovery,5
nikkei_225,Nikkei 225,6,1957-06-05,1957-07-22,33.0,relapse,6
nikkei_225,Nikkei 225,7,1959-12-28,1960-01-18,10.0,recovery,7
nikkei_225,Nikkei 225,8,1960-05-24,1960-06-29,26.0,recovery,8
nikkei_225,Nikkei 225,9,1961-09-21,1961-10-06,11.0,relapse,9
nikkei_225,Nikkei 225,10,1961-10-26,1962-01-11,49.0,recovery,10
nikkei_225,Nikkei 225,11,1961-12-26,1962-01-16,10.0,recovery,11
nikkei_225,Nikkei 225,12,1962-04-30,1962-05-10,7.0,recovery,12
nikkei_225,Nikkei 225,13,1962-10-08,1962-10-29,15.0,relapse,13
nikkei_225,Nikkei 225,14,1962-11-05,1962-11-12,5.0,recovery,13
nikkei_225,Nikkei 225,15,1963-08-05,1963-11-25,79.0,relapse,14
nikkei_225,Nikkei 225,16,1963-09-13,1963-09-30,10.0,relapse,15
nikkei_225,Nikkei 225,17,1963-12-09,1964-01-20,24.0,recovery,16
nikkei_225,Nikkei 225,18,1965-04-05,1965-04-08,3.0,recovery,17
nikkei_225,Nikkei 225,19,1966-07-25,1966-11-28,85.0,relapse,18
nikkei_225,Nikkei 225,20,1967-08-24,1967-11-20,59.0,relapse,19
nikkei_225,Nikkei 225,21,1967-11-28,1968-02-13,50.0,recovery,20
nikkei_225,Nikkei 225,22,1968-10-22,1969-01-22,60.0,recovery,21
nikkei_225,Nikkei 225,23,1969-06-19,1969-09-16,62.0,recovery,22
nikkei_225,Nikkei 225,24,1969-08-04,1969-09-01,20.0,recovery,23
nikkei_225,Nikkei 225,25,1970-05-08,1970-05-19,7.0,relapse,24
nikkei_225,Nikkei 225,27,1970-10-06,1970-12-04,41.0,relapse,25
nikkei_225,Nikkei 225,28,1971-08-27,1971-12-21,78.0,recovery,26
nikkei_225,Nikkei 225,29,1973-02-09,1973-02-16,5.0,recovery,27
nikkei_225,Nikkei 225,30,1973-03-12,1973-04-16,24.0,relapse,28
nikkei_225,Nikkei 225,31,1973-05-01,1973-07-12,51.0,recovery,29
nikkei_225,Nikkei 225,32,1973-10-02,1973-11-22,36.0,relapse,30
nikkei_225,Nikkei 225,33,1973-11-20,1973-12-10,13.0,relapse,31
nikkei_225,Nikkei 225,34,1974-01-04,1974-02-04,20.0,recovery,32
nikkei_225,Nikkei 225,35,1974-08-12,1974-08-22,8.0,relapse,33
nikkei_225,Nikkei 225,36,1974-09-20,1974-10-02,7.0,relapse,34
nikkei_225,Nikkei 225,37,1974-11-05,1974-11-27,16.0,recovery,35
nikkei_225,Nikkei 225,38,1975-01-14,1975-01-29,10.0,recovery,36
nikkei_225,Nikkei 225,39,1975-10-08,1975-10-27,12.0,recovery,37
nikkei_225,Nikkei 225,40,1977-12-02,1978-02-27,56.0,recovery,38
nikkei_225,Nikkei 225,41,1981-10-06,1981-11-03,20.0,recovery,39
nikkei_225,Nikkei 225,42,1981-11-11,1982-03-17,90.0,relapse,40
nikkei_225,Nikkei 225,43,1982-03-23,1982-05-04,30.0,recovery,41
nikkei_225,Nikkei 225,44,1984-05-25,1984-08-27,66.0,recovery,42
nikkei_225,Nikkei 225,45,1984-08-02,1984-08-06,2.0,recovery,43
nikkei_225,Nikkei 225,46,1986-09-23,1986-10-17,18.0,relapse,44
nikkei_225,Nikkei 225,47,1986-10-29,1986-11-12,10.0,recovery,45
nikkei_225,Nikkei 225,48,1987-07-13,1987-07-22,7.0,relapse,46
nikkei_225,Nikkei 225,49,1987-10-27,1988-04-06,107.0,recovery,47
nikkei_225,Nikkei 225,50,1988-01-14,1988-02-12,19.0,recovery,48
ftse_100,FTSE 100,1,1988-04-07,1988-06-06,40.0,recovery,49
ftse_100,FTSE 100,2,1989-10-23,1989-12-01,29.0,recovery,50
russell_2000,Russell 2000,1,1989-10-24,1990-01-22,61.0,relapse,50
russell_2000,Russell 2000,2,1990-02-06,1990-03-08,21.0,recovery,51
nikkei_225,Nikkei 225,51,1990-03-05,1990-03-19,10.0,relapse,51
nikkei_225,Nikkei 225,52,1990-04-09,1990-08-13,87.0,relapse,52
russell_2000,Russell 2000,3,1990-08-13,1990-08-21,6.0,relapse,53
nikkei_225,Nikkei 225,53,1990-08-30,1990-09-27,19.0,relapse,53
ftse_100,FTSE 100,3,1990-08-31,1990-09-20,14.0,relapse,53
ftse_100,FTSE 100,4,1990-10-01,1990-10-05,4.0,recovery,54
russell_2000,Russell 2000,4,1990-10-04,1990-10-11,5.0,relapse,54
nikkei_225,Nikkei 225,54,1990-10-09,1991-03-08,98.0,recovery,54
russell_2000,Russell 2000,5,1990-11-02,1990-11-14,8.0,recovery,55
nikkei_225,Nikkei 225,55,1990-11-22,1991-02-13,51.0,recovery,55
nikkei_225,Nikkei 225,56,1991-01-04,1991-02-18,29.0,recovery,56
nikkei_225,Nikkei 225,57,1991-06-26,1991-07-08,8.0,relapse,57
nikkei_225,Nikkei 225,58,1991-08-26,1991-09-13,14.0,recovery,58
nikkei_225,Nikkei 225,59,1991-11-26,1991-12-02,4.0,relapse,59
russell_2000,Russell 2000,6,1991-12-02,1991-12-27,18.0,recovery,59
nikkei_225,Nikkei 225,60,1991-12-27,1992-03-13,49.0,relapse,60
nikkei_225,Nikkei 225,61,1992-02-25,1992-03-27,22.0,relapse,61
russell_2000,Russell 2000,7,1992-04-15,1992-04-28,8.0,relapse,62
nikkei_225,Nikkei 225,62,1992-04-20,1992-05-13,14.0,recovery,62
