cluster_id,cluster_start,cluster_end,n_episodes,n_markets,multi_market,singleton_episode
1,1952-07-25,1952-07-25,1,1,False,True
2,1953-02-23,1953-02-23,1,1,False,True
3,1953-04-07,1953-04-07,1,1,False,True
4,1954-01-11,1954-01-11,1,1,False,True
5,1954-04-08,1954-04-08,1,1,False,True
6,1957-06-05,1957-06-05,1,1,False,True
7,1959-12-28,1959-12-28,1,1,False,True
8,1960-05-24,1960-05-24,1,1,False,True
9,1961-09-21,1961-09-21,1,1,False,True
10,1961-10-26,1961-10-26,1,1,False,True
11,1961-12-26,1961-12-26,1,1,False,True
12,1962-04-30,1962-04-30,1,1,False,True
13,1962-10-08,1962-11-05,2,1,False,False
14,1963-08-05,1963-08-05,1,1,False,True
15,1963-09-13,1963-09-13,1,1,False,True
16,1963-12-09,1963-12-09,1,1,False,True
17,1965-04-05,1965-04-05,1,1,False,True
18,1966-07-25,1966-07-25,1,1,False,True
19,1967-08-24,1967-08-24,1,1,False,True
20,1967-11-28,1967-11-28,1,1,False,True
21,1968-10-22,1968-10-22,1,1,False,True
22,1969-06-19,1969-06-19,1,1,False,True
23,1969-08-04,1969-08-04,1,1,False,True
24,1970-05-08,1970-05-08,1,1,False,True
25,1970-10-06,1970-10-06,1,1,False,True
26,1971-08-27,1971-08-27,1,1,False,True
27,1973-02-09,1973-02-09,1,1,False,True
28,1973-03-12,1973-03-12,1,1,False,True
29,1973-05-01,1973-05-01,1,1,False,True
30,1973-10-02,1973-10-02,1,1,False,True
31,1973-11-20,1973-11-20,1,1,False,True
32,1974-01-04,1974-01-04,1,1,False,True
33,1974-08-12,1974-08-12,1,1,False,True
34,1974-09-20,1974-09-20,1,1,False,True
35,1974-11-05,1974-11-05,1,1,False,True
36,1975-01-14,1975-01-14,1,1,False,True
37,1975-10-08,1975-10-08,1,1,False,True
38,1977-12-02,1977-12-02,1,1,False,True
39,1981-10-06,1981-10-06,1,1,False,True
40,1981-11-11,1981-11-11,1,1,False,True
41,1982-03-23,1982-03-23,1,1,False,True
42,1984-05-25,1984-05-25,1,1,False,True
43,1984-08-02,1984-08-02,1,1,False,True
44,1986-09-23,1986-09-23,1,1,False,True
45,1986-10-29,1986-10-29,1,1,False,True
46,1987-07-13,1987-07-13,1,1,False,True
47,1987-10-27,1987-10-27,1,1,False,True
48,1988-01-14,1988-01-14,1,1,False,True
49,1988-04-07,1988-04-07,1,1,False,True
50,1989-10-23,1989-10-24,2,2,True,False
51,1990-02-06,1990-03-05,2,2,True,False
52,1990-04-09,1990-04-09,1,1,False,True
53,1990-08-13,1990-08-31,3,3,True,False
54,1990-10-01,1990-10-09,3,3,True,False
55,1990-11-02,1990-11-22,2,2,True,False
56,1991-01-04,1991-01-04,1,1,False,True
57,1991-06-26,1991-06-26,1,1,False,True
58,1991-08-26,1991-08-26,1,1,False,True
59,1991-11-26,1991-12-02,2,2,True,False
60,1991-12-27,1991-12-27,1,1,False,True
61,1992-02-25,1992-02-25,1,1,False,True
62,1992-04-15,1992-04-20,2,2,True,False
63,1992-05-22,1992-05-22,1,1,False,True
64,1992-06-30,1992-06-30,1,1,False,True
65,1992-07-31,1992-08-17,2,2,True,False
66,1992-10-08,1992-10-12,2,2,True,False
67,1992-11-26,1992-11-26,1,1,False,True
68,1993-01-12,1993-01-12,1,1,False,True
69,1993-06-29,1993-06-29,1,1,False,True
70,1993-12-13,1993-12-13,1,1,False,True
71,1994-02-21,1994-03-07,2,2,True,False
72,1994-04-12,1994-04-12,1,1,False,True
73,1994-06-09,1994-06-09,1,1,False,True
74,1994-12-15,1994-12-15,1,1,False,True
75,1995-01-30,1995-01-30,1,1,False,True
76,1995-03-06,1995-03-06,1,1,False,True
77,1995-04-10,1995-04-10,1,1,False,True
