cluster_id,cluster_start,cluster_end,n_episodes,n_markets,markets,n_recovery,n_relapse,multi_market,singleton_episode
1,1952-07-25,1952-08-11,1,1,nikkei_225,1,0,False,True
2,1953-02-23,1953-03-04,1,1,nikkei_225,0,1,False,True
3,1953-04-07,1953-04-16,1,1,nikkei_225,1,0,False,True
4,1954-01-11,1954-03-01,1,1,nikkei_225,0,1,False,True
5,1954-04-08,1954-04-22,1,1,nikkei_225,1,0,False,True
6,1957-06-05,1957-07-22,1,1,nikkei_225,0,1,False,True
7,1959-12-28,1960-01-18,1,1,nikkei_225,1,0,False,True
8,1960-05-24,1960-06-29,1,1,nikkei_225,1,0,False,True
9,1961-09-21,1962-01-16,3,1,nikkei_225,2,1,False,False
10,1962-04-30,1962-05-10,1,1,nikkei_225,1,0,False,True
11,1962-10-08,1962-11-12,2,1,nikkei_225,1,1,False,False
12,1963-08-05,1964-01-20,3,1,nikkei_225,1,2,False,False
13,1965-04-05,1965-04-08,1,1,nikkei_225,1,0,False,True
14,1966-07-25,1966-11-28,1,1,nikkei_225,0,1,False,True
15,1967-08-24,1968-02-13,2,1,nikkei_225,1,1,False,False
16,1968-10-22,1969-01-22,1,1,nikkei_225,1,0,False,True
17,1969-06-19,1969-09-16,2,1,nikkei_225,2,0,False,False
18,1970-05-08,1970-05-19,1,1,nikkei_225,0,1,False,True
19,1970-10-06,1970-12-04,1,1,nikkei_225,0,1,False,True
20,1971-08-27,1971-12-21,1,1,nikkei_225,1,0,False,True
21,1973-02-09,1973-02-16,1,1,nikkei_225,1,0,False,True
22,1973-03-12,1973-07-12,2,1,nikkei_225,1,1,False,False
23,1973-10-02,1973-12-10,2,1,nikkei_225,0,2,False,False
24,1974-01-04,1974-02-04,1,1,nikkei_225,1,0,False,True
25,1974-08-12,1974-08-22,1,1,nikkei_225,0,1,False,True
26,1974-09-20,1974-10-02,1,1,nikkei_225,0,1,False,True
27,1974-11-05,1974-11-27,1,1,nikkei_225,1,0,False,True
28,1975-01-14,1975-01-29,1,1,nikkei_225,1,0,False,True
29,1975-10-08,1975-10-27,1,1,nikkei_225,1,0,False,True
30,1977-12-02,1978-02-27,1,1,nikkei_225,1,0,False,True
31,1981-10-06,1982-05-04,3,1,nikkei_225,2,1,False,False
32,1984-05-25,1984-08-27,2,1,nikkei_225,2,0,False,False
33,1986-09-23,1986-11-12,2,1,nikkei_225,1,1,False,False
34,1987-07-13,1987-07-22,1,1,nikkei_225,0,1,False,True
35,1987-10-27,1988-06-06,3,2,ftse_100|nikkei_225,3,0,True,False
36,1989-10-23,1990-03-19,4,3,ftse_100|nikkei_225|russell_2000,2,2,True,False
37,1990-04-09,1991-03-08,10,3,ftse_100|nikkei_225|russell_2000,5,5,True,False
38,1991-06-26,1991-07-08,1,1,nikkei_225,0,1,False,True
39,1991-08-26,1991-09-13,1,1,nikkei_225,1,0,False,True
40,1991-11-26,1992-09-17,10,3,ftse_100|nikkei_225|russell_2000,4,6,True,False
41,1992-10-08,1993-03-18,4,2,ftse_100|nikkei_225,3,1,True,False
42,1993-06-29,1993-07-29,1,1,nikkei_225,1,0,False,True
43,1993-12-13,1994-01-12,1,1,nikkei_225,1,0,False,True
44,1994-02-21,1994-06-24,4,3,ftse_100|nikkei_225|russell_2000,1,3,True,False
