series,period,n,acf_1,lag_below_1_over_e,first_zero_crossing,integrated_positive_acf_time
rv_20d,1993_2004,2942,0.9905571841874408,121,696,381.5671727644245
rv_20d,2005_2014,2517,0.9951664271522785,93,350,188.3521898715333
rv_20d,2015_2019,1258,0.988898156282238,24,61,47.42593621314668
rv_20d,2020_2024,1058,0.9946478815358836,26,161,61.67993756537291
rv_20d,full,7775,0.9936700308715823,63,450,184.0159636574922
rv_ratio_5_20,1993_2004,2942,0.7861342288773383,4,7,5.06230461401599
rv_ratio_5_20,2005_2014,2517,0.7984264221312739,4,10,5.885212113207681
rv_ratio_5_20,2015_2019,1258,0.8436633718176147,4,7,6.039350383908809
rv_ratio_5_20,2020_2024,1058,0.8272628848588913,4,7,5.691929317799019
rv_ratio_5_20,full,7775,0.807591965758752,4,8,5.528060472054246
rv_ratio_20_60,1993_2004,2942,0.9669739880326607,14,21,21.410821273381583
rv_ratio_20_60,2005_2014,2517,0.974103774477196,15,22,23.274964214851877
rv_ratio_20_60,2015_2019,1258,0.9754459796058932,14,22,21.959043246508166
rv_ratio_20_60,2020_2024,1058,0.9814551768017364,17,27,26.628065530413277
rv_ratio_20_60,full,7775,0.9733609595665105,15,22,22.821605575050576
vix_close,1993_2004,2942,0.9825575788549178,283,680,478.63980196852526
vix_close,2005_2014,2517,0.9827712014672567,130,423,288.95979002395643
vix_close,2015_2019,1258,0.9336999356129517,25,221,79.17331960464757
vix_close,2020_2024,1058,0.9646699399571868,28,169,91.0494157854137
vix_close,full,7775,0.9789684335746639,156,571,315.7279309358364
vix_rv_spread,1993_2004,2942,0.9448505981588109,15,212,49.5829595565052
vix_rv_spread,2005_2014,2517,0.9356525140875828,12,91,32.61718617777997
vix_rv_spread,2015_2019,1258,0.9505053227297292,12,63,29.807972809344122
vix_rv_spread,2020_2024,1058,0.9583367440043388,16,171,67.47345550217958
vix_rv_spread,full,7775,0.9458354222520828,14,85,34.77599874510486
spy_drawdown_20d,1993_2004,2942,0.9216981721530794,14,296,93.33547860246563
spy_drawdown_20d,2005_2014,2517,0.9397542136051391,16,124,63.81977383577706
spy_drawdown_20d,2015_2019,1258,0.9300232799272243,12,48,23.02891529201184
spy_drawdown_20d,2020_2024,1058,0.9495470435323309,14,30,22.205061918358638
spy_drawdown_20d,full,7775,0.9363489480142447,14,265,63.103944375013825
state__risk4_k2__is_0,1993_2004,2942,0.8389814446094579,23,475,138.38635419367597
state__risk4_k2__is_0,2005_2014,2517,0.8730776653029706,56,408,154.65526439781473
state__risk4_k2__is_0,2015_2019,1258,0.7542656937393419,8,24,13.518645621414022
state__risk4_k2__is_0,2020_2024,1058,0.8491839638053562,15,154,60.05955202739059
state__risk4_k2__is_0,full,7775,0.8477002169270504,24,449,115.29695735428284
state__risk4_k2__is_1,1993_2004,2942,0.8389814446094579,23,475,138.38635419367597
state__risk4_k2__is_1,2005_2014,2517,0.8730776653029706,56,408,154.65526439781473
state__risk4_k2__is_1,2015_2019,1258,0.7542656937393422,8,24,13.518645621414025
state__risk4_k2__is_1,2020_2024,1058,0.8491839638053561,15,154,60.059552027390595
state__risk4_k2__is_1,full,7775,0.8477002169270504,24,449,115.29695735428284
state__risk4_k3__is_0,1993_2004,2942,0.6487054504204067,3,10,4.616915630441522
state__risk4_k3__is_0,2005_2014,2517,0.6667250415943771,3,11,5.629738758184775
state__risk4_k3__is_0,2015_2019,1258,0.6718426810912873,3,7,4.464704600138317
state__risk4_k3__is_0,2020_2024,1058,0.667366414106017,3,11,4.9371134607723945
state__risk4_k3__is_0,full,7775,0.6610014515500728,3,11,4.860193829934913
state__risk4_k3__is_1,1993_2004,2942,0.6681127339254757,3,12,4.972452361202016
state__risk4_k3__is_1,2005_2014,2517,0.6924110605905497,4,12,6.224559120271809
state__risk4_k3__is_1,2015_2019,1258,0.6937309218777601,3,7,4.772025287744447
state__risk4_k3__is_1,2020_2024,1058,0.6996304606958405,4,11,5.428588862422842
state__risk4_k3__is_1,full,7775,0.6869599450860887,4,11,5.437864313286153
state__risk4_k3__is_2,1993_2004,2942,0.8332796214543379,22,247,75.62153420429424
state__risk4_k3__is_2,2005_2014,2517,0.8668964660417617,66,171,98.49830807253869
state__risk4_k3__is_2,2015_2019,1258,0.8071151006804371,7,20,11.087667767923802
state__risk4_k3__is_2,2020_2024,1058,0.8830195175918577,16,113,53.50677128385105
state__risk4_k3__is_2,full,7775,0.8551855796264449,27,174,71.59444424227517
state__state8_k2__is_0,1993_2004,2942,0.7439135969672013,21,498,135.0709234492424
state__state8_k2__is_0,2005_2014,2517,0.7865552334517683,47,413,146.73863313300734
state__state8_k2__is_0,2015_2019,1258,0.7231510595339821,12,45,18.783479730439357
state__state8_k2__is_0,2020_2024,1058,0.7361769805462072,14,155,53.11529641936436
state__state8_k2__is_0,full,7775,0.757221715934778,19,449,109.21474963204244
state__state8_k2__is_1,1993_2004,2942,0.7439135969672013,21,498,135.0709234492424
state__state8_k2__is_1,2005_2014,2517,0.7865552334517679,47,413,146.73863313300734
state__state8_k2__is_1,2015_2019,1258,0.7231510595339821,12,45,18.783479730439357
state__state8_k2__is_1,2020_2024,1058,0.7361769805462072,14,155,53.11529641936436
state__state8_k2__is_1,full,7775,0.757221715934778,19,449,109.21474963204244
state__vol_level_x_acceleration_grid__is_0,1993_2004,2942,0.6841467053158279,3,467,89.80542283694768
state__vol_level_x_acceleration_grid__is_0,2005_2014,2517,0.6675720603949369,3,29,7.178424465675331
state__vol_level_x_acceleration_grid__is_0,2015_2019,1258,0.7498277961270342,4,73,15.998272617877618
state__vol_level_x_acceleration_grid__is_0,2020_2024,1058,0.6965255525036912,3,48,10.71861148275185
state__vol_level_x_acceleration_grid__is_0,full,7775,0.7061270041720564,3,346,52.832915159053016
state__vol_level_x_acceleration_grid__is_1,1993_2004,2942,0.5525857099089645,3,344,65.0665354957236
