series,band_lo_days,band_hi_days,n_nonoverlap_periods_significant,significant_periods,full_sample_significant,crisis_period_only,passes_stability_screen
rv_20d,20,60,0,,False,False,False
rv_20d,60,125,0,,False,False,False
rv_20d,125,250,0,,False,False,False
rv_20d,250,500,0,,False,False,False
rv_20d,500,1000,1,2005_2014,False,False,False
rv_20d,1000,1500,1,2005_2014,True,False,False
rv_ratio_20_60,20,60,0,,False,False,False
rv_ratio_20_60,60,125,2,1993_2004;2005_2014,True,False,True
rv_ratio_20_60,125,250,2,1993_2004;2005_2014,True,False,True
rv_ratio_20_60,250,500,1,2005_2014,False,False,False
rv_ratio_20_60,500,1000,0,,False,False,False
rv_ratio_20_60,1000,1500,0,,False,False,False
rv_ratio_5_20,20,60,0,,True,False,False
rv_ratio_5_20,60,125,0,,False,False,False
rv_ratio_5_20,125,250,0,,False,False,False
rv_ratio_5_20,250,500,0,,False,False,False
rv_ratio_5_20,500,1000,0,,False,False,False
rv_ratio_5_20,1000,1500,0,,False,False,False
spy_drawdown_20d,20,60,0,,False,False,False
spy_drawdown_20d,60,125,1,2005_2014,False,False,False
spy_drawdown_20d,125,250,0,,False,False,False
spy_drawdown_20d,250,500,1,2005_2014,False,False,False
spy_drawdown_20d,500,1000,1,2005_2014,False,False,False
spy_drawdown_20d,1000,1500,1,2005_2014,False,False,False
state__risk4_k2__is_0,20,60,0,,False,False,False
state__risk4_k2__is_0,60,125,0,,False,False,False
state__risk4_k2__is_0,125,250,0,,False,False,False
state__risk4_k2__is_0,250,500,1,2005_2014,False,False,False
state__risk4_k2__is_0,500,1000,1,2005_2014,True,False,False
state__risk4_k2__is_0,1000,1500,1,2005_2014,False,False,False
state__risk4_k2__is_1,20,60,0,,False,False,False
state__risk4_k2__is_1,60,125,0,,False,False,False
state__risk4_k2__is_1,125,250,0,,False,False,False
state__risk4_k2__is_1,250,500,1,2005_2014,False,False,False
state__risk4_k2__is_1,500,1000,1,2005_2014,True,False,False
state__risk4_k2__is_1,1000,1500,1,2005_2014,False,False,False
state__risk4_k3__is_0,20,60,0,,False,False,False
state__risk4_k3__is_0,60,125,0,,False,False,False
state__risk4_k3__is_0,125,250,1,2015_2019,False,False,False
state__risk4_k3__is_0,250,500,1,2005_2014,False,False,False
state__risk4_k3__is_0,500,1000,1,2005_2014,True,False,False
state__risk4_k3__is_0,1000,1500,0,,False,False,False
state__risk4_k3__is_1,20,60,0,,False,False,False
state__risk4_k3__is_1,60,125,0,,False,False,False
state__risk4_k3__is_1,125,250,0,,False,False,False
state__risk4_k3__is_1,250,500,0,,False,False,False
state__risk4_k3__is_1,500,1000,1,2005_2014,True,False,False
state__risk4_k3__is_1,1000,1500,1,2005_2014,False,False,False
state__risk4_k3__is_2,20,60,0,,False,False,False
state__risk4_k3__is_2,60,125,1,2015_2019,False,False,False
state__risk4_k3__is_2,125,250,0,,False,False,False
state__risk4_k3__is_2,250,500,1,2005_2014,False,False,False
state__risk4_k3__is_2,500,1000,1,2005_2014,True,False,False
state__risk4_k3__is_2,1000,1500,1,2005_2014,True,False,False
state__state8_k2__is_0,20,60,0,,False,False,False
state__state8_k2__is_0,60,125,0,,False,False,False
state__state8_k2__is_0,125,250,0,,False,False,False
