series,period,n,peak_period_days,peak_power,peak_surrogate_p
rv_20d,1993_2004,2942,341.3333333333333,0.454910836381552,0.9700598802395209
rv_20d,2005_2014,2517,512.0,4.14628038708588,0.001996007984031936
rv_20d,2015_2019,1258,256.0,0.2316726819771832,0.7664670658682635
rv_20d,2020_2024,1058,512.0,0.37387631017918194,0.9840319361277445
rv_20d,full,7775,512.0,1.112305541125322,0.10978043912175649
rv_ratio_5_20,1993_2004,2942,34.13333333333333,2.22233341350055,0.5349301397205589
rv_ratio_5_20,2005_2014,2517,35.310344827586206,2.7750630751416256,0.7644710578842315
rv_ratio_5_20,2015_2019,1258,25.6,3.209673499845335,0.6726546906187625
rv_ratio_5_20,2020_2024,1058,24.38095238095238,2.0549450632392396,0.8582834331337326
rv_ratio_5_20,full,7775,35.310344827586206,2.600125103621589,0.04590818363273453
rv_ratio_20_60,1993_2004,2942,146.28571428571428,3.260488245817069,0.2654690618762475
rv_ratio_20_60,2005_2014,2517,93.0909090909091,6.566811119062362,0.0499001996007984
rv_ratio_20_60,2015_2019,1258,102.4,6.322860173360628,0.08183632734530938
rv_ratio_20_60,2020_2024,1058,85.33333333333333,3.0638207915425557,0.812375249500998
rv_ratio_20_60,full,7775,146.28571428571428,3.997046095624666,0.00998003992015968
vix_close,1993_2004,2942,204.8,2390.3327498180242,1.0
vix_close,2005_2014,2517,1024.0,27444.578564126892,0.011976047904191617
vix_close,2015_2019,1258,102.4,986.0290828817887,0.8423153692614771
vix_close,2020_2024,1058,512.0,1116.5541570404648,1.0
vix_close,full,7775,512.0,6553.9066666082945,0.592814371257485
vix_rv_spread,1993_2004,2942,341.3333333333333,4.680663152487271,0.1656686626746507
vix_rv_spread,2005_2014,2517,512.0,5.095806734676089,0.1596806387225549
vix_rv_spread,2015_2019,1258,256.0,4.844778265831308,0.5708582834331337
vix_rv_spread,2020_2024,1058,51.2,2.8120668220233678,0.9840319361277445
vix_rv_spread,full,7775,512.0,3.8050930628756823,0.22954091816367264
spy_drawdown_20d,1993_2004,2942,68.26666666666667,0.029785448796223645,0.9540918163672655
spy_drawdown_20d,2005_2014,2517,512.0,0.1781941474340325,0.003992015968063872
spy_drawdown_20d,2015_2019,1258,102.4,0.025084458560218667,0.5029940119760479
spy_drawdown_20d,2020_2024,1058,85.33333333333333,0.033026537619492514,0.9780439121756487
spy_drawdown_20d,full,7775,512.0,0.056431472346835244,0.20758483033932135
state__risk4_k2__is_0,1993_2004,2942,204.8,10.72849888486199,0.7684630738522954
state__risk4_k2__is_0,2005_2014,2517,341.3333333333333,27.76357759798673,0.013972055888223553
state__risk4_k2__is_0,2015_2019,1258,102.4,3.8270026092738245,0.1157684630738523
state__risk4_k2__is_0,2020_2024,1058,512.0,4.978222732720927,0.9820359281437125
state__risk4_k2__is_0,full,7775,512.0,13.341042640055008,0.023952095808383235
state__risk4_k2__is_1,1993_2004,2942,204.8,10.72849888486199,0.7524950099800399
state__risk4_k2__is_1,2005_2014,2517,341.3333333333333,27.76357759798673,0.011976047904191617
state__risk4_k2__is_1,2015_2019,1258,102.4,3.8270026092738245,0.10379241516966067
state__risk4_k2__is_1,2020_2024,1058,512.0,4.9782227327209325,0.9740518962075848
state__risk4_k2__is_1,full,7775,512.0,13.341042640055004,0.005988023952095809
state__risk4_k3__is_0,1993_2004,2942,34.13333333333333,4.8392784355259,0.5548902195608783
state__risk4_k3__is_0,2005_2014,2517,341.3333333333333,8.121993005849461,0.07784431137724551
state__risk4_k3__is_0,2015_2019,1258,21.333333333333332,3.8327875544272167,0.908183632734531
state__risk4_k3__is_0,2020_2024,1058,24.38095238095238,5.090242141285105,0.22554890219560877
