episode_id,branch_date,current_outcome,original_upper_barrier,original_lower_barrier,fixed_first_passage_day,fixed_first_passage_type,resolved_by_40_first_passage,fixed_unresolved_40,late_resolved_41_120,fixed_unresolved_120,closer_first_passage_day_40,closer_first_passage_type_40,threshold_resolved_40,core_stress_occupancy_days_41_120,persistent_metastable_candidate,resolved_by_40,resolved_by_60,resolved_by_80,resolved_by_120,resolved_by_180,resolved_by_252
5,2000-04-24,mixed,0.06292573547858596,-0.08008729970001847,57,recovery,False,True,True,False,,,False,0.025,False,False,True,True,True,True,True
6,2000-10-20,mixed,0.059080445975736945,-0.07519329487821065,42,relapse,False,True,True,False,39.0,relapse,True,0.8,False,False,True,True,True,True,True
8,2000-12-28,mixed,0.061589217590852174,-0.07838627693381185,49,relapse,False,True,True,False,38.0,relapse,True,0.675,False,False,True,True,True,True,True
13,2002-07-31,mixed,0.09399459250711821,-0.1196294813726959,47,relapse,False,True,True,False,,,False,0.85,False,False,True,True,True,True,True
15,2002-10-14,mixed,0.0847300161724124,-0.10783820240125212,16,recovery,True,False,False,False,15.0,recovery,False,0.6625,False,True,True,True,True,True,True
19,2008-01-25,mixed,0.04781367726828185,-0.06085377106872234,5,recovery,True,False,False,False,5.0,recovery,False,0.4875,False,True,True,True,True,True,True
22,2008-10-22,mixed,0.19040845584271537,-0.24233803470891044,93,relapse,False,True,True,False,,,False,1.0,False,False,False,False,True,True,True
23,2008-11-28,mixed,0.14864943485404475,-0.18919018981423874,62,relapse,False,True,True,False,,,False,0.7875,False,False,False,True,True,True,True
27,2010-05-27,mixed,0.0703332189922214,-0.08951500599009996,96,recovery,False,True,True,False,25.0,relapse,True,0.15,False,False,False,False,True,True,True
28,2010-07-07,mixed,0.049946291275589395,-0.06356800707802286,13,recovery,True,False,False,False,12.0,recovery,False,0.05,False,True,True,True,True,True,True
29,2011-08-15,mixed,0.09542999939189253,-0.12145636286240866,107,recovery,False,True,True,False,,,False,0.5875,False,False,False,False,True,True,True
31,2011-10-11,mixed,0.06745101108871995,-0.08584674138564356,12,recovery,True,False,False,False,12.0,recovery,False,0.15,False,True,True,True,True,True,True
33,2015-08-31,mixed,0.059527671261724674,-0.07576249069674049,41,recovery,False,True,True,False,38.0,recovery,True,0.4,False,False,True,True,True,True,True
35,2018-02-12,mixed,0.055527626656100997,-0.07067152483503762,101,recovery,False,True,True,False,9.0,recovery,True,0.075,False,False,False,False,True,True,True
36,2018-04-04,mixed,0.04689698063623622,-0.059687066264300634,44,recovery,False,True,True,False,,,False,0.0,False,False,True,True,True,True,True
39,2020-03-25,mixed,0.19927534390647336,-0.25362316497187515,39,recovery,True,False,False,False,16.0,recovery,False,0.375,False,True,True,True,True,True,True
42,2022-03-03,mixed,0.04988641989090459,-0.06349180713387856,18,recovery,True,False,False,False,16.0,recovery,False,0.925,False,True,True,True,True,True,True
46,2022-10-20,mixed,0.061266931151669736,-0.0779760941930342,6,recovery,True,False,False,False,3.0,recovery,False,0.2,False,True,True,True,True,True,True
