candidate,period,state,n_days,occupancy
state__vol_level_x_acceleration_grid,1993_2004,0,260,0.08837525492861999
state__vol_level_x_acceleration_grid,1993_2004,1,304,0.10333106730115568
state__vol_level_x_acceleration_grid,1993_2004,2,278,0.09449354180829368
state__vol_level_x_acceleration_grid,1993_2004,3,321,0.10910944935418083
state__vol_level_x_acceleration_grid,1993_2004,4,337,0.11454792658055744
state__vol_level_x_acceleration_grid,1993_2004,5,346,0.11760707002039429
state__vol_level_x_acceleration_grid,1993_2004,6,386,0.13120326308633581
state__vol_level_x_acceleration_grid,1993_2004,7,375,0.1274643099932019
state__vol_level_x_acceleration_grid,1993_2004,8,335,0.11386811692726037
state__vol_level_x_acceleration_grid,2005_2014,0,296,0.11760031783869686
state__vol_level_x_acceleration_grid,2005_2014,1,315,0.12514898688915377
state__vol_level_x_acceleration_grid,2005_2014,2,367,0.14580850218514105
state__vol_level_x_acceleration_grid,2005_2014,3,316,0.12554628526023043
state__vol_level_x_acceleration_grid,2005_2014,4,229,0.09098132697655939
state__vol_level_x_acceleration_grid,2005_2014,5,270,0.10727056019070322
state__vol_level_x_acceleration_grid,2005_2014,6,241,0.09574890742947954
state__vol_level_x_acceleration_grid,2005_2014,7,259,0.10290027810885975
state__vol_level_x_acceleration_grid,2005_2014,8,224,0.08899483512117601
state__vol_level_x_acceleration_grid,2015_2019,0,289,0.22972972972972974
state__vol_level_x_acceleration_grid,2015_2019,1,213,0.16931637519872814
state__vol_level_x_acceleration_grid,2015_2019,2,219,0.1740858505564388
state__vol_level_x_acceleration_grid,2015_2019,3,122,0.09697933227344992
state__vol_level_x_acceleration_grid,2015_2019,4,83,0.06597774244833068
state__vol_level_x_acceleration_grid,2015_2019,5,81,0.0643879173290938
state__vol_level_x_acceleration_grid,2015_2019,6,100,0.0794912559618442
state__vol_level_x_acceleration_grid,2015_2019,7,77,0.06120826709062003
state__vol_level_x_acceleration_grid,2015_2019,8,74,0.058823529411764705
state__vol_level_x_acceleration_grid,2020_2024,0,82,0.07750472589792061
state__vol_level_x_acceleration_grid,2020_2024,1,77,0.07277882797731569
state__vol_level_x_acceleration_grid,2020_2024,2,82,0.07750472589792061
state__vol_level_x_acceleration_grid,2020_2024,3,131,0.12381852551984877
state__vol_level_x_acceleration_grid,2020_2024,4,133,0.12570888468809074
state__vol_level_x_acceleration_grid,2020_2024,5,121,0.11436672967863894
state__vol_level_x_acceleration_grid,2020_2024,6,171,0.16162570888468808
state__vol_level_x_acceleration_grid,2020_2024,7,139,0.13137996219281664
state__vol_level_x_acceleration_grid,2020_2024,8,122,0.11531190926275993
state__risk4_k2,1993_2004,0,559,0.19000679809653298
state__risk4_k2,1993_2004,1,2383,0.809993201903467
state__risk4_k2,2005_2014,0,450,0.17878426698450536
state__risk4_k2,2005_2014,1,2067,0.8212157330154947
state__risk4_k2,2015_2019,0,92,0.07313195548489666
state__risk4_k2,2015_2019,1,1166,0.9268680445151033
state__risk4_k2,2020_2024,0,239,0.22589792060491493
state__risk4_k2,2020_2024,1,819,0.774102079395085
state__state8_k2,1993_2004,0,604,0.2053025152957172
state__state8_k2,1993_2004,1,2338,0.7946974847042828
state__state8_k2,2005_2014,0,465,0.18474374255065554
state__state8_k2,2005_2014,1,2052,0.8152562574493445
state__state8_k2,2015_2019,0,124,0.0985691573926868
state__state8_k2,2015_2019,1,1134,0.9014308426073132
state__state8_k2,2020_2024,0,254,0.24007561436672967
state__state8_k2,2020_2024,1,804,0.7599243856332704
state__risk4_k3,1993_2004,0,1293,0.43949694085656016
state__risk4_k3,1993_2004,1,1271,0.43201903467029235
state__risk4_k3,1993_2004,2,378,0.12848402447314752
state__risk4_k3,2005_2014,0,1051,0.4175605880015892
state__risk4_k3,2005_2014,1,1118,0.44417957886372667
state__risk4_k3,2005_2014,2,348,0.13825983313468415
state__risk4_k3,2015_2019,0,502,0.3990461049284579
state__risk4_k3,2015_2019,1,702,0.5580286168521462
state__risk4_k3,2015_2019,2,54,0.04292527821939587
state__risk4_k3,2020_2024,0,411,0.388468809073724
state__risk4_k3,2020_2024,1,448,0.42344045368620037
state__risk4_k3,2020_2024,2,199,0.1880907372400756
state__state8_k3,1993_2004,0,1691,0.5747790618626785
state__state8_k3,1993_2004,1,1156,0.3929299796057104
state__state8_k3,1993_2004,2,95,0.032290958531611146
state__state8_k3,2005_2014,0,1603,0.6368692888359158
state__state8_k3,2005_2014,1,760,0.30194676201827575
state__state8_k3,2005_2014,2,154,0.061183949145808506
state__state8_k3,2015_2019,0,997,0.7925278219395866
state__state8_k3,2015_2019,1,251,0.19952305246422894
state__state8_k3,2015_2019,2,10,0.00794912559618442
state__state8_k3,2020_2024,0,618,0.5841209829867675
state__state8_k3,2020_2024,1,390,0.3686200378071834
state__state8_k3,2020_2024,2,50,0.04725897920604915
