candidate,period,outcome,state,n,mean,median,std
state__vol_level_x_acceleration_grid,1993_2004,fwd_return_5d,0,260,0.001086011307380043,0.0014681284393911476,0.012585485895047255
state__vol_level_x_acceleration_grid,1993_2004,fwd_return_5d,1,304,0.004354062363604595,0.006136880804229916,0.013457534879833515
state__vol_level_x_acceleration_grid,1993_2004,fwd_return_5d,2,278,0.0010621674753540362,0.0020310176647114764,0.014570587054259666
state__vol_level_x_acceleration_grid,1993_2004,fwd_return_5d,3,321,0.0008429735424439524,0.001662267599312095,0.018424345577981237
state__vol_level_x_acceleration_grid,1993_2004,fwd_return_5d,4,337,0.0020002471932159273,0.002406815912965765,0.020145915286047505
state__vol_level_x_acceleration_grid,1993_2004,fwd_return_5d,5,346,-0.0007947175116424968,0.0013086054403198544,0.022518740180550792
state__vol_level_x_acceleration_grid,1993_2004,fwd_return_5d,6,386,0.0032193161413471417,0.006372891865724095,0.029126124177572744
state__vol_level_x_acceleration_grid,1993_2004,fwd_return_5d,7,375,0.0042041702867521525,0.003662896753009681,0.03011958179780639
state__vol_level_x_acceleration_grid,1993_2004,fwd_return_5d,8,335,0.004215895350897349,0.006975922416110558,0.033973885664029035
state__vol_level_x_acceleration_grid,1993_2004,fwd_return_10d,0,260,0.003102578050050961,0.004952025546819172,0.016308300544127692
state__vol_level_x_acceleration_grid,1993_2004,fwd_return_10d,1,304,0.00541698701664334,0.006723133714433671,0.020564814090490848
state__vol_level_x_acceleration_grid,1993_2004,fwd_return_10d,2,278,0.004067891997801589,0.004003737728944912,0.01899071562491385
state__vol_level_x_acceleration_grid,1993_2004,fwd_return_10d,3,321,0.0031485324335074998,0.00517534946310394,0.025482626811314784
state__vol_level_x_acceleration_grid,1993_2004,fwd_return_10d,4,337,0.0027488232181144896,0.002820034556159534,0.026852182563034704
state__vol_level_x_acceleration_grid,1993_2004,fwd_return_10d,5,346,-0.0006238440117085858,0.00011686256728360433,0.030208351890737672
state__vol_level_x_acceleration_grid,1993_2004,fwd_return_10d,6,386,0.004599411294407771,0.008707656357307081,0.03755631895435239
state__vol_level_x_acceleration_grid,1993_2004,fwd_return_10d,7,375,0.008078841443001368,0.009732651261573189,0.0414349526920654
state__vol_level_x_acceleration_grid,1993_2004,fwd_return_10d,8,335,0.009658959538683013,0.011151992747659767,0.04241509561883733
state__vol_level_x_acceleration_grid,1993_2004,fwd_return_20d,0,260,0.0026949528110586495,0.0048317264774149216,0.028367602473740955
state__vol_level_x_acceleration_grid,1993_2004,fwd_return_20d,1,304,0.011686450541585078,0.014633470038372232,0.02939134285284456
state__vol_level_x_acceleration_grid,1993_2004,fwd_return_20d,2,278,0.009877987514483301,0.00845664396185497,0.024539280371176905
state__vol_level_x_acceleration_grid,1993_2004,fwd_return_20d,3,321,0.006206038290108406,0.013485702633012409,0.03633285023268194
state__vol_level_x_acceleration_grid,1993_2004,fwd_return_20d,4,337,0.004582824376979229,0.008223431584844176,0.040619259554038244
state__vol_level_x_acceleration_grid,1993_2004,fwd_return_20d,5,346,0.005025531523199246,0.01182504607704471,0.04229960451671585
state__vol_level_x_acceleration_grid,1993_2004,fwd_return_20d,6,386,0.005403838123535689,0.010340456621156124,0.05375030656037616
state__vol_level_x_acceleration_grid,1993_2004,fwd_return_20d,7,375,0.017582625320395038,0.020278609189147145,0.05222329694530462
state__vol_level_x_acceleration_grid,1993_2004,fwd_return_20d,8,335,0.0166254031716942,0.021678342209877854,0.059495677381702
state__vol_level_x_acceleration_grid,1993_2004,fwd_max_drawdown_20d,0,260,-0.017527597857392246,-0.011084492297317006,0.020184566350955415
state__vol_level_x_acceleration_grid,1993_2004,fwd_max_drawdown_20d,1,304,-0.01367133859003306,-0.00829122778084107,0.01906393646222845
state__vol_level_x_acceleration_grid,1993_2004,fwd_max_drawdown_20d,2,278,-0.01414954905097283,-0.00988408394320367,0.01706452154585221
state__vol_level_x_acceleration_grid,1993_2004,fwd_max_drawdown_20d,3,321,-0.023202180662805938,-0.016089871455459592,0.027728463745928744
state__vol_level_x_acceleration_grid,1993_2004,fwd_max_drawdown_20d,4,337,-0.02672846862565977,-0.019543020452248205,0.029601408323192843
state__vol_level_x_acceleration_grid,1993_2004,fwd_max_drawdown_20d,5,346,-0.030125588140211736,-0.021705781546857206,0.03476328784361032
state__vol_level_x_acceleration_grid,1993_2004,fwd_max_drawdown_20d,6,386,-0.03293761307159352,-0.022737530590203503,0.036294573168491315
state__vol_level_x_acceleration_grid,1993_2004,fwd_max_drawdown_20d,7,375,-0.03295546696235177,-0.0280763654619417,0.03656185099285889
state__vol_level_x_acceleration_grid,1993_2004,fwd_max_drawdown_20d,8,335,-0.03589475427604215,-0.02737191781450443,0.04239426315723389
state__vol_level_x_acceleration_grid,1993_2004,fwd_max_upside_20d,0,260,0.020108415683484666,0.018253719921134337,0.013745974336891833
state__vol_level_x_acceleration_grid,1993_2004,fwd_max_upside_20d,1,304,0.025016982470936113,0.021800312500541708,0.018649076304254844
state__vol_level_x_acceleration_grid,1993_2004,fwd_max_upside_20d,2,278,0.02096342205438482,0.02009166638660209,0.016588707159771114
state__vol_level_x_acceleration_grid,1993_2004,fwd_max_upside_20d,3,321,0.02548059221254446,0.024178200627175572,0.0208907345559078
state__vol_level_x_acceleration_grid,1993_2004,fwd_max_upside_20d,4,337,0.027975553980390564,0.023803790226739396,0.023155490220840576
state__vol_level_x_acceleration_grid,1993_2004,fwd_max_upside_20d,5,346,0.02676544315319823,0.02302825146656462,0.023164481994621313
state__vol_level_x_acceleration_grid,1993_2004,fwd_max_upside_20d,6,386,0.03683541930450287,0.03445968175378378,0.03178474266520799
state__vol_level_x_acceleration_grid,1993_2004,fwd_max_upside_20d,7,375,0.045932391309502954,0.04104743298752367,0.0351771370145098
state__vol_level_x_acceleration_grid,1993_2004,fwd_max_upside_20d,8,335,0.04699338250628949,0.0415273672677825,0.03755989948371693
state__vol_level_x_acceleration_grid,1993_2004,future_rv_20d,0,260,0.10366644485234884,0.09953801796145426,0.04018481627520209
state__vol_level_x_acceleration_grid,1993_2004,future_rv_20d,1,304,0.10147673051334623,0.0952993455800244,0.031792350579785564
state__vol_level_x_acceleration_grid,1993_2004,future_rv_20d,2,278,0.1016663786592762,0.09477653643470645,0.03223463951606577
state__vol_level_x_acceleration_grid,1993_2004,future_rv_20d,3,321,0.13971831619201336,0.1204743403762789,0.05830387828513109
state__vol_level_x_acceleration_grid,1993_2004,future_rv_20d,4,337,0.15507983103431425,0.1445817429870255,0.06178541996235416
state__vol_level_x_acceleration_grid,1993_2004,future_rv_20d,5,346,0.1622276826049269,0.1516420238565179,0.06547206522776032
state__vol_level_x_acceleration_grid,1993_2004,future_rv_20d,6,386,0.20061333937839065,0.19311423168966035,0.06388221295355145
state__vol_level_x_acceleration_grid,1993_2004,future_rv_20d,7,375,0.21991193048164398,0.2119711819517915,0.0731865016583946
state__vol_level_x_acceleration_grid,1993_2004,future_rv_20d,8,335,0.23421441390079697,0.2143332346642746,0.07962087953035497
state__vol_level_x_acceleration_grid,2005_2014,fwd_return_5d,0,296,0.0007925491414112177,0.0018661683047214161,0.013626837807182778
state__vol_level_x_acceleration_grid,2005_2014,fwd_return_5d,1,315,0.00012473068710530216,0.0012025552082164381,0.013768213483289304
state__vol_level_x_acceleration_grid,2005_2014,fwd_return_5d,2,367,0.003550409783153749,0.003765764276767447,0.014547218368158261
state__vol_level_x_acceleration_grid,2005_2014,fwd_return_5d,3,316,0.003951456301756257,0.006669109043899835,0.016903502982732087
state__vol_level_x_acceleration_grid,2005_2014,fwd_return_5d,4,229,-0.0007069380305339039,0.0019521602660605986,0.021426368874222793
state__vol_level_x_acceleration_grid,2005_2014,fwd_return_5d,5,270,0.0012130324906688594,0.004413042083139862,0.023940521480125168
state__vol_level_x_acceleration_grid,2005_2014,fwd_return_5d,6,241,0.0022969915984952845,0.00388414000231041,0.03483676993064287
state__vol_level_x_acceleration_grid,2005_2014,fwd_return_5d,7,259,0.00249410846233249,0.004483169478951332,0.038294738570288964
state__vol_level_x_acceleration_grid,2005_2014,fwd_return_5d,8,224,0.0014028383825940686,0.0034815390443752037,0.041679142349699244
state__vol_level_x_acceleration_grid,2005_2014,fwd_return_10d,0,296,0.002583328808163547,0.003982120392870492,0.017029040922888653
state__vol_level_x_acceleration_grid,2005_2014,fwd_return_10d,1,315,-0.0007192385120396222,0.0025928249139288706,0.01947960251465247
state__vol_level_x_acceleration_grid,2005_2014,fwd_return_10d,2,367,0.005609023798392092,0.009283313803090998,0.020465239856634808
state__vol_level_x_acceleration_grid,2005_2014,fwd_return_10d,3,316,0.008796785156738863,0.012353555027071028,0.022044669209200035
state__vol_level_x_acceleration_grid,2005_2014,fwd_return_10d,4,229,0.0015057956213768112,0.007207895976149681,0.03109232193496988
state__vol_level_x_acceleration_grid,2005_2014,fwd_return_10d,5,270,0.00486714472830116,0.009980040916101829,0.02897364734264124
state__vol_level_x_acceleration_grid,2005_2014,fwd_return_10d,6,241,-0.0017009221562368643,0.007172488383841991,0.04721054688034802
state__vol_level_x_acceleration_grid,2005_2014,fwd_return_10d,7,259,0.005067755821597893,0.011165932473261142,0.05013213124560449
state__vol_level_x_acceleration_grid,2005_2014,fwd_return_10d,8,224,0.003988064015365498,0.011380001747079094,0.05427220356034534
state__vol_level_x_acceleration_grid,2005_2014,fwd_return_20d,0,296,0.0047943493311527665,0.009198085526277766,0.023006025482920123
state__vol_level_x_acceleration_grid,2005_2014,fwd_return_20d,1,315,0.0009302373561063859,0.006182489080741149,0.02769874428951175
state__vol_level_x_acceleration_grid,2005_2014,fwd_return_20d,2,367,0.006775986205943353,0.011836317442825317,0.028027984202428274
state__vol_level_x_acceleration_grid,2005_2014,fwd_return_20d,3,316,0.01574973683575207,0.022746432329226796,0.031200564038373447
state__vol_level_x_acceleration_grid,2005_2014,fwd_return_20d,4,229,0.0018426103384884922,0.01496875083651883,0.046652146787871544
state__vol_level_x_acceleration_grid,2005_2014,fwd_return_20d,5,270,0.01634292754503447,0.021165421066134504,0.03748566170778966
state__vol_level_x_acceleration_grid,2005_2014,fwd_return_20d,6,241,-0.0016073187839759965,0.006146434652601895,0.061674298169689286
state__vol_level_x_acceleration_grid,2005_2014,fwd_return_20d,7,259,0.011929414537425811,0.021948772758808133,0.06033614171461976
state__vol_level_x_acceleration_grid,2005_2014,fwd_return_20d,8,224,0.004249053228179476,0.018741505437852246,0.08300551966814927
state__vol_level_x_acceleration_grid,2005_2014,fwd_max_drawdown_20d,0,296,-0.017900359967822813,-0.014312224365675807,0.017256009050780303
state__vol_level_x_acceleration_grid,2005_2014,fwd_max_drawdown_20d,1,315,-0.019936449803318414,-0.014640047853709537,0.020611781008876146
state__vol_level_x_acceleration_grid,2005_2014,fwd_max_drawdown_20d,2,367,-0.0178441667861996,-0.012371721499916943,0.020892451618672838
state__vol_level_x_acceleration_grid,2005_2014,fwd_max_drawdown_20d,3,316,-0.014410621166587182,-0.007440456495649117,0.02412873743008124
state__vol_level_x_acceleration_grid,2005_2014,fwd_max_drawdown_20d,4,229,-0.029193827477783298,-0.023035399592793437,0.03861792532127101
state__vol_level_x_acceleration_grid,2005_2014,fwd_max_drawdown_20d,5,270,-0.02397633391158533,-0.01839575298217566,0.02740657275700558
state__vol_level_x_acceleration_grid,2005_2014,fwd_max_drawdown_20d,6,241,-0.04412609000174205,-0.02843160357425889,0.05313862867540081
state__vol_level_x_acceleration_grid,2005_2014,fwd_max_drawdown_20d,7,259,-0.04252208835815721,-0.02626112490710375,0.05443531381175176
state__vol_level_x_acceleration_grid,2005_2014,fwd_max_drawdown_20d,8,224,-0.04936761677027636,-0.02939414566749282,0.06965425529315772
state__vol_level_x_acceleration_grid,2005_2014,fwd_max_upside_20d,0,296,0.018793213286945755,0.017086365618172783,0.01332511151967233
state__vol_level_x_acceleration_grid,2005_2014,fwd_max_upside_20d,1,315,0.01773494440386312,0.01630119345594383,0.013473025110788503
state__vol_level_x_acceleration_grid,2005_2014,fwd_max_upside_20d,2,367,0.022726225858006724,0.02152510119498774,0.015104999481273706
state__vol_level_x_acceleration_grid,2005_2014,fwd_max_upside_20d,3,316,0.02893096836988639,0.02799717048547634,0.01610385432050453
state__vol_level_x_acceleration_grid,2005_2014,fwd_max_upside_20d,4,229,0.02744436146015128,0.028074772224056854,0.02052165064443187
state__vol_level_x_acceleration_grid,2005_2014,fwd_max_upside_20d,5,270,0.03128526952999058,0.030488220188846227,0.02279599818016511
state__vol_level_x_acceleration_grid,2005_2014,fwd_max_upside_20d,6,241,0.03730464878119308,0.03579322036907184,0.034343560642854515
state__vol_level_x_acceleration_grid,2005_2014,fwd_max_upside_20d,7,259,0.043917498380148724,0.04012428340953589,0.0371468725593115
state__vol_level_x_acceleration_grid,2005_2014,fwd_max_upside_20d,8,224,0.04848623618002401,0.03995356040070985,0.04278540491837556
state__vol_level_x_acceleration_grid,2005_2014,future_rv_20d,0,296,0.108310802168053,0.1020938931535979,0.03320203533383325
state__vol_level_x_acceleration_grid,2005_2014,future_rv_20d,1,315,0.11126524564889952,0.1011317843939128,0.039745571347016784
state__vol_level_x_acceleration_grid,2005_2014,future_rv_20d,2,367,0.11570410402065788,0.1064882366046536,0.04050402584227627
state__vol_level_x_acceleration_grid,2005_2014,future_rv_20d,3,316,0.11758291474577089,0.09849248807092745,0.05171868115179633
state__vol_level_x_acceleration_grid,2005_2014,future_rv_20d,4,229,0.1515742126378686,0.136372707607581,0.08390080743319964
state__vol_level_x_acceleration_grid,2005_2014,future_rv_20d,5,270,0.14933253823522444,0.1386165607419338,0.0651265460661231
state__vol_level_x_acceleration_grid,2005_2014,future_rv_20d,6,241,0.23741974117104508,0.2068005032087782,0.14156957776807164
state__vol_level_x_acceleration_grid,2005_2014,future_rv_20d,7,259,0.26101523865279536,0.2108293407916676,0.15762796333623674
state__vol_level_x_acceleration_grid,2005_2014,future_rv_20d,8,224,0.3012778609016903,0.23350242063115634,0.19644121755285726
state__vol_level_x_acceleration_grid,2015_2019,fwd_return_5d,0,289,-0.0007507660580035012,0.0009274224544051357,0.0141122115274555
state__vol_level_x_acceleration_grid,2015_2019,fwd_return_5d,1,213,0.002640839489744993,0.004585739286683488,0.014814209302838718
state__vol_level_x_acceleration_grid,2015_2019,fwd_return_5d,2,219,0.002814836446616357,0.005182011525958652,0.014794102422936651
state__vol_level_x_acceleration_grid,2015_2019,fwd_return_5d,3,122,0.0032523467934039416,0.00591503584739661,0.0156219696729734
state__vol_level_x_acceleration_grid,2015_2019,fwd_return_5d,4,83,0.0024018069699891778,0.004411306734224851,0.01772184615660125
state__vol_level_x_acceleration_grid,2015_2019,fwd_return_5d,5,81,0.006497768042403127,0.00961765338925602,0.0169128437320706
state__vol_level_x_acceleration_grid,2015_2019,fwd_return_5d,6,100,0.001214433603028512,0.005637500261495343,0.024036632260427314
state__vol_level_x_acceleration_grid,2015_2019,fwd_return_5d,7,77,0.004916925342807946,0.00952209307548002,0.026687894968291936
state__vol_level_x_acceleration_grid,2015_2019,fwd_return_5d,8,74,0.005972396931718447,0.011368730070830502,0.025680793485296328
state__vol_level_x_acceleration_grid,2015_2019,fwd_return_10d,0,289,0.002433479368114162,0.005103313986338565,0.017053683497442053
state__vol_level_x_acceleration_grid,2015_2019,fwd_return_10d,1,213,0.0030797672157115664,0.004156071479542556,0.01983445835140999
state__vol_level_x_acceleration_grid,2015_2019,fwd_return_10d,2,219,0.004793456572165168,0.008162651525066789,0.022815747065939255
state__vol_level_x_acceleration_grid,2015_2019,fwd_return_10d,3,122,0.005222484135668697,0.007472374608676335,0.020822346659947047
state__vol_level_x_acceleration_grid,2015_2019,fwd_return_10d,4,83,0.00631882342464751,0.009889590702947038,0.024558855289028632
state__vol_level_x_acceleration_grid,2015_2019,fwd_return_10d,5,81,0.005272350829858227,0.005130542186160492,0.025385209493632932
state__vol_level_x_acceleration_grid,2015_2019,fwd_return_10d,6,100,0.00446732201264973,0.008359222307940506,0.030255664863510008
state__vol_level_x_acceleration_grid,2015_2019,fwd_return_10d,7,77,0.01105293321905382,0.018733498933967585,0.029956528162673794
state__vol_level_x_acceleration_grid,2015_2019,fwd_return_10d,8,74,0.011007303749252236,0.016799157281081833,0.0402003355711865
state__vol_level_x_acceleration_grid,2015_2019,fwd_return_20d,0,289,0.007947429742891983,0.011445523027285631,0.02458558822863164
state__vol_level_x_acceleration_grid,2015_2019,fwd_return_20d,1,213,0.007566128208242745,0.01247179340234239,0.026258220583565563
state__vol_level_x_acceleration_grid,2015_2019,fwd_return_20d,2,219,0.009734833312147802,0.015177194762632906,0.028224776388996436
state__vol_level_x_acceleration_grid,2015_2019,fwd_return_20d,3,122,0.007761863272825518,0.007384097684637214,0.025861009441177377
state__vol_level_x_acceleration_grid,2015_2019,fwd_return_20d,4,83,0.010645629496724105,0.02062848963354491,0.033360740079053146
state__vol_level_x_acceleration_grid,2015_2019,fwd_return_20d,5,81,0.006880812242157121,0.01234951247235161,0.037937675474311434
state__vol_level_x_acceleration_grid,2015_2019,fwd_return_20d,6,100,0.010507959511010254,0.012955741393179898,0.03975785304427409
state__vol_level_x_acceleration_grid,2015_2019,fwd_return_20d,7,77,0.02007988736735346,0.031097931002896706,0.04823621224356561
state__vol_level_x_acceleration_grid,2015_2019,fwd_return_20d,8,74,0.01670967676294509,0.024139562683556215,0.04666167649045351
state__vol_level_x_acceleration_grid,2015_2019,fwd_max_drawdown_20d,0,289,-0.015996867185857015,-0.010678846448414658,0.021434773421420954
state__vol_level_x_acceleration_grid,2015_2019,fwd_max_drawdown_20d,1,213,-0.0157838685836598,-0.009884547984163494,0.02130826524178491
state__vol_level_x_acceleration_grid,2015_2019,fwd_max_drawdown_20d,2,219,-0.016685343142845647,-0.006145798350419285,0.02724952983670111
state__vol_level_x_acceleration_grid,2015_2019,fwd_max_drawdown_20d,3,122,-0.01640372689468044,-0.010982656168139704,0.020311875503962677
state__vol_level_x_acceleration_grid,2015_2019,fwd_max_drawdown_20d,4,83,-0.02078889532393888,-0.013580981951036408,0.026851774050107937
state__vol_level_x_acceleration_grid,2015_2019,fwd_max_drawdown_20d,5,81,-0.023712860508642967,-0.015524723114233696,0.029406904883065996
state__vol_level_x_acceleration_grid,2015_2019,fwd_max_drawdown_20d,6,100,-0.02526886162426262,-0.019665101814922314,0.03050631919353875
state__vol_level_x_acceleration_grid,2015_2019,fwd_max_drawdown_20d,7,77,-0.027372914620543008,-0.017913267766530794,0.03590860605056459
state__vol_level_x_acceleration_grid,2015_2019,fwd_max_drawdown_20d,8,74,-0.02836802647684422,-0.01982397659863916,0.04004708118291584
state__vol_level_x_acceleration_grid,2015_2019,fwd_max_upside_20d,0,289,0.01844883101011315,0.017554336309841823,0.013945494940920377
state__vol_level_x_acceleration_grid,2015_2019,fwd_max_upside_20d,1,213,0.020626056411980072,0.018666694894668545,0.015234507823355144
state__vol_level_x_acceleration_grid,2015_2019,fwd_max_upside_20d,2,219,0.022366711061717837,0.021551542703203364,0.01569133349600703
state__vol_level_x_acceleration_grid,2015_2019,fwd_max_upside_20d,3,122,0.020183009922658427,0.020285352043080906,0.017124928352992515
state__vol_level_x_acceleration_grid,2015_2019,fwd_max_upside_20d,4,83,0.02457024863763031,0.02493412273562101,0.018489035685734716
state__vol_level_x_acceleration_grid,2015_2019,fwd_max_upside_20d,5,81,0.026193254287056166,0.02408863154484364,0.0189631771819127
state__vol_level_x_acceleration_grid,2015_2019,fwd_max_upside_20d,6,100,0.030401151937513565,0.02728478392691336,0.02215597323444345
state__vol_level_x_acceleration_grid,2015_2019,fwd_max_upside_20d,7,77,0.04134208290085028,0.039387409290160935,0.02448755021682391
state__vol_level_x_acceleration_grid,2015_2019,fwd_max_upside_20d,8,74,0.040922930192597864,0.03953909859335736,0.0295578828078816
state__vol_level_x_acceleration_grid,2015_2019,future_rv_20d,0,289,0.09697515327640463,0.0840073838595419,0.048231911764368564
state__vol_level_x_acceleration_grid,2015_2019,future_rv_20d,1,213,0.1037829979637007,0.0871782147551351,0.050946554571780774
state__vol_level_x_acceleration_grid,2015_2019,future_rv_20d,2,219,0.10545530886246733,0.0801007027383901,0.06322260135118572
state__vol_level_x_acceleration_grid,2015_2019,future_rv_20d,3,122,0.11100197839116974,0.10196061687370869,0.04377830333992373
state__vol_level_x_acceleration_grid,2015_2019,future_rv_20d,4,83,0.1256221042603069,0.1089873539371416,0.05090515942229456
state__vol_level_x_acceleration_grid,2015_2019,future_rv_20d,5,81,0.1428767046334102,0.1204721970146835,0.060027678271460216
state__vol_level_x_acceleration_grid,2015_2019,future_rv_20d,6,100,0.1442230256566613,0.12831711055669395,0.05885467705537769
state__vol_level_x_acceleration_grid,2015_2019,future_rv_20d,7,77,0.16757213175221092,0.1646167776127446,0.05763922344292961
state__vol_level_x_acceleration_grid,2015_2019,future_rv_20d,8,74,0.19399775090739987,0.19087566401824535,0.05406499544367821
state__vol_level_x_acceleration_grid,2020_2024,fwd_return_5d,0,82,0.005108858359235343,0.006219459290251472,0.015514202479059627
state__vol_level_x_acceleration_grid,2020_2024,fwd_return_5d,1,77,-0.0006817523497049174,0.000681219480567874,0.01583155455509738
state__vol_level_x_acceleration_grid,2020_2024,fwd_return_5d,2,82,0.003792442451834811,0.006461885399523193,0.01607416296111048
state__vol_level_x_acceleration_grid,2020_2024,fwd_return_5d,3,129,-0.0009319315745624454,0.003670883721918816,0.024666630018849774
state__vol_level_x_acceleration_grid,2020_2024,fwd_return_5d,4,130,0.0021537618109488013,0.005255566626274688,0.02202555245731782
state__vol_level_x_acceleration_grid,2020_2024,fwd_return_5d,5,121,0.007004550868784086,0.009845398893214785,0.021268887516401647
state__vol_level_x_acceleration_grid,2020_2024,fwd_return_5d,6,171,0.006860378996532655,0.006764320041135585,0.03282424398004775
state__vol_level_x_acceleration_grid,2020_2024,fwd_return_5d,7,139,0.0070674984396478955,0.011638443729855341,0.03029696332402017
state__vol_level_x_acceleration_grid,2020_2024,fwd_return_5d,8,122,-0.006376636636821207,0.0005441748927000889,0.04662963706251498
state__vol_level_x_acceleration_grid,2020_2024,fwd_return_10d,0,82,0.00816956097311384,0.008905835933531003,0.02053774693061314
state__vol_level_x_acceleration_grid,2020_2024,fwd_return_10d,1,77,0.0013747227657415055,0.002943144883359672,0.019120683348385414
state__vol_level_x_acceleration_grid,2020_2024,fwd_return_10d,2,82,0.006420395221702679,0.010059886947620056,0.022927225848118175
