candidate,state,n_days,occupancy,self_transition_probability,median_run_length,p90_run_length,n_runs
state__vol_level_x_acceleration_grid,0,927,0.11922829581993569,0.7411003236245954,3.0,8.0,240
state__vol_level_x_acceleration_grid,1,909,0.11691318327974276,0.5874587458745875,2.0,5.0,375
state__vol_level_x_acceleration_grid,2,946,0.12167202572347267,0.7177589852008457,3.0,6.0,267
state__vol_level_x_acceleration_grid,3,890,0.11446945337620579,0.7280898876404495,2.0,8.0,242
state__vol_level_x_acceleration_grid,4,782,0.10057877813504823,0.5843989769820972,2.0,5.0,325
state__vol_level_x_acceleration_grid,5,818,0.10520900321543408,0.7246022031823746,3.0,7.0,226
state__vol_level_x_acceleration_grid,6,898,0.1154983922829582,0.7605790645879733,3.0,9.0,215
state__vol_level_x_acceleration_grid,7,850,0.10932475884244373,0.62,2.0,5.0,323
state__vol_level_x_acceleration_grid,8,755,0.09710610932475884,0.704635761589404,2.0,6.800000000000011,223
state__risk4_k2,0,1340,0.17234726688102894,0.8738805970149254,3.0,19.0,169
state__risk4_k2,1,6435,0.827652733118971,0.9737332918868511,5.0,92.19999999999999,170
state__state8_k2,0,1447,0.18610932475884245,0.8023496890117484,1.0,11.0,286
state__state8_k2,1,6328,0.8138906752411575,0.9547969021653232,3.0,57.400000000000034,287
state__risk4_k3,0,3257,0.41890675241157554,0.8031326781326781,5.0,10.0,642
state__risk4_k3,1,3539,0.4551768488745981,0.8293303192992371,4.0,14.0,604
state__risk4_k3,2,979,0.12591639871382637,0.8733401430030644,2.0,18.700000000000003,124
state__state8_k3,0,4909,0.6313826366559485,0.9127954360228199,2.0,38.19999999999999,429
state__state8_k3,1,2557,0.32887459807073954,0.8068048494329292,2.0,14.0,494
state__state8_k3,2,309,0.0397427652733119,0.7831715210355987,1.0,10.399999999999999,67
state__risk4_k4,0,3053,0.39266881028938905,0.813953488372093,4.0,13.0,568
state__risk4_k4,1,230,0.029581993569131833,0.8391304347826087,2.0,16.999999999999993,37
state__risk4_k4,2,2788,0.35858520900321544,0.7954790096878364,4.0,10.0,571
state__risk4_k4,3,1704,0.21916398713826366,0.8585680751173709,3.0,19.0,241
state__state8_k4,0,2500,0.3215434083601286,0.5536,1.0,5.0,1116
state__state8_k4,1,2977,0.38289389067524116,0.6952284946236559,2.0,8.0,908
state__state8_k4,2,285,0.036655948553054665,0.8,1.0,11.399999999999999,57
state__state8_k4,3,2013,0.25890675241157557,0.7302533532041728,1.0,9.0,543
state__risk4_k5,0,736,0.09466237942122187,0.7948369565217391,2.0,13.0,151
state__risk4_k5,1,2802,0.36038585209003215,0.8279800142755175,4.0,15.0,482
state__risk4_k5,2,2537,0.3263022508038585,0.7850946372239748,4.0,9.0,546
state__risk4_k5,3,89,0.011446945337620579,0.9438202247191011,6.0,42.400000000000006,5
state__risk4_k5,4,1611,0.20720257234726688,0.8237119801365611,3.0,16.0,284
state__state8_k5,0,2329,0.2995498392282958,0.6052405498281787,2.0,5.0,920
state__state8_k5,1,2598,0.33414790996784566,0.7205542725173211,2.0,8.0,726
state__state8_k5,2,1574,0.20244372990353698,0.6842439644218552,2.0,7.0,497
state__state8_k5,3,1023,0.13157556270096463,0.24144672531769307,1.0,2.0,776
state__state8_k5,4,251,0.03228295819935691,0.8007968127490039,2.0,10.0,50
