fold,variant,standardize_target,best_epoch,epochs_ran,best_val_mse,final_train_mse,target_mean,target_std,pca_explained_variance_sum
1,early_stop,False,1,7,0.05835285536837313,0.059412006883662875,0.0,1.0,0.8093360626188744
1,early_stop_standardized,True,1,7,0.05832156588004413,0.44915212596978954,0.007179803196927507,0.3515326754285752,0.8093360626188744
2,early_stop,False,1,7,0.14254221587583274,0.043738345098590065,0.0,1.0,0.7840368435301945
2,early_stop_standardized,True,1,7,0.14341092284371285,0.3684979601358968,-0.0018640675911623383,0.3312158471353142,0.7840368435301945
3,early_stop,False,3,9,0.14573999613650188,0.053488199366524526,0.0,1.0,0.8042703857742869
3,early_stop_standardized,True,3,9,0.1419689397615236,0.3975369728475775,0.0017544109973971914,0.35026205933487287,0.8042703857742869
4,early_stop,False,1,7,0.14620474480274537,0.06593771603403052,0.0,1.0,0.8051617451945929
4,early_stop_standardized,True,1,7,0.14738597946487805,0.47142286435634895,-0.001444138297390613,0.3597520482267934,0.8051617451945929
5,early_stop,False,1,7,0.32955941574918207,0.07015732511265604,0.0,1.0,0.804229871977535
5,early_stop_standardized,True,1,7,0.32862927897858873,0.46060278695952855,0.002523403110934317,0.3835360752801221,0.804229871977535
