fold,split,model,variant,n_predictions,innovation_rmse,innovation_r2,reconstructed_rmse,reconstructed_qlike,reconstructed_mz_alpha,reconstructed_mz_beta,reconstructed_mz_r2
1,val,lstm,early_stop,465,0.2521262466062961,-0.15188148554464065,0.0304953645666068,-3.285279441969585,0.05582980380833963,0.4333867719315565,0.21659062315236322
1,test,lstm,early_stop,903,0.34539141444042115,0.17423851155012626,0.10389332224941161,-2.3855379346207584,-0.005688428045298415,1.1094207430704417,0.6468931929044831
1,val,lstm,early_stop_standardized,465,0.2539902344133722,-0.1689763329183256,0.030663293464997028,-3.283569127903405,0.0578271112698501,0.41878181622470034,0.20124865340063758
1,test,lstm,early_stop_standardized,903,0.34442898643811076,0.17883404396107716,0.101791763644502,-2.389337712916133,8.100519966102022e-06,1.0736981597956048,0.6574918489861946
2,val,lstm,early_stop,465,0.3744915848944282,0.23698304037621987,0.1349674122164841,-1.6715622677689652,-0.0011706393048348893,1.1998980158356067,0.5963772864015422
2,test,lstm,early_stop,903,0.3515443919216435,0.24582584217396264,0.06403600733977906,-2.4197863591847493,0.04672892230235871,0.7517112534766871,0.3142903798323974
2,val,lstm,early_stop_standardized,465,0.3779669490494477,0.22275539754250873,0.1342308845391951,-1.646039053725527,-0.007965804887005512,1.2287936632819618,0.6049538305027495
2,test,lstm,early_stop_standardized,903,0.3523896536923013,0.24219477322058192,0.06509737147691641,-2.3880766912760034,0.05235737424770803,0.7344453663935177,0.3091381477770977
3,val,lstm,early_stop,465,0.37226320125814677,0.22464217023954813,0.0722576917506289,-2.4485581210854215,0.020589709907767848,0.9326302557549103,0.37708208706204105
3,test,lstm,early_stop,903,0.4179763523394962,0.2575757470020328,0.05546504628915136,-2.8691250508665926,0.08741014735837471,0.2927660660819669,0.0717684564134391
3,val,lstm,early_stop_standardized,465,0.38186462857635145,0.18413025940585592,0.07407571904675724,-2.403147906450552,0.04327955998943438,0.8099328741064473,0.3764099481070149
3,test,lstm,early_stop_standardized,903,0.3991450685544357,0.32296633632424654,0.05207853355832983,-2.8657679856230294,0.07889346260478657,0.3747115785956395,0.0976965888565442
4,val,lstm,early_stop,465,0.37544319749238303,0.4009696640595508,0.055043806157543985,-2.6688407346344123,0.08247001147189692,0.42455963307505135,0.08109543946839404
4,test,lstm,early_stop,903,0.5033105972762811,0.1181766650728453,0.11603721007759808,-2.223173729200216,0.02106057908244737,0.9020577977493318,0.3370017280686777
4,val,lstm,early_stop_standardized,465,0.37326647765394205,0.40789556566324137,0.05490978326725937,-2.67405180030446,0.08134729702724323,0.4333104960271585,0.08772399612971726
4,test,lstm,early_stop_standardized,903,0.5058737515081227,0.10917226705082039,0.11637403735051159,-2.1781716699135054,0.027044850564113015,0.8496944966080024,0.33871420656624396
5,val,lstm,early_stop,465,0.5646418654471803,0.09577386482582861,0.14978093089142835,-1.166564589862761,0.025821377533180603,1.0564898151891295,0.3023921501698418
5,test,lstm,early_stop,904,0.27185146218701217,0.31277313005260454,0.0455486066321355,-2.6114447985368923,0.03069696090465943,0.8626480444801461,0.5061317597399733
5,val,lstm,early_stop_standardized,465,0.562589363219595,0.10233573377860983,0.14849588967276026,-1.1175731483527176,0.028465986422466644,1.033500403826354,0.31331389988692915
5,test,lstm,early_stop_standardized,904,0.2723221540309171,0.3103912990728066,0.04557591265117726,-2.614072338158028,0.0365021004242169,0.806994058899269,0.5079307595750533
