fold,model,n_train,n_val,n_test,innovation_rmse,innovation_r2,reconstructed_rmse,selected_alpha,val_rmse,note
1,zero_change,2461,465,903,0.38146203049887917,-0.007242821922544884,0.10856539548525425,,,
1,har_rv_linear,2461,465,903,0.4137595451410537,-0.18502523931028003,0.13779168969964353,0.1,0.22466683953261926,
1,full_linear,2461,465,903,0.3951964875888911,-0.08107967101732383,0.12480465954454886,1000.0,0.2844161445545359,
1,pca8_linear,2461,465,903,0.3610895858475323,0.09747035671675197,0.11276233417813021,1000.0,0.21867725993428416,
1,quera_spatial,2461,465,903,0.3860895898224349,-0.03182900643389175,0.12341239765832204,1000.0,0.2212235115103348,
1,rydberg_temporal,2461,465,903,0.3741296923216105,0.031106812432019737,0.11519532124881757,1000.0,0.2199820342941191,frozen two-channel 40d temporal arm; exact common dates
2,zero_change,3403,465,903,0.40507249278338464,-0.0013290223367821152,0.07279787766982147,,,
2,har_rv_linear,3403,465,903,0.37423742682534006,0.14531568214515755,0.06559674767028079,1000.0,0.4494845109162022,
2,full_linear,3403,465,903,0.34800103744386957,0.26095245961202984,0.06397031057007699,1000.0,0.4313218087927936,
2,pca8_linear,3403,465,903,0.3652426279363856,0.18590663263065288,0.06571442622280887,1000.0,0.4114839607277782,
2,quera_spatial,3403,465,903,0.35840099670101633,0.21611976134814748,0.06526961392455764,1000.0,0.44549705403314005,
2,rydberg_temporal,3403,465,903,0.3457958568909399,0.270289039208057,0.06326047300546156,0.1,0.3879107845630331,frozen two-channel 40d temporal arm; exact common dates
3,zero_change,4345,465,903,0.48509773406718637,-1.6623670554327674e-05,0.060693056878480395,,,
3,har_rv_linear,4345,465,903,0.43720003636580645,0.18771374150906273,0.05445852069162481,10.0,0.39156594658639426,
3,full_linear,4345,465,903,0.3676904295177223,0.4254691158416035,0.04737600772290098,10.0,0.36341967961583865,
3,pca8_linear,4345,465,903,0.41272507098473266,0.2761135801858443,0.05153620564607564,0.1,0.3838813536165346,
3,quera_spatial,4345,465,903,0.39514782755037897,0.33645875284377336,0.04993348872504402,1000.0,0.384451629425665,
3,rydberg_temporal,4345,465,903,0.367876254212792,0.42488825218201387,0.0486201133673864,0.1,0.3647086060399929,frozen two-channel 40d temporal arm; exact common dates
4,zero_change,5287,465,903,0.5364104907090588,-0.0016222502384393156,0.13617489063693872,,,
4,har_rv_linear,5287,465,903,0.5005119886737734,0.127955983005008,0.11654813919883256,0.1,0.4369272970592694,
4,full_linear,5287,465,903,0.4811147728951869,0.19423792503719517,0.1170988838236291,0.1,0.36851991955299396,
4,pca8_linear,5287,465,903,0.5006358916822614,0.1275241761609308,0.11943075221209319,0.1,0.41883977774397596,
4,quera_spatial,5287,465,903,0.5335537726625174,0.00901785904678909,0.2659175166856508,1.0,0.3939848721934117,
4,rydberg_temporal,5287,465,903,0.4651568423602997,0.2468035486473017,0.12274868415565629,1.0,0.40377059131943127,frozen two-channel 40d temporal arm; exact common dates
5,zero_change,6229,465,904,0.3279480027052577,-0.00010768784013737154,0.051399824549684205,,,
5,har_rv_linear,6229,465,904,0.2929858379194663,0.20176633148796663,0.046863963792204234,0.1,0.5709319894700826,
5,full_linear,6229,465,904,0.2726863769953952,0.3085454023006613,0.045948430001842636,0.1,0.549732310620023,
5,pca8_linear,6229,465,904,0.2868494165248387,0.23485326950606522,0.04630935595740054,1000.0,0.5786389043511846,
5,quera_spatial,6229,465,904,0.27984898910707395,0.2717436668531593,0.0464204388285671,100.0,0.571899676645481,
5,rydberg_temporal,6229,465,904,0.26465646576917323,0.34866891966685676,0.045058732879568825,0.1,0.5267565887003056,frozen two-channel 40d temporal arm; exact common dates
