fold,variant,selected_alpha,val_innovation_rmse,innovation_rmse,innovation_r2,reconstructed_rmse,reconstructed_qlike,reconstructed_mz_alpha,reconstructed_mz_beta,reconstructed_mz_r2
1,temporal,1000.0,0.2199820342941191,0.3741296923216105,0.031106812432019737,0.11519532124881757,-2.2539759415843093,0.013589411145267353,1.0699865241348552,0.5742848058906309
1,memoryless,1000.0,0.21708656124028805,0.3750928110162565,0.026111965603114018,0.1140282792546679,-2.3015452525724545,0.03535257961100085,0.8905370560947653,0.574305291380495
1,shuffled,10.0,0.21775705352454466,0.35774140032174345,0.11413008266659741,0.11239590008661952,-2.3116935271386176,0.025689346157552802,0.9895335312833475,0.5900252364954117
2,temporal,0.1,0.3879107845630331,0.3457958568909399,0.270289039208057,0.06326047300546156,-2.4656112340906597,0.04078918857638371,0.7433297630947853,0.32799218542908837
2,memoryless,1000.0,0.42074621018096325,0.3860778691906503,0.09037766829068716,0.06921845602085994,-2.374508535074209,0.06688886649999848,0.597256672539721,0.2703409201551752
2,shuffled,0.1,0.40943425204166906,0.34977163407394357,0.25341291894362294,0.06431435539901853,-2.464288122903221,0.0433952945391306,0.73006516165905,0.3064668692477892
3,temporal,0.1,0.3647086060399929,0.367876254212792,0.42488825218201387,0.0486201133673864,-2.9872113068364206,0.06629643811930047,0.4705358580695735,0.12474655037520122
3,memoryless,0.1,0.377665192234989,0.3988992803241282,0.32379989626812866,0.05092992747740584,-2.9336043075627196,0.07581600754596204,0.38442596163028814,0.08788072658139034
3,shuffled,10.0,0.36595215677674797,0.3798906605299865,0.38670989044549453,0.049387380023552634,-2.9703980554425624,0.07039037068711787,0.4383270852324308,0.10073922085837672
4,temporal,1.0,0.40377059131943127,0.4651568423602997,0.2468035486473017,0.12274868415565629,-2.371599431693488,0.0531911073910532,0.692623507634827,0.320480078318222
4,memoryless,0.1,0.4009236839807541,0.4893841299400491,0.16630115259381129,0.12274938658076602,-2.313637912106586,0.03874968086490461,0.8181636953154067,0.2749765713996877
4,shuffled,0.1,0.3939975881171028,0.4706962538368539,0.22875755726168923,0.11738825189071497,-2.376781732866739,0.0396417795272713,0.8027802286648588,0.3442222949320305
5,temporal,0.1,0.5267565887003056,0.26465646576917323,0.34866891966685676,0.045058732879568825,-2.6489432156159367,0.02176827736465373,0.8815898427653174,0.49063449134166603
5,memoryless,1.0,0.552236051949957,0.2856570361679278,0.24120119738657742,0.04678865565456173,-2.625384976184585,0.023786274169465098,0.8514524745932297,0.4524333274013993
5,shuffled,100.0,0.5249307771562747,0.2832077702017658,0.2541575213686479,0.04687360636579536,-2.626184385352865,0.018135643045525188,0.9043564705572749,0.44390787637808904
