group,model,n,recovery_rate,auc,pr_auc,logloss,brier
pooled,D0_prior,317,0.580441640378549,0.5215143837855508,0.5792632237776277,0.6845126776420613,0.2456894245250501
market=ftse_100,D0_prior,56,0.5892857142857143,0.5592885375494071,0.647280189460423,0.6801543470810364,0.24352697174689528
market=nikkei_225,D0_prior,128,0.5234375,0.5215316858331295,0.5205088362425667,0.6918427505204563,0.24933748951010548
market=russell_2000,D0_prior,88,0.6363636363636364,0.4654017857142857,0.5998557073016265,0.6833806871917878,0.24511901492167654
market=spy,D0_prior,45,0.6222222222222222,0.6292016806722689,0.7238311681754849,0.6713000630333255,0.2391192263603046
pooled,D1_geometry,317,0.580441640378549,0.7211507028440667,0.7521385403774223,0.612057112983204,0.210309820006362
market=ftse_100,D1_geometry,56,0.5892857142857143,0.686429512516469,0.7463131766457216,0.6241308028305426,0.2188791026198841
market=nikkei_225,D1_geometry,128,0.5234375,0.6799608514803034,0.6661513261658079,0.6550216905735029,0.22905666075014336
market=russell_2000,D1_geometry,88,0.6363636363636364,0.8236607142857142,0.8630348630955907,0.5389910151822656,0.1787594264969301
market=spy,D1_geometry,45,0.6222222222222222,0.7184873949579833,0.812512789595728,0.6177065361715011,0.20802002416788992
pooled,D2_geometry_downside,317,0.580441640378549,0.7193527296502125,0.7507746504813781,0.6170727448211308,0.21178885036647283
market=ftse_100,D2_geometry_downside,56,0.5892857142857143,0.6851119894598156,0.7460416749909786,0.6429697847546167,0.22591451892679432
market=nikkei_225,D2_geometry_downside,128,0.5234375,0.6819182774651333,0.6741002024405022,0.6576461459771412,0.2288640789287047
market=russell_2000,D2_geometry_downside,88,0.6363636363636364,0.8164062500000001,0.8597692767428726,0.5501368995723049,0.18356905357123512
market=spy,D2_geometry_downside,45,0.6222222222222222,0.73109243697479,0.813985770264254,0.6003332958800671,0.20082608198063367
pooled,D3_compact_quadratic,317,0.580441640378549,0.637218045112782,0.6893296541336973,0.9544085965533396,0.27669703226630316
market=ftse_100,D3_compact_quadratic,56,0.5892857142857143,0.6574440052700922,0.777721165129165,0.904582482718533,0.278063218209593
market=nikkei_225,D3_compact_quadratic,128,0.5234375,0.5955468558845118,0.643214049878023,0.9663956184896635,0.3033098878338943
market=russell_2000,D3_compact_quadratic,88,0.6363636363636364,0.6908482142857143,0.7585916258036212,0.8302159023601412,0.2380200389887379
market=spy,D3_compact_quadratic,45,0.6222222222222222,0.6239495798319328,0.6880343157627289,1.2251837222400321,0.2749331096651884
