subgroup,model,n_predictions,n_positive,n_negative,positive_prevalence,roc_auc,average_precision,log_loss,brier,accuracy,balanced_accuracy,positive_recall,negative_recall,mean_probability
all,momentum_13w,48,35,13,0.7291666666666666,0.6637362637362637,0.8492130842630967,0.5510822250050053,0.18425205724403895,0.7916666666666666,0.6153846153846154,1.0,0.23076923076923078,0.6346150875785331
all,compact_directional,48,35,13,0.7291666666666666,0.6197802197802198,0.8311854534627446,0.5629859063945674,0.19110818048637265,0.75,0.610989010989011,0.9142857142857143,0.3076923076923077,0.6442471286263491
all,historical_prior,48,35,13,0.7291666666666666,0.49340659340659343,0.7807461950601092,0.612656745280396,0.21040940796716132,0.7291666666666666,0.5,1.0,0.0,0.6138271966434392
all,compact_transition,48,35,13,0.7291666666666666,0.5604395604395604,0.8112666978764514,0.6296176385123857,0.2202726250444408,0.6666666666666666,0.5296703296703297,0.8285714285714286,0.23076923076923078,0.647767191965401
bear_side,compact_directional,32,25,7,0.78125,0.5314285714285715,0.8545119988921361,0.5396099702735517,0.1800117553315112,0.78125,0.5,1.0,0.0,0.7174307272340177
bear_side,momentum_13w,32,25,7,0.78125,0.5885714285714285,0.8717728884964308,0.5415302827626729,0.18030276366937525,0.78125,0.5,1.0,0.0,0.6591828781086861
bear_side,historical_prior,32,25,7,0.78125,0.52,0.8615898704858338,0.5882713306229983,0.19844241195762347,0.78125,0.5,1.0,0.0,0.6125936934931281
bear_side,compact_transition,32,25,7,0.78125,0.49142857142857144,0.843775156603196,0.6160650143419972,0.21236238166353416,0.6875,0.44,0.88,0.0,0.7147407683291827
bull_side,momentum_13w,16,10,6,0.625,0.75,0.791024531024531,0.5701861094896699,0.19215064439336632,0.8125,0.75,1.0,0.5,0.5854795065182272
bull_side,compact_directional,16,10,6,0.625,0.7166666666666667,0.7862626262626262,0.6097377786365985,0.21330103079609547,0.6875,0.6833333333333333,0.7,0.6666666666666666,0.49787993141101183
bull_side,compact_transition,16,10,6,0.625,0.6,0.7158225108225107,0.6567228868531629,0.23609311180625414,0.625,0.6,0.7,0.5,0.5138200392378381
bull_side,historical_prior,16,10,6,0.625,0.4666666666666667,0.6976443001443002,0.6614275745951915,0.2343433999862371,0.625,0.5,1.0,0.0,0.6162942029440615
