cluster_id,start_date,end_date,n_episodes,positive_fraction
18,1973-06-22,1975-04-25,12,0.3333333333333333
28,1981-06-26,1982-12-10,9,0.5555555555555556
12,1969-11-21,1970-07-24,5,0.6
8,1967-11-03,1968-04-05,4,0.75
45,2004-04-02,2004-09-24,4,0.5
25,1978-08-04,1978-11-10,3,0.3333333333333333
29,1983-06-17,1983-10-07,3,0.3333333333333333
46,2005-01-07,2005-05-20,3,0.6666666666666666
50,2007-11-09,2008-02-15,3,0.0
36,1989-05-26,1989-08-04,2,1.0
24,1977-11-18,1978-01-06,2,0.0
34,1986-10-10,1986-12-26,2,1.0
32,1985-03-29,1985-06-21,2,0.5
55,2010-10-01,2010-11-19,2,1.0
58,2012-11-23,2013-01-04,2,1.0
53,2009-06-05,2009-08-07,2,1.0
52,2008-12-05,2009-02-20,2,0.5
27,1980-12-26,1981-03-06,2,0.5
35,1988-09-30,1988-12-23,2,0.5
60,2015-08-28,2015-11-06,2,0.5
70,2021-12-24,2022-02-04,2,0.5
19,1975-07-25,1975-09-26,2,0.5
15,1971-12-17,1972-02-04,2,1.0
66,2019-06-07,2019-08-02,2,1.0
4,1966-02-25,1966-05-06,2,0.5
5,1966-08-05,1966-10-21,2,0.5
71,2023-04-21,2023-06-16,2,1.0
63,2018-05-25,2018-05-25,1,1.0
74,2025-06-06,2025-06-06,1,1.0
48,2007-03-02,2007-03-02,1,1.0
49,2007-07-27,2007-07-27,1,1.0
73,2024-09-06,2024-09-06,1,1.0
51,2008-08-29,2008-08-29,1,0.0
54,2009-12-04,2009-12-04,1,0.0
72,2023-12-01,2023-12-01,1,1.0
56,2011-07-08,2011-07-08,1,0.0
69,2021-04-30,2021-04-30,1,1.0
62,2016-11-11,2016-11-11,1,1.0
68,2021-01-01,2021-01-01,1,1.0
57,2012-07-13,2012-07-13,1,1.0
67,2020-07-24,2020-07-24,1,1.0
65,2019-02-08,2019-02-08,1,1.0
59,2014-10-24,2014-10-24,1,1.0
64,2018-10-26,2018-10-26,1,0.0
47,2006-07-28,2006-07-28,1,1.0
61,2016-05-06,2016-05-06,1,1.0
0,1962-09-28,1962-09-28,1,1.0
38,1991-12-20,1991-12-20,1,1.0
44,2003-12-12,2003-12-12,1,1.0
43,2003-08-22,2003-08-22,1,1.0
2,1964-01-03,1964-01-03,1,1.0
3,1965-06-25,1965-06-25,1,1.0
6,1967-02-10,1967-02-10,1,1.0
7,1967-06-09,1967-06-09,1,1.0
9,1968-08-09,1968-08-09,1,1.0
10,1969-01-10,1969-01-10,1,0.0
11,1969-06-13,1969-06-13,1,0.0
13,1970-12-04,1970-12-04,1,1.0
14,1971-09-03,1971-09-03,1,0.0
16,1972-06-16,1972-06-16,1,1.0
17,1973-03-23,1973-03-23,1,0.0
20,1976-01-02,1976-01-02,1,1.0
21,1976-05-07,1976-05-07,1,1.0
22,1976-08-20,1976-08-20,1,0.0
23,1977-04-22,1977-04-22,1,1.0
26,1979-11-02,1979-11-02,1,1.0
30,1984-06-15,1984-06-15,1,1.0
31,1984-12-21,1984-12-21,1,1.0
33,1986-01-31,1986-01-31,1,1.0
37,1991-08-16,1991-08-16,1,0.0
1,1963-02-15,1963-02-15,1,1.0
39,1992-06-05,1992-06-05,1,1.0
40,1995-07-07,1995-07-07,1,1.0
41,1996-04-12,1996-04-12,1,1.0
42,1998-03-13,1998-03-13,1,1.0
75,2026-04-03,2026-04-03,1,1.0
