origin_regime,feature,orientation,train_n,holdout_n,holdout_positive_fraction,holdout_roc_auc
all,momentum_13w,high_positive,83,48,0.7291666666666666,0.6637362637362637
all,bull_probability,low_positive,83,48,0.7291666666666666,0.6021978021978022
all,return_1w,high_positive,83,48,0.7291666666666666,0.5868131868131868
all,momentum_4w,high_positive,83,48,0.7291666666666666,0.5714285714285714
all,vol_4w,low_positive,83,48,0.7291666666666666,0.5340659340659341
all,vol_13w,low_positive,83,48,0.7291666666666666,0.5296703296703297
all,one_week_probability_motion,low_positive,83,48,0.7291666666666666,0.5010989010989011
all,long_regime_uncertainty,low_positive,83,48,0.7291666666666666,0.4945054945054945
bear_side,one_week_probability_motion,low_positive,50,32,0.78125,0.5828571428571429
bear_side,momentum_13w,high_positive,50,32,0.78125,0.5771428571428572
bear_side,bull_probability,low_positive,50,32,0.78125,0.5257142857142857
bear_side,long_regime_uncertainty,low_positive,50,32,0.78125,0.5257142857142857
bear_side,momentum_4w,high_positive,50,32,0.78125,0.46285714285714286
bear_side,vol_4w,low_positive,50,32,0.78125,0.44
bear_side,vol_13w,low_positive,50,32,0.78125,0.44
bear_side,return_1w,high_positive,50,32,0.78125,0.4228571428571429
bull_side,momentum_13w,high_positive,33,16,0.625,0.7666666666666667
bull_side,vol_13w,low_positive,33,16,0.625,0.75
bull_side,return_1w,high_positive,33,16,0.625,0.65
bull_side,vol_4w,low_positive,33,16,0.625,0.6333333333333333
bull_side,bull_probability,high_positive,33,16,0.625,0.4666666666666667
bull_side,long_regime_uncertainty,low_positive,33,16,0.625,0.4666666666666667
bull_side,one_week_probability_motion,low_positive,33,16,0.625,0.4166666666666667
bull_side,momentum_4w,low_positive,33,16,0.625,0.3333333333333333
