horizon_weeks,neutral_zone_pct,partition,n_total,n_recovery,n_deterioration,n_neutral,binary_n,recovery_fraction_binary,median_future_return_pct
4,0.0,all,147,87,60,0,147,0.5918367346938775,1.2194677635815054
4,0.0,train,95,52,43,0,95,0.5473684210526316,0.8378337121040859
4,0.0,holdout,52,35,17,0,52,0.6730769230769231,1.364246014181969
4,1.0,all,147,78,48,21,126,0.6190476190476191,1.2194677635815054
4,1.0,train,95,46,35,14,81,0.5679012345679012,0.8378337121040859
4,1.0,holdout,52,32,13,7,45,0.7111111111111111,1.364246014181969
4,2.0,all,147,59,34,54,93,0.6344086021505376,1.2194677635815054
4,2.0,train,95,37,25,33,62,0.5967741935483871,0.8378337121040859
4,2.0,holdout,52,22,9,21,31,0.7096774193548387,1.364246014181969
8,0.0,all,146,94,52,0,146,0.6438356164383562,2.175704258181055
8,0.0,train,95,57,38,0,95,0.6,1.5092500579757306
8,0.0,holdout,51,37,14,0,51,0.7254901960784313,2.9152042911131386
8,1.0,all,146,85,46,15,131,0.648854961832061,2.175704258181055
8,1.0,train,95,50,33,12,83,0.6024096385542169,1.5092500579757306
8,1.0,holdout,51,35,13,3,48,0.7291666666666666,2.9152042911131386
8,2.0,all,146,75,37,34,112,0.6696428571428571,2.175704258181055
8,2.0,train,95,45,26,24,71,0.6338028169014085,1.5092500579757306
8,2.0,holdout,51,30,11,10,41,0.7317073170731707,2.9152042911131386
12,0.0,all,146,95,51,0,146,0.6506849315068494,2.5784932929810545
12,0.0,train,95,59,36,0,95,0.6210526315789474,1.87810524088734
12,0.0,holdout,51,36,15,0,51,0.7058823529411765,4.624380606144474
12,1.0,all,146,89,43,14,132,0.6742424242424242,2.5784932929810545
12,1.0,train,95,55,32,8,87,0.632183908045977,1.87810524088734
12,1.0,holdout,51,34,11,6,45,0.7555555555555555,4.624380606144474
12,2.0,all,146,79,37,30,116,0.6810344827586207,2.5784932929810545
12,2.0,train,95,47,27,21,74,0.6351351351351351,1.87810524088734
12,2.0,holdout,51,32,10,9,42,0.7619047619047619,4.624380606144474
