comparison,top_fraction,n_weeks,cumulative_gain,fraction_of_total_gain
restricted_minus_unrestricted,0.01,35,31.49588187941306,4.115083871834154
restricted_minus_unrestricted,0.05,174,66.03180387760301,8.627363164657124
restricted_minus_unrestricted,0.1,348,88.90598479709087,11.615981592411883
restricted_minus_unrestricted,0.25,868,122.5087359303607,16.00633775920204
restricted_minus_unrestricted,0.5,1736,135.0025316670211,17.638710446233453
restricted_minus_hmm2,0.01,35,65.65014388749961,0.892634658109002
restricted_minus_hmm2,0.05,174,127.2860805078713,1.7306887727600684
restricted_minus_hmm2,0.1,348,173.61517310328895,2.3606181419976777
restricted_minus_hmm2,0.25,868,252.9942338392309,3.4399227184272956
restricted_minus_hmm2,0.5,1736,299.5841057644781,4.0733978631063605
restricted_minus_iid,0.01,35,299.67628385630485,0.6105107618013321
restricted_minus_iid,0.05,174,482.6413897269936,0.9832535251951043
restricted_minus_iid,0.1,348,573.9161911991913,1.1692016685149027
restricted_minus_iid,0.25,868,740.6967216545986,1.5089726620406514
restricted_minus_iid,0.5,1736,843.541779881273,1.7184921276369889
