model,from_state,to_state,count,row_fraction
hmm2,0,0,799,0.8463983050847458
hmm2,0,1,145,0.15360169491525424
hmm2,1,0,145,0.05740300870942201
hmm2,1,1,2381,0.942596991290578
hmm4_unrestricted,0,0,339,0.6904276985743381
hmm4_unrestricted,0,1,46,0.09368635437881874
hmm4_unrestricted,0,2,16,0.032586558044806514
hmm4_unrestricted,0,3,90,0.18329938900203666
hmm4_unrestricted,1,0,65,0.04632929436920884
hmm4_unrestricted,1,1,1207,0.8602993585174625
hmm4_unrestricted,1,2,91,0.06486101211689238
hmm4_unrestricted,1,3,40,0.02851033499643621
hmm4_unrestricted,2,0,14,0.019580419580419582
hmm4_unrestricted,2,1,91,0.12727272727272726
hmm4_unrestricted,2,2,529,0.7398601398601399
hmm4_unrestricted,2,3,81,0.11328671328671329
hmm4_unrestricted,3,0,73,0.08478513356562137
hmm4_unrestricted,3,1,58,0.06736353077816493
hmm4_unrestricted,3,2,79,0.09175377468060394
hmm4_unrestricted,3,3,651,0.7560975609756098
hmm4_restricted,0,0,559,0.7929078014184398
hmm4_restricted,0,1,73,0.10354609929078014
hmm4_restricted,0,2,9,0.01276595744680851
hmm4_restricted,0,3,64,0.09078014184397164
hmm4_restricted,1,0,70,0.08333333333333333
hmm4_restricted,1,1,730,0.8690476190476191
hmm4_restricted,1,2,12,0.014285714285714285
hmm4_restricted,1,3,28,0.03333333333333333
hmm4_restricted,2,0,32,0.0475482912332838
hmm4_restricted,2,1,10,0.014858841010401188
hmm4_restricted,2,2,475,0.7057949479940565
hmm4_restricted,2,3,156,0.23179791976225855
hmm4_restricted,3,0,44,0.03514376996805112
hmm4_restricted,3,1,26,0.020766773162939296
hmm4_restricted,3,2,178,0.14217252396166133
hmm4_restricted,3,3,1004,0.8019169329073482
