model,decade,state,soft_occupancy,hard_occupancy
hmm2,1960,0,0.2726817633874781,0.19348659003831417
hmm2,1960,1,0.7273182366125218,0.8065134099616859
hmm2,1970,0,0.3608570671389708,0.3314176245210728
hmm2,1970,1,0.6391429328610291,0.6685823754789272
hmm2,1980,0,0.3157474930828408,0.27011494252873564
hmm2,1980,1,0.6842525069171591,0.7298850574712644
hmm2,1990,0,0.2271491200303352,0.19348659003831417
hmm2,1990,1,0.7728508799696647,0.8065134099616859
hmm2,2000,0,0.44466235737069726,0.43953934740882916
hmm2,2000,1,0.5553376426293027,0.5604606525911708
hmm2,2010,0,0.21808819623348094,0.19157088122605365
hmm2,2010,1,0.7819118037665189,0.8084291187739464
hmm2,2020,0,0.3211119718157947,0.2911764705882353
hmm2,2020,1,0.6788880281842052,0.7088235294117647
hmm4_unrestricted,1960,0,0.08443601304228529,0.04789272030651341
hmm4_unrestricted,1960,1,0.5109737076525209,0.5498084291187739
hmm4_unrestricted,1960,2,0.13804046367628017,0.14559386973180077
hmm4_unrestricted,1960,3,0.26654981562891344,0.2567049808429119
hmm4_unrestricted,1970,0,0.2471663924159984,0.23371647509578544
hmm4_unrestricted,1970,1,0.501292597957459,0.6130268199233716
hmm4_unrestricted,1970,2,0.11240262168204702,0.07854406130268199
hmm4_unrestricted,1970,3,0.13913838794449562,0.07471264367816093
hmm4_unrestricted,1980,0,0.19188153998212276,0.16666666666666666
hmm4_unrestricted,1980,1,0.45026478957620475,0.49233716475095785
hmm4_unrestricted,1980,2,0.1451106858258546,0.12835249042145594
hmm4_unrestricted,1980,3,0.2127429846158179,0.21264367816091953
hmm4_unrestricted,1990,0,0.13155701701465655,0.1053639846743295
hmm4_unrestricted,1990,1,0.22805034614978648,0.20306513409961685
hmm4_unrestricted,1990,2,0.1526225428124026,0.11877394636015326
hmm4_unrestricted,1990,3,0.48777009402315435,0.5727969348659003
hmm4_unrestricted,2000,0,0.2651856596210971,0.236084452975048
hmm4_unrestricted,2000,1,0.27381547088298125,0.28598848368522073
hmm4_unrestricted,2000,2,0.24342212117270642,0.29558541266794625
hmm4_unrestricted,2000,3,0.2175767483232151,0.18234165067178504
hmm4_unrestricted,2010,0,0.0898257505952539,0.0842911877394636
hmm4_unrestricted,2010,1,0.3025934013792003,0.2950191570881226
hmm4_unrestricted,2010,2,0.400232848185471,0.4444444444444444
hmm4_unrestricted,2010,3,0.2073479998400747,0.17624521072796934
hmm4_unrestricted,2020,0,0.1305649942386835,0.10294117647058823
hmm4_unrestricted,2020,1,0.3313457988406604,0.38235294117647056
hmm4_unrestricted,2020,2,0.25239779638132875,0.24411764705882352
hmm4_unrestricted,2020,3,0.28569141053932723,0.27058823529411763
hmm4_restricted,1960,0,0.12388592373903103,0.09578544061302682
hmm4_restricted,1960,1,0.20787727206916845,0.1896551724137931
hmm4_restricted,1960,2,0.12386579524767302,0.10344827586206896
hmm4_restricted,1960,3,0.5443710089441274,0.6111111111111112
hmm4_restricted,1970,0,0.2734280198788343,0.25862068965517243
hmm4_restricted,1970,1,0.1130477234814829,0.1053639846743295
hmm4_restricted,1970,2,0.173052869587017,0.15517241379310345
hmm4_restricted,1970,3,0.44047138705266564,0.48084291187739464
hmm4_restricted,1980,0,0.27767552085990255,0.2567049808429119
hmm4_restricted,1980,1,0.3109012759274474,0.34674329501915707
hmm4_restricted,1980,2,0.10685709874264133,0.08045977011494253
hmm4_restricted,1980,3,0.30456610447000865,0.3160919540229885
hmm4_restricted,1990,0,0.13934738284701376,0.09003831417624521
hmm4_restricted,1990,1,0.4044690934692848,0.4444444444444444
hmm4_restricted,1990,2,0.20057159847651804,0.19731800766283525
hmm4_restricted,1990,3,0.25561192520718334,0.2681992337164751
hmm4_restricted,2000,0,0.32308903580573245,0.35892514395393477
hmm4_restricted,2000,1,0.13504656820447716,0.11516314779270634
hmm4_restricted,2000,2,0.21230653347840692,0.2072936660268714
hmm4_restricted,2000,3,0.3295578625113834,0.31861804222648754
hmm4_restricted,2010,0,0.18593674378324695,0.1724137931034483
hmm4_restricted,2010,1,0.19465459613358121,0.20306513409961685
hmm4_restricted,2010,2,0.35274886716545256,0.36015325670498083
hmm4_restricted,2010,3,0.26665979291771913,0.26436781609195403
hmm4_restricted,2020,0,0.20210201407426917,0.18235294117647058
hmm4_restricted,2020,1,0.3172421397945017,0.31470588235294117
hmm4_restricted,2020,2,0.2637903835866148,0.28823529411764703
hmm4_restricted,2020,3,0.21686546254461417,0.21470588235294116
