model,state,self_transition_fraction,n_runs,median_run_weeks,max_run_weeks
hmm2,0,0.8463983050847458,145,3.0,53
hmm2,1,0.942596991290578,146,7.0,275
hmm4_unrestricted,0,0.6904276985743381,152,1.5,46
hmm4_unrestricted,1,0.8602993585174625,196,3.0,64
hmm4_unrestricted,2,0.7398601398601399,186,2.0,31
hmm4_unrestricted,3,0.7560975609756098,211,2.0,54
hmm4_restricted,0,0.7929078014184398,146,3.0,41
hmm4_restricted,1,0.8690476190476191,110,3.0,52
hmm4_restricted,2,0.7057949479940565,199,2.0,31
hmm4_restricted,3,0.8019169329073482,248,3.0,58
