model,event,split,n,event_rate,called_rate,precision,recall,f1,average_precision,threshold,n_qubits,features,effective_rank,val_best_f1,roc_auc,elapsed_feature_seconds
HAR_memory_classifier,q80,train,1800,0.2,0.1622222222222222,0.6061643835616438,0.49166666666666664,0.5429447852760736,0.6145999115699015,0.7944742193611499,0,8,1.2567430618400832,0.3614457831325301,0.8901331018518519,
HAR_memory_classifier,q80,val,600,0.08333333333333333,0.055,0.45454545454545453,0.3,0.3614457831325301,0.28789549593790487,0.7944742193611499,0,8,1.2567430618400832,0.3614457831325301,0.6970909090909091,
HAR_memory_classifier,q80,test,800,0.36375,0.35375,0.7102473498233216,0.6907216494845361,0.7003484320557491,0.7689816438230415,0.7944742193611499,0,8,1.2567430618400832,0.3614457831325301,0.8466435771237991,
HAR_memory_classifier,q90,train,1800,0.1,0.06055555555555556,0.45871559633027525,0.2777777777777778,0.3460207612456747,0.456252223380038,0.9076681609026725,0,8,1.2567430618400832,0.17391304347826084,0.8865123456790124,
HAR_memory_classifier,q90,val,600,0.035,0.0033333333333333335,1.0,0.09523809523809523,0.17391304347826086,0.12501940299381487,0.9076681609026725,0,8,1.2567430618400832,0.17391304347826084,0.4382761740274693,
HAR_memory_classifier,q90,test,800,0.26625,0.19875,0.660377358490566,0.49295774647887325,0.5645161290322581,0.647431886760823,0.9076681609026725,0,8,1.2567430618400832,0.17391304347826084,0.8237717046172549,
HAR_memory_classifier,q95,train,1800,0.05,0.13944444444444445,0.199203187250996,0.5555555555555556,0.2932551319648094,0.22549393321865224,0.7083128765357847,0,8,1.2567430618400832,0.08695652173913043,0.8804158544509422,
HAR_memory_classifier,q95,val,600,0.023333333333333334,0.015,0.1111111111111111,0.07142857142857142,0.08695652173913043,0.025129365002482258,0.7083128765357847,0,8,1.2567430618400832,0.08695652173913043,0.36140906874695267,
HAR_memory_classifier,q95,test,800,0.13,0.3425,0.21897810218978103,0.5769230769230769,0.31746031746031744,0.39923421999526354,0.7083128765357847,0,8,1.2567430618400832,0.08695652173913043,0.7181283156498672,
QRC_ring_6q,q80,train,1800,0.2,0.9888888888888889,0.20224719101123595,1.0,0.3364485981308411,0.573678302178823,0.12071580955155548,6,12,8.084604663796393,0.15384615384615385,0.8635879629629628,6.530217885971069
QRC_ring_6q,q80,val,600,0.08333333333333333,1.0,0.08333333333333333,1.0,0.15384615384615385,0.05179597887179945,0.12071580955155548,6,12,8.084604663796393,0.15384615384615385,0.23585454545454546,6.530217885971069
