run_tag,scalar,lookback,delta_min,delta_max,model,split,n,task,rmse,corr,actual_std,pred_std,precision,recall,f1,positive_rate,average_precision,roc_auc
scalar-rv_accel_log_5_20__lb-10__delta-0p25-1p0,rv_accel_log_5_20,10,0.25,1.0,raw_last_baseline,train,5436,regression,0.0609303295617801,0.7901092066103582,0.0992201990193862,0.0747068808843405,,,,,,
scalar-rv_accel_log_5_20__lb-10__delta-0p25-1p0,rv_accel_log_5_20,10,0.25,1.0,raw_last_baseline,train,5436,q90_warning,,,,,0.6029411764705882,0.6029411764705882,0.6029411764705882,0.1000735835172921,0.6654493531104065,0.9137021427540764
scalar-rv_accel_log_5_20__lb-10__delta-0p25-1p0,rv_accel_log_5_20,10,0.25,1.0,raw_last_baseline,train,5436,q95_crisis,,,,,0.5845588235294118,0.5845588235294118,0.5845588235294118,0.050036791758646,0.6163819481902867,0.9188940971431176
scalar-rv_accel_log_5_20__lb-10__delta-0p25-1p0,rv_accel_log_5_20,10,0.25,1.0,raw_last_baseline,val,1164,regression,0.0534271915434915,0.5335705690918268,0.0611704585281584,0.044541634310253,,,,,,
scalar-rv_accel_log_5_20__lb-10__delta-0p25-1p0,rv_accel_log_5_20,10,0.25,1.0,raw_last_baseline,val,1164,q90_warning,,,,,0.0526315789473684,0.03125,0.0392156862745098,0.0163230240549828,0.0824749892914194,0.7414973498233215
scalar-rv_accel_log_5_20__lb-10__delta-0p25-1p0,rv_accel_log_5_20,10,0.25,1.0,raw_last_baseline,val,1164,q95_crisis,,,,,0.0,0.0,0.0,0.0085910652920962,,
scalar-rv_accel_log_5_20__lb-10__delta-0p25-1p0,rv_accel_log_5_20,10,0.25,1.0,raw_last_baseline,test,1166,regression,0.0971308594749556,0.6083992150970652,0.1215041200648765,0.0854151013319957,,,,,,
scalar-rv_accel_log_5_20__lb-10__delta-0p25-1p0,rv_accel_log_5_20,10,0.25,1.0,raw_last_baseline,test,1166,q90_warning,,,,,0.4529411764705882,0.5923076923076923,0.5133333333333333,0.1457975986277873,0.5287641430658557,0.8381793881793882
scalar-rv_accel_log_5_20__lb-10__delta-0p25-1p0,rv_accel_log_5_20,10,0.25,1.0,raw_last_baseline,test,1166,q95_crisis,,,,,0.4264705882352941,0.5686274509803921,0.4873949579831932,0.0583190394511149,0.5690302280385731,0.7472786423986634
scalar-rv_accel_log_5_20__lb-10__delta-0p25-1p0,rv_accel_log_5_20,10,0.25,1.0,rydberg_temporal_features,train,5436,regression,0.0950767592437389,0.2889692462948481,0.0992201990193862,0.0245482251283318,,,,,,
scalar-rv_accel_log_5_20__lb-10__delta-0p25-1p0,rv_accel_log_5_20,10,0.25,1.0,rydberg_temporal_features,train,5436,q90_warning,,,,,0.2628676470588235,0.2628676470588235,0.2628676470588235,0.1000735835172921,0.2372332220933978,0.7284834032754558
scalar-rv_accel_log_5_20__lb-10__delta-0p25-1p0,rv_accel_log_5_20,10,0.25,1.0,rydberg_temporal_features,train,5436,q95_crisis,,,,,0.2647058823529412,0.2647058823529412,0.2647058823529412,0.050036791758646,0.1987207934216127,0.8325917266596802
scalar-rv_accel_log_5_20__lb-10__delta-0p25-1p0,rv_accel_log_5_20,10,0.25,1.0,rydberg_temporal_features,val,1164,regression,0.0726605140677182,0.125345457662546,0.0611704585281584,0.0239475247136401,,,,,,
scalar-rv_accel_log_5_20__lb-10__delta-0p25-1p0,rv_accel_log_5_20,10,0.25,1.0,rydberg_temporal_features,val,1164,q90_warning,,,,,0.0150375939849624,0.0625,0.0242424242424242,0.1142611683848797,0.0262226202350807,0.4884330830388692
scalar-rv_accel_log_5_20__lb-10__delta-0p25-1p0,rv_accel_log_5_20,10,0.25,1.0,rydberg_temporal_features,val,1164,q95_crisis,,,,,0.0,0.0,0.0,0.0352233676975945,,
scalar-rv_accel_log_5_20__lb-10__delta-0p25-1p0,rv_accel_log_5_20,10,0.25,1.0,rydberg_temporal_features,test,1166,regression,0.1186963111425466,0.2294967457868482,0.1215041200648765,0.0266408262626653,,,,,,
scalar-rv_accel_log_5_20__lb-10__delta-0p25-1p0,rv_accel_log_5_20,10,0.25,1.0,rydberg_temporal_features,test,1166,q90_warning,,,,,0.2281879194630872,0.2615384615384615,0.2437275985663082,0.12778730703259,0.1714204799757008,0.5929313929313929
scalar-rv_accel_log_5_20__lb-10__delta-0p25-1p0,rv_accel_log_5_20,10,0.25,1.0,rydberg_temporal_features,test,1166,q95_crisis,,,,,0.1739130434782608,0.2352941176470588,0.2,0.0591766723842195,0.1223273815287381,0.6399015211465752
