episode_id,start_idx,branch_idx,end_idx,start_date,branch_date,end_date,candidate_days,calendar_rows,rv_20d,branch_stress_cut,drawdown_120d,rv_ratio_5_20_branch,rv_5d_change_5d_branch,return_5d_branch,worst_return_5d_in_prior_window,outcome,forward_return_h,worst_forward_drawdown_h,vol_scaled_move_unit,outcome_complete,outcome_horizon
1,996,996,1010,1997-04-07,1997-04-07,1997-04-25,6,15,0.1884436089975106,0.11753854409380864,-0.06647738707347961,0.9162910423851643,-0.10741459003999951,0.011767380325872713,-0.055479824344625485,recovery,0.10978756861062555,-0.036323210205837175,0.07507773090668293,True,40
2,1335,1335,1369,1998-08-11,1998-08-11,1998-09-29,20,35,0.2202984440807294,0.13686285803918571,-0.09857723577235777,0.697249945403565,-0.1854468970861889,-0.001169617582668597,-0.0542819447955097,relapse,-0.08801823954643773,-0.10175412120835514,0.08776900098571362,True,40
3,1378,1378,1392,1998-10-12,1998-10-12,1998-10-30,10,15,0.2915277200153303,0.14429403681374245,-0.15384871860529636,0.7143255239561888,-0.1534338041610461,0.012898635410357307,-0.0637858270262565,recovery,0.18443189466168386,-0.003439193885737324,0.11614742379211657,True,40
4,1636,1636,1641,1999-10-20,1999-10-20,1999-10-27,6,6,0.2105550322762708,0.16292914151351834,-0.09309028829473809,1.0193116807869291,-0.030387434646713007,0.0004871201758608005,-0.0695933861320677,recovery,0.10818721262657793,-0.003411439800049876,0.0838871328053085,True,40
5,1763,1763,1776,2000-04-24,2000-04-24,2000-05-11,2,14,0.2871678955373997,0.17353984034752268,-0.07366749962658103,0.8561537645138219,-0.12450873989623482,0.027618714456002322,-0.09020642016839789,mixed,0.042427365661746874,-0.030974526366480015,0.11441042814288355,True,40
6,1889,1889,1899,2000-10-20,2000-10-20,2000-11-03,9,11,0.2696195318056641,0.17571471072414396,-0.07950952417675639,1.1900080695667297,-0.005960438855508288,0.01689351800408092,-0.07982595126126107,mixed,-0.0484690277973755,-0.061016209256384846,0.10741899268315808,True,40
7,1909,1909,1927,2000-11-17,2000-11-17,2000-12-14,4,19,0.2121505813097542,0.1783714321802885,-0.10099523892634343,1.0698038501620335,-0.016115523262625997,0.00011400687327081833,-0.058859775601508985,relapse,-0.01058849025127484,-0.07321532977712353,0.08452281475611358,True,40
8,1936,1936,1951,2000-12-28,2000-12-28,2001-01-22,8,16,0.2810685623115018,0.18181176497763124,-0.11752606819740796,0.8367546285936864,-0.09400371885005451,0.05747494601916221,-0.07236914919648708,mixed,-0.05443322819778984,-0.06550178170825516,0.11198039561973122,True,40
9,1981,1981,1999,2001-03-06,2001-03-06,2001-03-30,7,19,0.1955438598514125,0.1838202444771465,-0.14846561165244132,0.949214090391835,-0.0448584961845383,-0.0028508418691090883,-0.06490943520509498,relapse,0.008564728149455414,-0.12209768155991951,0.07790653855802777,True,40
10,2006,2006,2020,2001-04-10,2001-04-10,2001-05-01,9,15,0.3257166140371877,0.18575442016304095,-0.18403322674658706,0.9951017748383892,-0.032640251441965695,0.0551577560721028,-0.0771633948266821,recovery,0.09892808409163223,0.0006862154821780653,0.1297686052109251,True,40
11,2119,2119,2133,2001-09-26,2001-09-26,2001-10-16,15,15,0.3214259006196952,0.1865631110124765,-0.2247761242708315,1.0988074137166948,-0.08433164125469172,-0.001772929001569683,-0.11960770140888388,recovery,0.12476504006527045,0.008678679987198512,0.12805914406724445,True,40
12,2309,2309,2309,2002-06-28,2002-06-28,2002-06-28,1,1,0.2329245765347654,0.19060388057770689,-0.1544860797281813,0.8983012305928512,-0.08677988209481921,-0.003228217491231384,-0.06972094300305709,relapse,-0.03738800748217497,-0.1920973719394048,0.09279937256381672,True,40
13,2331,2331,2350,2002-07-31,2002-07-31,2002-08-27,16,20,0.4289537359694462,0.19270088378516195,-0.22112859962026843,0.8858484106993008,-0.2307858202762964,0.07326495236765403,-0.12460999769519739,mixed,-0.055362205154429356,-0.0930465017368437,0.1708992591038513,True,40
14,2359,2359,2371,2002-09-10,2002-09-10,2002-09-26,5,13,0.2769126172102369,0.1940732507897918,-0.20183627188484443,0.6502109077298643,-0.1492455115140019,0.038009541075367234,-0.07609785560137257,relapse,0.006113491139057237,-0.1445011483360643,0.11032462745844625,True,40
15,2383,2383,2399,2002-10-14,2002-10-14,2002-11-05,11,17,0.3866739140675084,0.1952698960901194,-0.23079128244681213,1.1533237899833877,-0.0036766088989885204,0.06719698179214663,-0.06736408158292646,mixed,0.0717239298644139,0.022687584297579333,0.15405457485893162,True,40
16,2427,2427,2434,2002-12-16,2002-12-16,2002-12-26,4,8,0.2343630492521039,0.19799840628587512,-0.07412369475961722,0.9964184239980374,-0.0067076765345669975,0.023738250130574623,-0.05043767611215237,relapse,-0.0970730276408055,-0.09981301856212754,0.09337247381232006,True,40
17,2458,2458,2473,2003-01-31,2003-01-31,2003-02-24,4,16,0.2102507722443927,0.19986491139870524,-0.10148772091891023,1.189766271010066,-0.011790973852288389,-0.0037113576906432875,-0.06324983962088548,relapse,-0.011375319550961493,-0.0643738885183951,0.08376591270704928,True,40
18,3602,3602,3604,2007-08-17,2007-08-17,2007-08-21,3,3,0.2449461057267943,0.17643511027906816,-0.06680861181386122,0.8349277486000174,-0.07111951305125333,-1.8388068845354155e-16,-0.06045735809160738,recovery,0.07625591037697599,-0.006841007877321781,0.09758886443657057,True,40
19,3712,3712,3728,2008-01-25,2008-01-25,2008-02-19,12,17,0.2182025045016677,0.17930886184186476,-0.14528089601450256,1.0574651025178685,-0.03392937711146862,-0.0029274485170187794,-0.07768623958251088,mixed,0.018623162269060023,-0.037883435425214995,0.08693395866960335,True,40
20,3836,3836,3847,2008-07-23,2008-07-23,2008-08-07,5,12,0.202239195458588,0.1819810854868483,-0.09953658576016389,0.6022560810895414,-0.1056187073106359,0.03339853546107893,-0.050366237569639566,relapse,-0.06319729299295795,-0.0901923799948463,0.08057402411362492,True,40
21,3880,3880,3881,2008-09-24,2008-09-24,2008-09-25,2,2,0.3742323974576735,0.1841096652393317,-0.15961686778381867,1.1119863479184262,-0.08568331592777179,0.025470470523289924,-0.05918562915117498,relapse,-0.31472254693057256,-0.31472254693057256,0.14909775599373706,True,40
22,3900,3900,3916,2008-10-22,2008-10-22,2008-11-13,7,17,0.8689480566418832,0.1850802948337393,-0.35951929688086937,0.7819052583751338,-0.6522902828574376,0.006863960308998732,-0.22056355229498126,mixed,-0.014893992959095437,-0.1675860031210421,0.34619719244130065,True,40
23,3926,3926,3941,2008-11-28,2008-11-28,2008-12-19,12,16,0.6783765824141477,0.18638872856875247,-0.3315365334877822,0.9871159791327447,-0.15470481425261629,0.17733851917466734,-0.18925546973578888,mixed,-0.02209122714765044,-0.09840814094884132,0.2702716997346268,True,40
24,3947,3947,3974,2008-12-30,2008-12-30,2009-02-09,12,28,0.3436858644934255,0.18721995743015302,-0.30983357168968584,0.5587217949521667,-0.18029174968857758,0.021701156263619133,-0.05618783571347717,relapse,-0.16904567914016455,-0.16904567914016455,0.13692772595545527,True,40
25,3999,3999,4011,2009-03-17,2009-03-17,2009-04-02,6,13,0.4236878084843929,0.18986955642902215,-0.34782758793494173,0.839576299429756,-0.18413873757582783,0.07999034360665712,-0.10313426730800289,recovery,0.14243000676197148,-0.011775393253054989,0.16880126337557927,True,40
26,4228,4228,4229,2010-02-11,2010-02-11,2010-02-12,2,2,0.204316030806767,0.19337188475943248,-0.06022906389975624,0.6262524932655992,-0.1479333069304969,0.015753241061563717,-0.05126524370414098,recovery,0.11193539084172666,-0.0008325922457909085,0.08140145512196507,True,40
27,4301,4301,4317,2010-05-27,2010-05-27,2010-06-21,10,17,0.3209726883723213,0.19328839892087693,-0.09073327565920775,0.8573042063631928,-0.045153552639786876,0.029503242559145312,-0.0756411591150038,mixed,0.012016757528510835,-0.07289243341979579,0.12787857998585708,True,40
28,4328,4328,4345,2010-07-07,2010-07-07,2010-07-30,10,18,0.2279349020940725,0.19408831707788532,-0.12478092188285039,1.0533780377439919,-0.015814643926381905,0.018044145081361117,-0.056594031056479484,mixed,0.022171303208507354,-0.008269599926871596,0.09081143868288981,True,40
29,4608,4608,4622,2011-08-15,2011-08-15,2011-09-02,10,15,0.4355043590365506,0.19052987014866526,-0.11150334048685007,1.3161231938303626,-0.04317273266331367,0.0718269869205279,-0.1372874697301833,mixed,-0.0024931574809439194,-0.08391072562234336,0.17350908980344096,True,40
30,4628,4628,4641,2011-09-13,2011-09-13,2011-09-30,6,14,0.3043916709643159,0.19195226557715203,-0.13271734643753008,0.9653740460524883,0.08555118443797577,0.006390654007467406,-0.06764922034684051,recovery,0.09174125217511153,-0.06150289440587142,0.12127254452655054,True,40
31,4648,4648,4659,2011-10-11,2011-10-11,2011-10-26,12,12,0.3078194439667563,0.1930989855494396,-0.11371850258030902,0.9748104391345453,-0.049849564375141875,0.0634584245484413,-0.0680292147168647,mixed,0.05873036947120869,-0.028069654131788968,0.12263820197949081,True,40
32,4682,4682,4698,2011-11-29,2011-11-29,2011-12-21,4,17,0.2706291966438673,0.19415952178596682,-0.1085178163998547,0.9604076838713895,0.046039511612030626,0.003245413339337594,-0.0625206193063039,recovery,0.10500763284993697,0.00835463492073485,0.10782125278331123,True,40
33,5625,5625,5639,2015-08-31,2015-08-31,2015-09-21,12,15,0.2716604891855252,0.17987745694866028,-0.07018191547163255,1.2337015899407995,-0.06996922288426016,0.041946634293540556,-0.11446036046031668,mixed,0.0506123215871499,-0.04392278136453143,0.10823212956677213,True,40
34,5725,5725,5733,2016-01-25,2016-01-25,2016-02-04,7,9,0.2138460416770954,0.18028831384672486,-0.10542047099623753,0.9643218991734229,-0.06316177572852383,-0.0009056717694484948,-0.060388578947447695,recovery,0.09579355118286181,-0.025474323470047855,0.0851983023351265,True,40
35,6242,6242,6242,2018-02-12,2018-02-12,2018-02-12,1,1,0.2534058850443693,0.17609487178500188,-0.07411550106802078,1.3455014522339441,-0.008099155983820994,0.005327983318536221,-0.08889186426811407,mixed,-0.0019738698424708323,-0.025774426221285007,0.1009593211929109,True,40
36,6277,6277,6289,2018-04-04,2018-04-04,2018-04-20,9,13,0.2140190676189896,0.1765481259016246,-0.07664399549337364,1.0069923438782813,-0.1122597935534452,0.011294101421444122,-0.060704650078692274,mixed,0.028001166942334343,-0.014569593607302145,0.08526723752042949,True,40
37,6424,6424,6432,2018-10-31,2018-10-31,2018-11-12,5,9,0.2384440518005149,0.17596968600638563,-0.07400117629870495,0.9373423423581794,-0.02291232809864749,0.019815961516735026,-0.061521202060634675,relapse,-0.07113087676770291,-0.12903644716593066,0.09499838414586251,True,40
38,6467,6467,6479,2019-01-04,2019-01-04,2019-01-23,13,13,0.3012671542889019,0.17696847146879457,-0.13136746597537263,0.9851132901211016,-0.14673322734020544,0.017264525383748935,-0.08007668641903078,recovery,0.10551127583808118,0.007884525895548222,0.1200277072862848,True,40
39,6774,6774,6791,2020-03-25,2020-03-25,2020-04-20,16,18,0.9094129882929656,0.17596302974024158,-0.2662978443406444,0.7945336194702234,-0.6195141866973247,0.03376029360615363,-0.19807684979254148,mixed,0.1948618199657457,-0.002593619017290827,0.36231880710267883,True,40
40,6833,6833,6847,2020-06-18,2020-06-18,2020-07-09,8,15,0.2683589348857267,0.17739509489922067,-0.07308384256367939,0.6528471083510414,-0.29559704700233347,0.03648408371569005,-0.05126081587269925,recovery,0.08513223470710995,-0.0333869600272777,0.10691675884864207,True,40
41,6896,6896,6907,2020-09-17,2020-09-17,2020-10-02,5,12,0.2138683019320517,0.17778457241569082,-0.061112613751077016,0.5660002570248996,-0.2512627443592377,0.0058235574508875496,-0.06888329386423905,recovery,0.05593170444509865,-0.03545815039693723,0.08520717103298478,True,40
42,7263,7263,7275,2022-03-03,2022-03-03,2022-03-21,5,13,0.2276616730342596,0.17701622774336886,-0.0879196343581663,1.0227048866203001,-0.009827189512256307,0.017152839245473554,-0.055656331642701444,mixed,-0.05147929247057659,-0.05147929247057659,0.09070258161982651,True,40
43,7308,7308,7330,2022-05-06,2022-05-06,2022-06-08,12,23,0.2993251982392771,0.17782360473308698,-0.1362586875246692,1.1380486222284867,-0.0446334081852684,-0.001603131323051247,-0.06723845725243534,relapse,-0.06426471451308935,-0.10864489087105023,0.11925401347675763,True,40
44,7338,7338,7352,2022-06-21,2022-06-21,2022-07-12,13,15,0.3035928770456373,0.17849167693480203,-0.20901747838327667,1.036576903283268,-0.08400912819292827,0.004496770605232535,-0.10615196908385775,recovery,0.1375208969187589,-0.001813074733735598,0.12095429741169487,True,40
45,7392,7392,7395,2022-09-07,2022-09-07,2022-09-12,4,4,0.2098711211423826,0.17985113230121266,-0.1344422183989773,0.7653051929682467,-0.11963821432779562,-0.001080417653184753,-0.05661310282604216,relapse,-0.05372236647913975,-0.09994202464404545,0.08361465608748667,True,40
46,7423,7423,7431,2022-10-20,2022-10-20,2022-11-01,9,9,0.2795977758710039,0.1804640818698189,-0.1461220366276269,0.9612146920254802,-0.014232443775965609,-0.0015313733035744598,-0.06441678102896166,mixed,0.05369427965977147,0.015325464544395206,0.11139442027576314,True,40
47,7468,7468,7481,2022-12-23,2022-12-23,2023-01-13,5,14,0.2093134508053907,0.181623182772581,-0.10111874717910663,0.7837828744873254,-0.06678323332114999,-0.000939696668098065,-0.05020376482809276,recovery,0.04635560100370073,-0.01632250334766372,0.08339247490703672,True,40
48,8047,8047,8059,2025-04-17,2025-04-17,2025-05-06,11,13,0.5060683921488114,0.17779555585575266,-0.1385744016944428,0.4257732882076654,-0.6789300781246761,0.0034824656238408294,-0.12212414475110107,recovery,0.14488713223134364,-0.02380270712392807,0.20162247352537213,True,40
