config_id,stress_quantile,drawdown_threshold,stabilization_return_floor,prior_decline_threshold,candidate_days,episodes_total,episodes_labeled,recovery,relapse,mixed,first_branch_year,last_branch_year,distinct_5y_blocks
q65_dd05_stab05_decl03,0.65,-0.05,-0.015,-0.03,720,78,78,29,22,27,1996,2025,7
q65_dd05_stab15_decl03,0.65,-0.05,-0.005,-0.03,608,76,76,28,21,27,1996,2025,7
q65_dd06_stab05_decl03,0.65,-0.06,-0.015,-0.03,634,69,69,23,20,26,1996,2025,7
q65_dd06_stab15_decl03,0.65,-0.06,-0.005,-0.03,532,69,69,23,20,26,1996,2025,7
q70_dd05_stab05_decl03,0.7,-0.05,-0.015,-0.03,666,69,69,24,19,26,1996,2025,7
q70_dd05_stab15_decl03,0.7,-0.05,-0.005,-0.03,565,66,66,23,19,24,1996,2025,7
q70_dd06_stab05_decl03,0.7,-0.06,-0.015,-0.03,593,63,63,20,18,25,1996,2025,7
q75_dd05_stab05_decl03,0.75,-0.05,-0.015,-0.03,622,63,63,21,16,26,1996,2025,7
q70_dd06_stab15_decl03,0.7,-0.06,-0.005,-0.03,501,62,62,21,17,24,1996,2025,7
q75_dd05_stab15_decl03,0.75,-0.05,-0.005,-0.03,532,62,62,22,16,24,1996,2025,7
q75_dd06_stab05_decl03,0.75,-0.06,-0.015,-0.03,558,60,60,20,15,25,1996,2025,7
q75_dd06_stab15_decl03,0.75,-0.06,-0.005,-0.03,474,59,59,21,14,24,1996,2025,7
q65_dd05_stab05_decl05,0.65,-0.05,-0.015,-0.05,503,55,55,21,14,20,1997,2025,7
q65_dd05_stab15_decl05,0.65,-0.05,-0.005,-0.05,429,53,53,19,15,19,1997,2025,7
q70_dd05_stab05_decl05,0.7,-0.05,-0.015,-0.05,495,53,53,20,13,20,1997,2025,7
q70_dd05_stab15_decl05,0.7,-0.05,-0.005,-0.05,423,51,51,18,15,18,1997,2025,7
q65_dd06_stab15_decl05,0.65,-0.06,-0.005,-0.05,390,50,50,17,15,18,1997,2025,7
q75_dd05_stab15_decl05,0.75,-0.05,-0.005,-0.05,404,50,50,18,14,18,1997,2025,7
q65_dd06_stab05_decl05,0.65,-0.06,-0.015,-0.05,458,50,50,17,14,19,1997,2025,7
q75_dd05_stab05_decl05,0.75,-0.05,-0.015,-0.05,470,50,50,18,12,20,1997,2025,7
q70_dd06_stab15_decl05,0.7,-0.06,-0.005,-0.05,385,48,48,17,13,18,1997,2025,7
q70_dd06_stab05_decl05,0.7,-0.06,-0.015,-0.05,451,48,48,16,13,19,1997,2025,7
q75_dd06_stab15_decl05,0.75,-0.06,-0.005,-0.05,370,47,47,17,12,18,1997,2025,7
q75_dd06_stab05_decl05,0.75,-0.06,-0.015,-0.05,433,47,47,16,12,19,1997,2025,7
