step,split,episode_id,branch_idx,branch_date,outcome,test_episode_id
1,train,1,996,1997-04-07,recovery,19
1,train,2,1335,1998-08-11,relapse,19
1,train,3,1378,1998-10-12,recovery,19
1,train,4,1636,1999-10-20,recovery,19
1,train,5,1763,2000-04-24,mixed,19
1,train,6,1889,2000-10-20,mixed,19
1,train,7,1909,2000-11-17,relapse,19
1,train,8,1936,2000-12-28,mixed,19
1,train,9,1981,2001-03-06,relapse,19
1,train,10,2006,2001-04-10,recovery,19
1,train,11,2119,2001-09-26,recovery,19
1,train,12,2309,2002-06-28,relapse,19
1,train,13,2331,2002-07-31,mixed,19
1,train,14,2359,2002-09-10,relapse,19
1,train,15,2383,2002-10-14,mixed,19
1,train,16,2427,2002-12-16,relapse,19
1,train,17,2458,2003-01-31,relapse,19
1,train,18,3602,2007-08-17,recovery,19
1,test,19,3712,2008-01-25,mixed,19
2,train,1,996,1997-04-07,recovery,20
2,train,2,1335,1998-08-11,relapse,20
2,train,3,1378,1998-10-12,recovery,20
2,train,4,1636,1999-10-20,recovery,20
2,train,5,1763,2000-04-24,mixed,20
2,train,6,1889,2000-10-20,mixed,20
2,train,7,1909,2000-11-17,relapse,20
2,train,8,1936,2000-12-28,mixed,20
2,train,9,1981,2001-03-06,relapse,20
2,train,10,2006,2001-04-10,recovery,20
2,train,11,2119,2001-09-26,recovery,20
2,train,12,2309,2002-06-28,relapse,20
2,train,13,2331,2002-07-31,mixed,20
2,train,14,2359,2002-09-10,relapse,20
2,train,15,2383,2002-10-14,mixed,20
2,train,16,2427,2002-12-16,relapse,20
2,train,17,2458,2003-01-31,relapse,20
2,train,18,3602,2007-08-17,recovery,20
2,train,19,3712,2008-01-25,mixed,20
2,test,20,3836,2008-07-23,relapse,20
3,train,1,996,1997-04-07,recovery,21
3,train,2,1335,1998-08-11,relapse,21
3,train,3,1378,1998-10-12,recovery,21
3,train,4,1636,1999-10-20,recovery,21
3,train,5,1763,2000-04-24,mixed,21
3,train,6,1889,2000-10-20,mixed,21
3,train,7,1909,2000-11-17,relapse,21
3,train,8,1936,2000-12-28,mixed,21
3,train,9,1981,2001-03-06,relapse,21
3,train,10,2006,2001-04-10,recovery,21
3,train,11,2119,2001-09-26,recovery,21
3,train,12,2309,2002-06-28,relapse,21
3,train,13,2331,2002-07-31,mixed,21
3,train,14,2359,2002-09-10,relapse,21
3,train,15,2383,2002-10-14,mixed,21
3,train,16,2427,2002-12-16,relapse,21
3,train,17,2458,2003-01-31,relapse,21
3,train,18,3602,2007-08-17,recovery,21
3,train,19,3712,2008-01-25,mixed,21
3,train,20,3836,2008-07-23,relapse,21
3,test,21,3880,2008-09-24,relapse,21
4,train,1,996,1997-04-07,recovery,22
4,train,2,1335,1998-08-11,relapse,22
4,train,3,1378,1998-10-12,recovery,22
4,train,4,1636,1999-10-20,recovery,22
4,train,5,1763,2000-04-24,mixed,22
4,train,6,1889,2000-10-20,mixed,22
4,train,7,1909,2000-11-17,relapse,22
4,train,8,1936,2000-12-28,mixed,22
4,train,9,1981,2001-03-06,relapse,22
4,train,10,2006,2001-04-10,recovery,22
4,train,11,2119,2001-09-26,recovery,22
4,train,12,2309,2002-06-28,relapse,22
4,train,13,2331,2002-07-31,mixed,22
4,train,14,2359,2002-09-10,relapse,22
4,train,15,2383,2002-10-14,mixed,22
4,train,16,2427,2002-12-16,relapse,22
4,train,17,2458,2003-01-31,relapse,22
4,train,18,3602,2007-08-17,recovery,22
4,train,19,3712,2008-01-25,mixed,22
4,train,20,3836,2008-07-23,relapse,22
4,test,22,3900,2008-10-22,mixed,22
5,train,1,996,1997-04-07,recovery,23
5,train,2,1335,1998-08-11,relapse,23
5,train,3,1378,1998-10-12,recovery,23
5,train,4,1636,1999-10-20,recovery,23
5,train,5,1763,2000-04-24,mixed,23
5,train,6,1889,2000-10-20,mixed,23
5,train,7,1909,2000-11-17,relapse,23
5,train,8,1936,2000-12-28,mixed,23
5,train,9,1981,2001-03-06,relapse,23
5,train,10,2006,2001-04-10,recovery,23
5,train,11,2119,2001-09-26,recovery,23
5,train,12,2309,2002-06-28,relapse,23
5,train,13,2331,2002-07-31,mixed,23
5,train,14,2359,2002-09-10,relapse,23
5,train,15,2383,2002-10-14,mixed,23
5,train,16,2427,2002-12-16,relapse,23
5,train,17,2458,2003-01-31,relapse,23
5,train,18,3602,2007-08-17,recovery,23
5,train,19,3712,2008-01-25,mixed,23
5,train,20,3836,2008-07-23,relapse,23
5,train,21,3880,2008-09-24,relapse,23
5,test,23,3926,2008-11-28,mixed,23
6,train,1,996,1997-04-07,recovery,24
6,train,2,1335,1998-08-11,relapse,24
6,train,3,1378,1998-10-12,recovery,24
6,train,4,1636,1999-10-20,recovery,24
6,train,5,1763,2000-04-24,mixed,24
6,train,6,1889,2000-10-20,mixed,24
6,train,7,1909,2000-11-17,relapse,24
6,train,8,1936,2000-12-28,mixed,24
6,train,9,1981,2001-03-06,relapse,24
6,train,10,2006,2001-04-10,recovery,24
6,train,11,2119,2001-09-26,recovery,24
6,train,12,2309,2002-06-28,relapse,24
6,train,13,2331,2002-07-31,mixed,24
6,train,14,2359,2002-09-10,relapse,24
6,train,15,2383,2002-10-14,mixed,24
6,train,16,2427,2002-12-16,relapse,24
6,train,17,2458,2003-01-31,relapse,24
6,train,18,3602,2007-08-17,recovery,24
6,train,19,3712,2008-01-25,mixed,24
6,train,20,3836,2008-07-23,relapse,24
6,train,21,3880,2008-09-24,relapse,24
6,train,22,3900,2008-10-22,mixed,24
6,test,24,3947,2008-12-30,relapse,24
7,train,1,996,1997-04-07,recovery,25
7,train,2,1335,1998-08-11,relapse,25
