step,test_episode_id,test_branch_idx,test_branch_date,test_outcome,n_train,train_start,train_end,latest_train_outcome_available_idx,leakage_gap_rows
1,19,3712,2008-01-25,mixed,18,1997-04-07,2007-08-17,3642,70
2,20,3836,2008-07-23,relapse,19,1997-04-07,2008-01-25,3752,84
3,21,3880,2008-09-24,relapse,20,1997-04-07,2008-07-23,3876,4
4,22,3900,2008-10-22,mixed,20,1997-04-07,2008-07-23,3876,24
5,23,3926,2008-11-28,mixed,21,1997-04-07,2008-09-24,3920,6
6,24,3947,2008-12-30,relapse,22,1997-04-07,2008-10-22,3940,7
7,25,3999,2009-03-17,recovery,24,1997-04-07,2008-12-30,3987,12
8,26,4228,2010-02-11,recovery,25,1997-04-07,2009-03-17,4039,189
9,27,4301,2010-05-27,mixed,26,1997-04-07,2010-02-11,4268,33
10,28,4328,2010-07-07,mixed,26,1997-04-07,2010-02-11,4268,60
11,29,4608,2011-08-15,mixed,28,1997-04-07,2010-07-07,4368,240
12,30,4628,2011-09-13,recovery,28,1997-04-07,2010-07-07,4368,260
13,31,4648,2011-10-11,mixed,28,1997-04-07,2010-07-07,4368,280
14,32,4682,2011-11-29,recovery,30,1997-04-07,2011-09-13,4668,14
15,33,5625,2015-08-31,mixed,32,1997-04-07,2011-11-29,4722,903
16,34,5725,2016-01-25,recovery,33,1997-04-07,2015-08-31,5665,60
17,35,6242,2018-02-12,mixed,34,1997-04-07,2016-01-25,5765,477
18,36,6277,2018-04-04,mixed,34,1997-04-07,2016-01-25,5765,512
19,37,6424,2018-10-31,relapse,36,1997-04-07,2018-04-04,6317,107
20,38,6467,2019-01-04,recovery,37,1997-04-07,2018-10-31,6464,3
21,39,6774,2020-03-25,mixed,38,1997-04-07,2019-01-04,6507,267
22,40,6833,2020-06-18,recovery,39,1997-04-07,2020-03-25,6814,19
23,41,6896,2020-09-17,recovery,40,1997-04-07,2020-06-18,6873,23
24,42,7263,2022-03-03,mixed,41,1997-04-07,2020-09-17,6936,327
25,43,7308,2022-05-06,relapse,42,1997-04-07,2022-03-03,7303,5
26,44,7338,2022-06-21,recovery,42,1997-04-07,2022-03-03,7303,35
27,45,7392,2022-09-07,relapse,44,1997-04-07,2022-06-21,7378,14
28,46,7423,2022-10-20,mixed,44,1997-04-07,2022-06-21,7378,45
29,47,7468,2022-12-23,recovery,46,1997-04-07,2022-10-20,7463,5
30,48,8047,2025-04-17,recovery,47,1997-04-07,2022-12-23,7508,539
