fold,split,episode_id,branch_idx,branch_date,outcome
1,train,1,996,1997-04-07,recovery
1,train,2,1335,1998-08-11,relapse
1,train,3,1378,1998-10-12,recovery
1,train,4,1636,1999-10-20,recovery
1,train,5,1763,2000-04-24,mixed
1,train,6,1889,2000-10-20,mixed
1,train,7,1909,2000-11-17,relapse
1,train,8,1936,2000-12-28,mixed
1,train,9,1981,2001-03-06,relapse
1,train,10,2006,2001-04-10,recovery
1,train,11,2119,2001-09-26,recovery
1,train,12,2309,2002-06-28,relapse
1,train,13,2331,2002-07-31,mixed
1,train,14,2359,2002-09-10,relapse
1,train,15,2383,2002-10-14,mixed
1,train,16,2427,2002-12-16,relapse
1,train,17,2458,2003-01-31,relapse
1,train,18,3602,2007-08-17,recovery
1,val,19,3712,2008-01-25,mixed
1,val,20,3836,2008-07-23,relapse
1,val,21,3880,2008-09-24,relapse
1,val,22,3900,2008-10-22,mixed
1,val,23,3926,2008-11-28,mixed
1,val,24,3947,2008-12-30,relapse
1,test,25,3999,2009-03-17,recovery
1,test,26,4228,2010-02-11,recovery
1,test,27,4301,2010-05-27,mixed
1,test,28,4328,2010-07-07,mixed
1,test,29,4608,2011-08-15,mixed
2,train,1,996,1997-04-07,recovery
2,train,2,1335,1998-08-11,relapse
2,train,3,1378,1998-10-12,recovery
2,train,4,1636,1999-10-20,recovery
2,train,5,1763,2000-04-24,mixed
2,train,6,1889,2000-10-20,mixed
2,train,7,1909,2000-11-17,relapse
2,train,8,1936,2000-12-28,mixed
2,train,9,1981,2001-03-06,relapse
2,train,10,2006,2001-04-10,recovery
2,train,11,2119,2001-09-26,recovery
2,train,12,2309,2002-06-28,relapse
2,train,13,2331,2002-07-31,mixed
2,train,14,2359,2002-09-10,relapse
2,train,15,2383,2002-10-14,mixed
2,train,16,2427,2002-12-16,relapse
2,train,17,2458,2003-01-31,relapse
2,train,18,3602,2007-08-17,recovery
2,train,19,3712,2008-01-25,mixed
2,train,20,3836,2008-07-23,relapse
2,train,21,3880,2008-09-24,relapse
2,train,22,3900,2008-10-22,mixed
2,val,23,3926,2008-11-28,mixed
2,val,24,3947,2008-12-30,relapse
2,val,25,3999,2009-03-17,recovery
2,val,26,4228,2010-02-11,recovery
2,val,27,4301,2010-05-27,mixed
2,val,28,4328,2010-07-07,mixed
2,test,30,4628,2011-09-13,recovery
2,test,31,4648,2011-10-11,mixed
2,test,32,4682,2011-11-29,recovery
2,test,33,5625,2015-08-31,mixed
2,test,34,5725,2016-01-25,recovery
3,train,1,996,1997-04-07,recovery
3,train,2,1335,1998-08-11,relapse
3,train,3,1378,1998-10-12,recovery
3,train,4,1636,1999-10-20,recovery
3,train,5,1763,2000-04-24,mixed
3,train,6,1889,2000-10-20,mixed
3,train,7,1909,2000-11-17,relapse
3,train,8,1936,2000-12-28,mixed
3,train,9,1981,2001-03-06,relapse
3,train,10,2006,2001-04-10,recovery
3,train,11,2119,2001-09-26,recovery
3,train,12,2309,2002-06-28,relapse
3,train,13,2331,2002-07-31,mixed
3,train,14,2359,2002-09-10,relapse
3,train,15,2383,2002-10-14,mixed
3,train,16,2427,2002-12-16,relapse
3,train,17,2458,2003-01-31,relapse
3,train,18,3602,2007-08-17,recovery
3,train,19,3712,2008-01-25,mixed
3,train,20,3836,2008-07-23,relapse
3,train,21,3880,2008-09-24,relapse
3,train,22,3900,2008-10-22,mixed
3,train,23,3926,2008-11-28,mixed
3,train,24,3947,2008-12-30,relapse
3,train,25,3999,2009-03-17,recovery
3,train,26,4228,2010-02-11,recovery
3,train,27,4301,2010-05-27,mixed
3,train,28,4328,2010-07-07,mixed
3,val,29,4608,2011-08-15,mixed
3,val,30,4628,2011-09-13,recovery
3,val,31,4648,2011-10-11,mixed
3,val,32,4682,2011-11-29,recovery
3,val,33,5625,2015-08-31,mixed
3,val,34,5725,2016-01-25,recovery
3,test,35,6242,2018-02-12,mixed
3,test,36,6277,2018-04-04,mixed
3,test,37,6424,2018-10-31,relapse
3,test,38,6467,2019-01-04,recovery
3,test,39,6774,2020-03-25,mixed
4,train,1,996,1997-04-07,recovery
4,train,2,1335,1998-08-11,relapse
4,train,3,1378,1998-10-12,recovery
4,train,4,1636,1999-10-20,recovery
4,train,5,1763,2000-04-24,mixed
4,train,6,1889,2000-10-20,mixed
4,train,7,1909,2000-11-17,relapse
4,train,8,1936,2000-12-28,mixed
4,train,9,1981,2001-03-06,relapse
4,train,10,2006,2001-04-10,recovery
4,train,11,2119,2001-09-26,recovery
4,train,12,2309,2002-06-28,relapse
4,train,13,2331,2002-07-31,mixed
4,train,14,2359,2002-09-10,relapse
4,train,15,2383,2002-10-14,mixed
4,train,16,2427,2002-12-16,relapse
4,train,17,2458,2003-01-31,relapse
4,train,18,3602,2007-08-17,recovery
4,train,19,3712,2008-01-25,mixed
4,train,20,3836,2008-07-23,relapse
4,train,21,3880,2008-09-24,relapse
4,train,22,3900,2008-10-22,mixed
4,train,23,3926,2008-11-28,mixed
4,train,24,3947,2008-12-30,relapse
4,train,25,3999,2009-03-17,recovery
4,train,26,4228,2010-02-11,recovery
4,train,27,4301,2010-05-27,mixed
4,train,28,4328,2010-07-07,mixed
4,train,29,4608,2011-08-15,mixed
4,train,30,4628,2011-09-13,recovery
4,train,31,4648,2011-10-11,mixed
4,train,32,4682,2011-11-29,recovery
4,train,33,5625,2015-08-31,mixed
4,val,34,5725,2016-01-25,recovery
4,val,35,6242,2018-02-12,mixed
4,val,36,6277,2018-04-04,mixed
4,val,37,6424,2018-10-31,relapse
4,val,38,6467,2019-01-04,recovery
4,val,39,6774,2020-03-25,mixed
4,test,40,6833,2020-06-18,recovery
4,test,41,6896,2020-09-17,recovery
4,test,42,7263,2022-03-03,mixed
4,test,43,7308,2022-05-06,relapse
4,test,44,7338,2022-06-21,recovery
5,train,1,996,1997-04-07,recovery
5,train,2,1335,1998-08-11,relapse
5,train,3,1378,1998-10-12,recovery
5,train,4,1636,1999-10-20,recovery
5,train,5,1763,2000-04-24,mixed
5,train,6,1889,2000-10-20,mixed
5,train,7,1909,2000-11-17,relapse
5,train,8,1936,2000-12-28,mixed
5,train,9,1981,2001-03-06,relapse
5,train,10,2006,2001-04-10,recovery
5,train,11,2119,2001-09-26,recovery
5,train,12,2309,2002-06-28,relapse
5,train,13,2331,2002-07-31,mixed
5,train,14,2359,2002-09-10,relapse
5,train,15,2383,2002-10-14,mixed
5,train,16,2427,2002-12-16,relapse
5,train,17,2458,2003-01-31,relapse
5,train,18,3602,2007-08-17,recovery
5,train,19,3712,2008-01-25,mixed
5,train,20,3836,2008-07-23,relapse
5,train,21,3880,2008-09-24,relapse
5,train,22,3900,2008-10-22,mixed
5,train,23,3926,2008-11-28,mixed
5,train,24,3947,2008-12-30,relapse
5,train,25,3999,2009-03-17,recovery
5,train,26,4228,2010-02-11,recovery
5,train,27,4301,2010-05-27,mixed
5,train,28,4328,2010-07-07,mixed
5,train,29,4608,2011-08-15,mixed
5,train,30,4628,2011-09-13,recovery
5,train,31,4648,2011-10-11,mixed
5,train,32,4682,2011-11-29,recovery
5,train,33,5625,2015-08-31,mixed
5,train,34,5725,2016-01-25,recovery
5,train,35,6242,2018-02-12,mixed
5,train,36,6277,2018-04-04,mixed
5,train,37,6424,2018-10-31,relapse
5,train,38,6467,2019-01-04,recovery
5,val,39,6774,2020-03-25,mixed
5,val,40,6833,2020-06-18,recovery
5,val,41,6896,2020-09-17,recovery
5,val,42,7263,2022-03-03,mixed
5,val,43,7308,2022-05-06,relapse
5,val,44,7338,2022-06-21,recovery
5,test,45,7392,2022-09-07,relapse
5,test,46,7423,2022-10-20,mixed
5,test,47,7468,2022-12-23,recovery
5,test,48,8047,2025-04-17,recovery
