fold,split,outcome,count
1,test,mixed,3
1,test,recovery,2
1,train,mixed,5
1,train,recovery,6
1,train,relapse,7
1,val,mixed,3
1,val,relapse,3
2,test,mixed,2
2,test,recovery,3
2,train,mixed,7
2,train,recovery,6
2,train,relapse,9
2,val,mixed,3
2,val,recovery,2
2,val,relapse,1
3,test,mixed,3
3,test,recovery,1
3,test,relapse,1
3,train,mixed,10
3,train,recovery,8
3,train,relapse,10
3,val,mixed,3
3,val,recovery,3
4,test,mixed,1
4,test,recovery,3
4,test,relapse,1
4,train,mixed,13
4,train,recovery,10
4,train,relapse,10
4,val,mixed,3
4,val,recovery,2
4,val,relapse,1
5,test,mixed,1
5,test,recovery,2
5,test,relapse,1
5,train,mixed,15
5,train,recovery,12
5,train,relapse,11
5,val,mixed,2
5,val,recovery,3
5,val,relapse,1
