episode_id,start_idx,branch_idx,end_idx,start_date,branch_date,end_date,candidate_days,calendar_rows,rv_20d,branch_stress_cut,drawdown_120d,rv_ratio_5_20_branch,rv_5d_change_5d_branch,return_5d_branch,worst_return_5d_in_prior_window,outcome,forward_return_h,worst_forward_drawdown_h,vol_scaled_move_unit,outcome_complete,outcome_horizon
1,816,816,830,1953-04-13,1953-04-13,1953-05-01,8,15,0.12570238308139603,0.11709455533397682,-0.07089270069264086,0.5894742289459086,-0.15009028054554846,0.006480372777914134,-0.05455895064294225,mixed,-0.030682285621178806,-0.030682285621178806,0.050081028173465394,True,40
2,1441,1441,1455,1955-10-03,1955-10-03,1955-10-21,6,15,0.2920077636379733,0.1155567538944627,-0.06881436151976261,0.9847327963781668,-0.20174973287181114,-0.002820188206609231,-0.05812275406667311,recovery,0.07107546537464349,-0.03977412037295147,0.11633867774928705,True,40
3,1964,1964,1977,1957-10-30,1957-10-30,1957-11-19,7,14,0.23645538573195496,0.12288747823972561,-0.1650722661110393,0.35031565626324346,-0.3166904652501545,0.007094853382417554,-0.06673271915670176,mixed,-0.03510479304337599,-0.03998048199285287,0.09420608061934405,True,40
4,3109,3109,3124,1962-05-18,1962-05-18,1962-06-11,5,16,0.15460110560123036,0.11669530271147216,-0.12142070166483387,0.9538654547281525,-0.04113610066500112,0.018502910370591152,-0.05572077212946169,relapse,-0.11031026244423947,-0.18019429732044712,0.06159455481643943,True,40
5,3137,3137,3148,1962-06-28,1962-06-28,1962-07-16,9,12,0.27517513409674726,0.1173514465740911,-0.23430901045912078,0.9964325343654548,-0.00018641124871365822,0.015185471339346002,-0.07223932169635283,recovery,0.09501933464696521,0.0062488541360299354,0.10963239761662018,True,40
6,3224,3224,3229,1962-10-31,1962-10-31,1962-11-08,6,6,0.19816491254349702,0.11854980478634215,-0.12085861482523419,0.9933428034880638,-0.13161188905129084,0.023450486202154508,-0.06495907276514412,recovery,0.11641893069824949,0.010615684169526185,0.07895079094607856,True,40
7,4118,4118,4124,1966-05-20,1966-05-20,1966-05-31,5,7,0.1450727651211291,0.11134742372907501,-0.09174992002356785,1.1768282583741925,-0.0025637033392741093,-0.00046812072440793884,-0.0516987005553009,mixed,0.01053495871080301,-0.00807681656258219,0.057798373102674085,True,40
8,4192,4192,4201,1966-09-06,1966-09-06,1966-09-19,8,10,0.18998713753110777,0.1122614708620805,-0.16727980297307,0.9775539686801133,-0.07936564205057839,0.032084081946384124,-0.055922136791668464,recovery,0.05002596829419481,-0.04885657719542624,0.0756926873942427,True,40
9,4898,4898,4909,1969-08-07,1969-08-07,1969-08-22,9,12,0.17017004183598025,0.10989535464437818,-0.11463833250303068,0.8242622640902948,-0.08473949892749658,0.023249309338892132,-0.05121012959790949,mixed,-0.008511495271260716,-0.0156399750411077,0.06779736748466475,True,40
10,5106,5106,5119,1970-06-03,1970-06-03,1970-06-22,8,14,0.3083829922932397,0.11053567707137604,-0.15985451088976488,0.931538666621932,-0.14624307411098247,0.07604959042740678,-0.09122548624744997,relapse,-0.005730985321965365,-0.09284250633977253,0.1228627250070093,True,40
11,5135,5135,5143,1970-07-15,1970-07-15,1970-07-27,7,9,0.16864217508162102,0.11129442993252124,-0.16624182025864176,0.7958941226493295,-0.08100802875096982,0.03009069104601103,-0.050167678678204375,recovery,0.09397845778738234,-0.0062475235907297755,0.06718865079931108,True,40
12,6002,6002,6031,1973-12-19,1973-12-19,1974-01-31,19,30,0.26322712177527424,0.1123311221921292,-0.1491385712713047,0.7361324990745584,-0.1505470106927311,0.013270538229146034,-0.07286466095025812,mixed,-0.026893092807054764,-0.04387255901817855,0.10487219556618538,True,40
13,6093,6093,6100,1974-05-01,1974-05-01,1974-05-10,6,8,0.16318457772412148,0.11399548247871079,-0.13829186961876194,1.0348140025466699,-0.021268160868093827,0.021039545796711856,-0.0565379645801265,relapse,-0.06408592044978845,-0.06408592044978845,0.06501429196600733,True,40
14,6148,6148,6161,1974-07-19,1974-07-19,1974-08-07,7,14,0.23765213693556303,0.1148390797828846,-0.1624222708563624,0.5310382708456919,-0.25862805523703364,0.0046793460383227625,-0.05878769245809057,relapse,-0.2068470025128416,-0.2195355969151821,0.0946828777116133,True,40
15,6185,6185,6195,1974-09-11,1974-09-11,1974-09-25,5,11,0.2753220294555571,0.11538486152559128,-0.3001530863959051,1.0830857567408683,-0.03956032451549052,-0.002040213241135902,-0.07432203278944538,mixed,0.09044488216230939,-0.09146614140522868,0.1096909221284295,True,40
16,6210,6210,6220,1974-10-16,1974-10-16,1974-10-30,7,11,0.34237642447674455,0.11570236128884821,-0.24457569297808057,0.9840158773530461,-0.11274692763317568,0.036341344157410305,-0.0885053408071208,mixed,-0.04094987640880188,-0.0756433891129964,0.13640603256540715,True,40
17,6239,6239,6256,1974-11-26,1974-11-26,1974-12-20,10,18,0.22304495941784921,0.1161826836271629,-0.25381307884754023,0.4862828617099651,-0.20323789936685752,0.018450502174214733,-0.08147427293049336,mixed,0.0505254365129395,-0.06420035995542073,0.08886323888801406,True,40
18,6261,6261,6262,1974-12-30,1974-12-30,1974-12-31,2,2,0.20678238024839382,0.11666062549415625,-0.2097893240359866,0.7567489079693446,-0.005353772098782433,0.0037293992108775598,-0.07352545912749253,recovery,0.1966944366312704,0.020845649495910168,0.08238407225971452,True,40
19,7482,7482,7487,1979-10-29,1979-10-29,1979-11-05,6,6,0.16388951111903619,0.11907000758000227,-0.09490426779168759,0.3735532411541654,-0.09304258903012094,0.0,-0.0628682973986816,recovery,0.07020156646902653,-0.008340744171649317,0.06529514415309975,True,40
20,7588,7588,7598,1980-03-31,1980-03-31,1980-04-15,10,11,0.23996631328593712,0.12016017764176354,-0.13804462822097774,0.8648520274429787,-0.05996090877943708,0.02791061270874895,-0.061317735783945615,recovery,0.0976589438568014,-0.022431123207738657,0.09560486763861735,True,40
21,7768,7768,7768,1980-12-16,1980-12-16,1980-12-16,1,1,0.18574036072670344,0.12197337646471117,-0.07059491792863137,0.965160591297417,-0.04564294116771608,0.0009193380081766733,-0.06916032555029528,mixed,-0.023889759577109593,-0.02825422870563643,0.07400073101621546,True,40
22,7956,7956,7957,1981-09-15,1981-09-15,1981-09-16,2,2,0.18073451443810182,0.12290630570759756,-0.12301391066977774,0.8692256243391919,-0.03842762653991327,0.015058061902906594,-0.05650598354390457,relapse,0.024463558381049744,-0.05844535523250549,0.07200635411685978,True,40
23,8081,8081,8095,1982-03-15,1982-03-15,1982-04-02,8,15,0.1432748711854668,0.12439544025694646,-0.13375545492658114,0.893582733858272,-0.06414409262332252,0.019466463454436145,-0.05412607121444957,recovery,0.09109183644306396,-0.003380494540922374,0.05708207501318996,True,40
24,8187,8187,8188,1982-08-13,1982-08-13,1982-08-16,2,2,0.14479054146415557,0.12453370294186239,-0.13074414151655023,0.7648843931704241,-0.10771837967827665,0.0013490018551376437,-0.055659006410562206,recovery,0.2948483697302353,0.0023110049811829736,0.057685932506325505,True,40
