split,model,target,predictor,n,rmse,qlike,mz_alpha,mz_beta,mz_r2
test,har_ridge_alpha_1,future_rv_20d,model_forecast,1058,0.10071154128145483,-2.079118551706712,0.027659470388475195,0.861892317741366,0.3536950141907542
test,har_linear,future_rv_20d,model_forecast,1058,0.10071206012970835,-2.0790567317285746,0.0276679413057671,0.8618338883092048,0.35369640834865257
test,full_feature_elasticnet_alpha_0.001_l1_0.1,future_rv_20d,model_forecast,1058,0.10238923372812674,-2.0073531474642428,0.03649165225718393,0.7969600675036298,0.34469469956264276
test,full_feature_ridge_alpha_1,future_rv_20d,model_forecast,1058,0.10369358127659804,-2.0820697397173054,0.02726795512582742,0.7877728077237053,0.34488980228092425
test,persistence_20d_to_20d,future_rv_20d,rv_20d,1058,0.12430842418527152,-2.004007431121445,0.09263675837920171,0.500469681390784,0.25156081138958575
test,persistence_60d_to_20d,future_rv_20d,rv_60d,1058,0.13464510823486744,-1.6618631719952335,0.10899235199656533,0.3959415177321365,0.12719545777052466
train,full_feature_ridge_alpha_1,future_rv_20d,model_forecast,5459,0.058927561213327866,-2.691042826581431,-3.9112800574172026e-05,1.0002394386321996,0.6459645269752503
train,full_feature_elasticnet_alpha_0.001_l1_0.1,future_rv_20d,model_forecast,5459,0.05901444097587832,-2.6914127268003813,-0.0006615447701421828,1.004049809079804,0.6449302692474372
train,har_linear,future_rv_20d,model_forecast,5459,0.06129753661989448,-2.679761968904747,-1.3273375256970395e-14,1.0000000000000806,0.616914307302928
train,har_ridge_alpha_1,future_rv_20d,model_forecast,5459,0.0612975439684023,-2.6797697495231847,-1.9671010220002137e-05,1.0001204209290024,0.6169142243961502
train,persistence_20d_to_20d,future_rv_20d,rv_20d,5459,0.07351647608619173,-2.547334669935826,0.045225742964859254,0.7241477088629549,0.5251792116567813
train,persistence_60d_to_20d,future_rv_20d,rv_60d,5459,0.07733957355844157,-2.600812165846005,0.04137037685585556,0.7286247830342519,0.4549558455436943
val,har_ridge_alpha_1,future_rv_20d,model_forecast,1258,0.05240565974738726,-3.0761860293590293,0.03185542532239102,0.736331512153623,0.28211498114409517
val,har_linear,future_rv_20d,model_forecast,1258,0.05240589330633462,-3.0761213167423875,0.03187640421016572,0.7362458661319745,0.2821479984477471
val,full_feature_elasticnet_alpha_0.001_l1_0.1,future_rv_20d,model_forecast,1258,0.052757454276626745,-3.1060800310634478,0.021885252835859723,0.7603901090857699,0.28588841027872425
val,full_feature_ridge_alpha_1,future_rv_20d,model_forecast,1258,0.05472228536090763,-3.1120645628661703,0.01801105994648372,0.7481915892603913,0.28148793097172575
val,persistence_60d_to_20d,future_rv_20d,rv_60d,1258,0.064837348223369,-2.8863818532445626,0.07018558738805136,0.3897470051501299,0.09657228021460174
val,persistence_20d_to_20d,future_rv_20d,rv_20d,1258,0.06504822886058406,-2.759242092942738,0.06890068256798115,0.41939486249669183,0.1761004677476401
test,full_feature_elasticnet_alpha_0.001_l1_0.1,future_rv_5d,model_forecast,1058,0.0907686584446672,-2.462474611867087,-0.0022588126605851177,1.0289226607112807,0.5621081581347538
test,har_ridge_alpha_1,future_rv_5d,model_forecast,1058,0.0911649823358145,-2.4432383150353565,-0.011189699370882386,1.0578498693759604,0.5591429204091166
test,har_linear,future_rv_5d,model_forecast,1058,0.09117061789050011,-2.4429780338649416,-0.011148618519418547,1.057600184115748,0.5590746755917111
test,full_feature_ridge_alpha_1,future_rv_5d,model_forecast,1058,0.09127407187936101,-2.487673040045453,-0.014339231593626997,1.029706069539583,0.5610006683609999
test,persistence_10d_to_5d,future_rv_5d,rv_10d,1058,0.10245882537023582,-2.2215732764990075,0.04143875535019606,0.7438754236684147,0.501707302451556
test,persistence_5d_to_5d,future_rv_5d,rv_5d,1058,0.10256113450670205,-1.888258066372178,0.04926308705823372,0.7199335824055931,0.5182914747828821
train,full_feature_ridge_alpha_1,future_rv_5d,model_forecast,5459,0.06549908354219243,-2.7693913447499696,-2.2018694161869467e-05,1.0001410840789497,0.6457450481514814
train,full_feature_elasticnet_alpha_0.001_l1_0.1,future_rv_5d,model_forecast,5459,0.06555424865778614,-2.770796967361703,-0.00043269397971154404,1.0027724728426697,0.6451529892676826
train,har_linear,future_rv_5d,model_forecast,5459,0.06836184256122543,-2.7402344286132663,-1.1685351949578822e-14,1.0000000000000746,0.6141015643145309
train,har_ridge_alpha_1,future_rv_5d,model_forecast,5459,0.06836185820414409,-2.740315183191481,-2.7744502687489542e-05,1.0001777720140355,0.6141014071083455
train,persistence_10d_to_5d,future_rv_5d,rv_10d,5459,0.07868893468297337,-2.6221797240544045,0.03164990653903151,0.7760634258556771,0.5347186581801326
train,persistence_5d_to_5d,future_rv_5d,rv_5d,5459,0.08610874490394475,-2.1194811615522187,0.047806705150742645,0.6938637416598,0.4814553800076836
val,full_feature_elasticnet_alpha_0.001_l1_0.1,future_rv_5d,model_forecast,1258,0.053532141909806576,-3.2910098950470155,-0.003846657705823662,1.0286440833742425,0.4708458349042106
val,full_feature_ridge_alpha_1,future_rv_5d,model_forecast,1258,0.05404991117028298,-3.3064525146869927,-0.009946487522343,1.0255396778659767,0.4692055656194193
val,har_linear,future_rv_5d,model_forecast,1258,0.05501273052525049,-3.2288066613283006,0.007891369805461406,0.9841039875408076,0.447939995130349
val,har_ridge_alpha_1,future_rv_5d,model_forecast,1258,0.055013129110827175,-3.228975406019667,0.007847929198401955,0.9843297323077534,0.4478832669921401
val,persistence_10d_to_5d,future_rv_5d,rv_10d,1258,0.06845590510552978,-2.7902579380717993,0.04434612312927019,0.5828215242406712,0.28200331006217827
val,persistence_5d_to_5d,future_rv_5d,rv_5d,1258,0.07058722039617546,-2.477884906175782,0.05162924280158534,0.5395046557898815,0.2918466023126507
