label,model,feature_set,target,seq_len,units,spectral_radius,leak_rate,input_scaling,input_connectivity,reservoir_connectivity,ridge_alpha,seed,washout,pooling,scale_states,train_rmse,train_qlike,train_mz_alpha,train_mz_beta,train_mz_r2,val_rmse,val_qlike,val_mz_alpha,val_mz_beta,val_mz_r2,test_rmse,test_qlike,test_mz_alpha,test_mz_beta,test_mz_r2
pca6_seq40_units300_sr0.7_lr0.5_in0.5_alpha10.0_seed1,esn_log_target,pca6,future_rv_20d,40,300,0.7,0.5,0.5,0.5,0.1,10.0,1,0,final,False,0.05471212317065506,-2.705057568676977,-0.00364607447345811,1.0646396839670869,0.7030074678306579,0.05338349617925573,-3.1130303365544125,0.00961942810327367,0.8796044967718277,0.2501065433289117,0.07549882619790287,-2.486982275651841,0.029425580417801966,0.8414536075516801,0.49877744810250424
pca6_seq40_units300_sr0.7_lr0.5_in0.5_alpha10.0_seed2,esn_log_target,pca6,future_rv_20d,40,300,0.7,0.5,0.5,0.5,0.1,10.0,2,0,final,False,0.05405132836361636,-2.708142011702107,-0.004384830494779473,1.0693898660287493,0.7107151536524774,0.05375278993729452,-3.1163712945715987,0.010894767105900458,0.8628721868223288,0.24396048371891466,0.07790663236780503,-2.4792930148109122,0.032668247485531876,0.8160788201724265,0.47112695399680204
pca6_seq40_units300_sr0.7_lr0.5_in0.5_alpha10.0_seed3,esn_log_target,pca6,future_rv_20d,40,300,0.7,0.5,0.5,0.5,0.1,10.0,3,0,final,False,0.05571178837717244,-2.7034341891593923,0.0007121669189114567,1.0367118632624297,0.6900308628563413,0.054378491506583804,-3.101733720728127,0.020231767566047883,0.802654472371864,0.22726131554361062,0.07568930827464067,-2.484462197231191,0.017277874442131975,0.9139895035439558,0.4829470209158848
pca6_seq40_units300_sr0.7_lr0.5_in0.5_alpha10.0_seed4,esn_log_target,pca6,future_rv_20d,40,300,0.7,0.5,0.5,0.5,0.1,10.0,4,0,final,False,0.054107746375977026,-2.706809810998273,-0.002620821292961036,1.0576187525807959,0.709099252896539,0.053638285682306344,-3.110499417491548,0.008608072413894666,0.8904816074203031,0.2406823756999138,0.08164552004126335,-2.4793028941480606,0.04710538305087464,0.7280135177888541,0.4568227485460755
pca6_seq40_units300_sr0.7_lr0.5_in0.5_alpha10.0_seed5,esn_log_target,pca6,future_rv_20d,40,300,0.7,0.5,0.5,0.5,0.1,10.0,5,0,final,False,0.054277385672559166,-2.7064445884961037,-0.00281875645679367,1.0592546347012608,0.7074154868869749,0.05410495346246328,-3.1116302010464043,0.016563320836221487,0.8205220321506884,0.23763342342164595,0.07457704578415872,-2.4783756392154714,0.03125142533941734,0.8214799826448183,0.5179156378795686
pca8_seq40_units300_sr0.7_lr0.5_in0.5_alpha10.0_seed1,esn_log_target,pca8,future_rv_20d,40,300,0.7,0.5,0.5,0.5,0.1,10.0,1,0,final,False,0.05291285842309599,-2.7103494858268657,0.0002851681127618574,1.0372048610272047,0.7205266781587469,0.0529586458053358,-3.107671573798739,0.016685944739168908,0.8558613849807888,0.2570793991542548,0.08377955227503651,-2.465105738294492,0.057644531761853635,0.6737627984608359,0.4711831999108468
pca8_seq40_units300_sr0.7_lr0.5_in0.5_alpha10.0_seed2,esn_log_target,pca8,future_rv_20d,40,300,0.7,0.5,0.5,0.5,0.1,10.0,2,0,final,False,0.052742595363364,-2.709372194603492,-0.0024876832522876357,1.0554030163175945,0.7235342600937329,0.05368403207427346,-3.1092243453851243,0.01706934526831864,0.8347040652642648,0.24118118429158064,0.07457389687509515,-2.4878059461394466,0.03727895013065541,0.800056626562069,0.5268809636517939
pca8_seq40_units300_sr0.7_lr0.5_in0.5_alpha10.0_seed3,esn_log_target,pca8,future_rv_20d,40,300,0.7,0.5,0.5,0.5,0.1,10.0,3,0,final,False,0.05327177748867259,-2.7078408229366744,-0.0024504880827979332,1.0556407627840803,0.7179295355674871,0.05271311175597098,-3.1100574817712943,0.006666817413539243,0.9382748564376948,0.2578951381993472,0.08624039582398649,-2.475067867271177,0.06298900395537546,0.6439285326116577,0.4646950821437501
pca8_seq40_units300_sr0.7_lr0.5_in0.5_alpha10.0_seed4,esn_log_target,pca8,future_rv_20d,40,300,0.7,0.5,0.5,0.5,0.1,10.0,4,0,final,False,0.05438127707635555,-2.7069417664955675,-0.002292304092941107,1.0549609737533445,0.7057870012424814,0.05297460396204436,-3.1185699905245783,0.011728990419567148,0.8923359081472639,0.2533493544542553,0.07455381472467902,-2.468923739898376,0.03806980110570008,0.8025302209369513,0.5270127943682417
pca8_seq40_units300_sr0.7_lr0.5_in0.5_alpha10.0_seed5,esn_log_target,pca8,future_rv_20d,40,300,0.7,0.5,0.5,0.5,0.1,10.0,5,0,final,False,0.05264612261030929,-2.7093656410178704,-0.002204292363891257,1.053708845899298,0.724474679068712,0.05305064962356833,-3.1102535976177514,0.013261738622016198,0.8691922047322977,0.25481590104393526,0.08091351606515262,-2.4412585271585967,0.04569659432077489,0.7829888518785032,0.4457652441866238
pca10_seq40_units300_sr0.7_lr0.5_in0.5_alpha10.0_seed1,esn_log_target,pca10,future_rv_20d,40,300,0.7,0.5,0.5,0.5,0.1,10.0,1,0,final,False,0.05330175795927576,-2.7125987861083143,-0.0009608294405727885,1.045501015359784,0.7168380086358466,0.05345172485082655,-3.0999033609422346,0.01797151946618427,0.8412663341459956,0.2447272657613423,0.07657648079196565,-2.474044812609656,0.037276597140191325,0.797066834114452,0.49847726807611015
pca10_seq40_units300_sr0.7_lr0.5_in0.5_alpha10.0_seed2,esn_log_target,pca10,future_rv_20d,40,300,0.7,0.5,0.5,0.5,0.1,10.0,2,0,final,False,0.052309090110511366,-2.713596239037979,1.897907695716977e-05,1.0382070652380542,0.7269047272983427,0.053188965864223905,-3.1076606403540654,0.016280125629560105,0.8515113354541054,0.2515721006822985,0.07530807356549012,-2.4823189624716835,0.018189831859487027,0.9194909076305994,0.48886923509287905
pca10_seq40_units300_sr0.7_lr0.5_in0.5_alpha10.0_seed3,esn_log_target,pca10,future_rv_20d,40,300,0.7,0.5,0.5,0.5,0.1,10.0,3,0,final,False,0.05223203986951021,-2.7109370868399334,-0.0022539919570113047,1.0534506236146877,0.7287693013137712,0.05319319169517455,-3.105006219233547,0.010472659978289476,0.8975450806755266,0.24727794076851717,0.07712081884515179,-2.466312964309383,0.02520722500985233,0.8919170356355629,0.46939191746129627
pca10_seq40_units300_sr0.7_lr0.5_in0.5_alpha10.0_seed4,esn_log_target,pca10,future_rv_20d,40,300,0.7,0.5,0.5,0.5,0.1,10.0,4,0,final,False,0.052884631597437406,-2.711852443425295,-0.002517013306488658,1.055317971030762,0.7219498264081663,0.053440240158025745,-3.1031599898884954,0.010704445837744879,0.9014091122567723,0.23921577726763366,0.07600014146595141,-2.45970204543038,0.03436596296111391,0.8448352029306916,0.49671808290398634
pca10_seq40_units300_sr0.7_lr0.5_in0.5_alpha10.0_seed5,esn_log_target,pca10,future_rv_20d,40,300,0.7,0.5,0.5,0.5,0.1,10.0,5,0,final,False,0.0531305465569771,-2.7089127139452,-0.0017125541099515592,1.0502115317006075,0.7189624590189838,0.0529098788302413,-3.0966604288431148,0.013352316506034932,0.8893392720032374,0.25502384463831695,0.08018888356021513,-2.4380099872483156,0.035932638445086804,0.8270070101602861,0.43718901126814214
